ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_622d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
305,646,541160,6212,541160
305,646,541480,6212,541480
305,646,542480,6212,542480
306,648,543480,6212,543480
306,648,543950,6212,543950
307,650,544760,6212,544760
307,650,545760,6212,545760
307,650,546570,6212,546570
308,652,547570,6212,547570
309,654,548380,6212,548380
309,654,549380,6212,549380
309,654,549850,6212,549850
309,654,550500,6212,550500
310,656,551310,6212,551310
310,656,551770,6212,551770
311,658,552420,6212,552420
312,660,553420,6212,553420
312,660,554420,6212,554420
313,662,555420,6212,555420
313,662,555890,6212,555890
313,662,556700,6212,556700
313,662,557700,6212,557700
314,664,558700,6212,558700
314,664,559700,6212,559700
314,664,559860,6212,559860
315,666,560860,6212,560860
315,666,561180,6212,561180
316,668,562180,6212,562180
316,668,563180,6212,563180
316,668,563400,6212,563400
316,668,564400,6212,564400
317,670,565400,6212,565400
317,670,566400,6212,566400
318,672,567400,6212,567400
319,674,568210,6212,568210
319,674,568440,6212,568440
319,674,568910,6212,568910
319,674,569910,6212,569910
320,676,570910,6212,570910
320,676,571140,6212,571140
320,676,572140,6212,572140
321,678,573140,6212,573140
321,678,574140,6212,574140
321,678,574140,6212,574140
322,680,574690,6212,574690
