ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
835145.81,14.42,2.16,753052.7,13.0
834954.75,14.42,2.16,752864.3,13.0
834194.7,14.42,2.15,752029.67,13.0
833970.43,14.42,2.15,751845.2,13.0
833779.37,14.42,2.15,751667.8,13.0
833555.1,14.41,2.15,751472.34,13.0
833784.36,14.42,2.16,751264.69,12.99
834001.69,14.43,2.16,751959.89,13.01
833810.63,14.42,2.16,751771.49,13.01
833429.02,14.42,2.15,751324.87,13.0
833533.49,14.42,2.16,751426.22,13.0
833118.16,14.42,2.16,751053.36,13.0
833094.08,14.42,2.16,750547.43,12.99
833310.87,14.43,2.16,750696.43,13.0
833561.41,14.43,2.17,750673.95,13.0
833561.41,14.43,2.17,750673.95,13.0
833525.95,14.43,2.17,750835.18,13.0
833750.6,14.44,2.17,751335.26,13.01
833559.54,14.44,2.17,751071.89,13.01
833177.93,14.43,2.17,750804.76,13.01
833082.31,14.43,2.17,750237.07,13.0
832858.03,14.43,2.17,750127.57,13.0
832442.7,14.43,2.16,749754.71,13.0
832686.54,14.43,2.17,749914.22,13.0
832684.29,14.44,2.17,749845.58,13.0
832460.02,14.44,2.17,749727.24,13.0
832597.7,14.44,2.17,749814.86,13.0
832182.37,14.44,2.17,749441.99,13.0
832146.9,14.44,2.17,749465.55,13.0
831955.84,14.44,2.17,749288.15,13.0
831665.53,14.43,2.17,749064.35,13.0
831882.86,14.44,2.17,749245.48,13.0
831691.8,14.44,2.17,749068.08,13.0
831691.8,14.44,2.17,749068.08,13.0
831691.8,14.44,2.17,749068.08,13.0
831164.51,14.43,2.17,747991.16,12.99
830183.33,14.44,2.17,747251.87,12.99
830183.33,14.44,2.17,747251.87,12.99
829959.05,14.44,2.17,747056.4,12.99
829577.45,14.43,2.17,746739.8,12.99
829815.68,14.44,2.17,746086.97,12.98
829953.37,14.44,2.17,746174.59,12.98
829917.9,14.44,2.18,746198.14,12.98
829726.84,14.44,2.18,745939.09,12.98
829726.84,14.44,2.18,745939.09,12.98
829726.84,14.44,2.18,745939.09,12.98
829691.38,14.44,2.18,746011.08,12.98
829500.32,14.44,2.18,745833.68,12.98
829451.51,14.44,2.18,745793.23,12.98
829227.24,14.44,2.17,745597.76,12.98
829036.18,14.44,2.17,745334.39,12.98
829012.1,14.44,2.17,744828.47,12.97
828886.51,14.44,2.17,744626.92,12.97
828662.23,14.44,2.17,744517.42,12.97
828453.49,14.43,2.17,744351.61,12.97
828262.43,14.43,2.17,744095.98,12.97
828479.77,14.44,2.17,744420.04,12.97
828477.52,14.44,2.18,744351.4,12.97
828062.19,14.44,2.17,743978.53,12.97
827837.91,14.44,2.17,743839.81,12.97
827835.66,14.44,2.17,743771.17,12.97
827611.39,14.44,2.17,743653.54,12.97
827611.39,14.44,2.17,743653.54,12.97
827611.39,14.44,2.17,743653.54,12.97
827420.33,14.44,2.17,743390.17,12.97
827196.06,14.44,2.17,743280.68,12.97
826780.73,14.43,2.17,742907.81,12.97
826589.67,14.43,2.17,742730.42,12.97
826589.67,14.43,2.17,742730.42,12.97
826365.4,14.43,2.17,742534.95,12.97
825983.79,14.43,2.16,742153.65,12.96
825981.54,14.43,2.16,742085.01,12.96
824964.12,14.43,2.17,741273.61,12.97
824928.66,14.43,2.17,741300.39,12.97
824928.66,14.43,2.17,741300.39,12.97
825224.15,14.44,2.17,740969.61,12.96
825224.15,14.44,2.17,740969.61,12.96
825222.95,14.44,2.18,742077.6,12.99
824205.53,14.44,2.18,741266.19,12.99
824015.51,14.44,2.18,740577.11,12.98
824153.2,14.45,2.18,740664.73,12.98
823928.92,14.44,2.18,740490.06,12.98
822947.74,14.45,2.18,739750.77,12.99
822756.68,14.45,2.18,739573.37,12.99
822532.41,14.45,2.18,739377.91,12.98
822221.42,14.44,2.18,739100.48,12.98
821806.09,14.44,2.17,738727.61,12.98
821803.26,14.44,2.18,738593.96,12.98
821612.2,14.44,2.18,738334.91,12.98
821387.93,14.44,2.17,738221.1,12.98
821644.37,14.44,2.18,739829.24,13.01
821447.71,14.44,2.18,739721.54,13.01
821447.71,14.44,2.18,739721.54,13.01
821447.71,14.44,2.18,739721.54,13.01
821256.65,14.44,2.18,739533.81,13.0
821032.38,14.44,2.17,739348.68,13.0
820841.32,14.44,2.17,739085.31,13.0
821058.65,14.44,2.18,739417.83,13.01
820867.59,14.44,2.18,739230.1,13.01
820972.06,14.45,2.18,739342.93,13.01
820781.0,14.45,2.18,739165.53,13.01
820568.11,14.44,2.18,738479.84,13.0
820603.71,14.45,2.18,738438.61,13.0
820304.97,14.44,2.18,738169.71,13.0
820080.69,14.44,2.18,737974.24,13.0
819889.64,14.44,2.18,737710.87,12.99
819665.36,14.44,2.17,737601.38,12.99
819663.11,14.44,2.18,737532.73,12.99
818903.07,14.44,2.17,736698.1,12.99
818867.6,14.44,2.17,736724.89,12.99
818568.86,14.43,2.17,736456.34,12.99
817551.44,14.44,2.17,735644.93,12.99
817551.44,14.44,2.17,735644.93,12.99
817342.7,14.43,2.17,735479.12,12.99
816530.62,14.43,2.16,733986.58,12.97
816149.02,14.42,2.16,733604.56,12.97
816149.02,14.42,2.16,733604.56,12.97
815940.28,14.42,2.16,733426.6,12.96
816190.82,14.43,2.16,733404.12,12.96
815966.55,14.43,2.16,733430.34,12.97
815775.49,14.42,2.16,733252.94,12.97
815551.22,14.42,2.16,733057.47,12.96
815135.89,14.42,2.16,732684.6,12.96
814944.83,14.42,2.16,732507.21,12.96
814720.56,14.42,2.15,732311.74,12.96
814529.5,14.42,2.15,732048.37,12.96
814305.23,14.42,2.15,731938.87,12.96
814114.17,14.42,2.15,731761.47,12.96
813698.84,14.41,2.15,731388.61,12.96
813317.23,14.41,2.14,731072.01,12.95
813092.96,14.41,2.14,730876.54,12.95
813068.88,14.41,2.14,730370.62,12.94
812653.54,14.41,2.14,729997.75,12.94
812462.49,14.4,2.14,729734.38,12.94
812148.09,14.4,2.14,729352.19,12.93
811130.66,14.4,2.14,728540.78,12.94
811130.66,14.4,2.14,728540.78,12.94
810505.29,14.4,2.13,727466.86,12.92
810609.75,14.4,2.14,727643.18,12.93
810418.7,14.4,2.14,727455.44,12.93
