ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
868480.61,14.35,0.76,222446.08,3.67
868452.16,14.35,0.76,222613.8,3.68
868288.13,14.34,0.75,222413.03,3.67
868447.81,14.35,0.76,222506.43,3.68
868627.52,14.35,0.76,222670.15,3.68
868361.93,14.35,0.76,222617.9,3.68
868203.25,14.35,0.76,222426.25,3.68
868203.25,14.35,0.76,222398.37,3.68
868203.25,14.35,0.76,224025.38,3.7
868399.82,14.35,0.76,223962.87,3.7
868450.27,14.35,0.76,224189.95,3.71
868421.82,14.35,0.76,224357.67,3.71
868157.79,14.35,0.76,224072.4,3.7
868208.24,14.35,0.76,224199.01,3.71
868258.69,14.36,0.77,224273.27,3.71
868306.05,14.36,0.77,223931.56,3.7
868674.29,14.37,0.77,223977.36,3.7
868674.29,14.37,0.77,224784.14,3.72
868471.95,14.36,0.77,224665.56,3.72
868566.67,14.36,0.77,229109.03,3.79
869154.19,14.38,0.79,229234.26,3.79
869333.89,14.38,0.79,229225.39,3.79
868999.63,14.38,0.79,228725.68,3.78
868889.99,14.38,0.78,228587.23,3.78
869049.67,14.38,0.79,229075.98,3.79
869049.67,14.38,0.79,229075.55,3.79
869049.67,14.38,0.79,229075.55,3.79
869100.12,14.38,0.79,229202.17,3.79
868834.53,14.38,0.79,228916.2,3.79
868994.21,14.38,0.79,229024.93,3.79
868728.63,14.38,0.79,228853.42,3.79
868779.08,14.38,0.79,228980.03,3.79
868938.75,14.39,0.8,229088.77,3.79
868986.11,14.39,0.8,228747.06,3.79
868810.53,14.39,0.8,228664.01,3.79
868674.62,14.39,0.8,228715.94,3.79
868976.71,14.39,0.8,228697.96,3.79
869027.16,14.4,0.8,228676.63,3.79
869077.6,14.4,0.81,228803.24,3.79
869077.6,14.4,0.81,230232.43,3.81
868851.42,14.4,0.8,230087.63,3.81
869031.12,14.4,0.81,230144.61,3.81
868775.51,14.4,0.81,230054.97,3.81
871586.32,14.44,0.85,236139.16,3.91
871633.68,14.45,0.86,235797.45,3.91
871672.29,14.45,0.86,235588.34,3.91
871722.74,14.45,0.86,235714.95,3.91
871773.19,14.45,0.86,235789.2,3.91
871952.89,14.46,0.87,235780.33,3.91
871687.28,14.45,0.86,235879.81,3.91
871927.85,14.46,0.87,235999.19,3.91
871975.21,14.46,0.87,235657.49,3.91
871839.3,14.46,0.87,235710.01,3.91
871839.3,14.46,0.87,235710.01,3.91
871837.42,14.46,0.87,235782.62,3.91
871837.42,14.46,0.87,235782.62,3.91
872043.32,14.47,0.88,235749.84,3.91
871798.72,14.46,0.87,235499.92,3.91
871849.17,14.47,0.88,235478.0,3.91
872296.46,14.48,0.89,235569.07,3.91
872296.46,14.48,0.89,235569.07,3.91
872456.14,14.48,0.89,235662.48,3.91
872365.11,14.48,0.89,235275.91,3.91
872544.82,14.48,0.89,235439.63,3.91
872299.21,14.48,0.89,235394.41,3.91
872142.85,14.48,0.89,235257.38,3.91
872006.94,14.48,0.89,235110.07,3.9
872245.63,14.49,0.89,235490.45,3.91
871980.04,14.48,0.89,235231.23,3.91
872030.49,14.48,0.89,235357.84,3.91
871735.9,14.48,0.89,235057.46,3.9
871786.35,14.48,0.89,235131.71,3.91
871966.05,14.49,0.9,235122.85,3.91
872016.5,14.49,0.9,235315.3,3.91
872066.95,14.49,0.9,235441.92,3.91
871811.34,14.49,0.9,235352.28,3.91
871991.04,14.49,0.9,235409.26,3.91
871991.04,14.49,0.9,235409.26,3.91
871748.03,14.49,0.9,235190.26,3.91
871502.42,14.49,0.9,235110.28,3.91
871549.78,14.49,0.9,234768.58,3.9
871755.68,14.5,0.9,234735.8,3.9
871915.36,14.5,0.91,234825.76,3.91
871965.81,14.5,0.91,234965.82,3.91
871965.81,14.5,0.91,234965.82,3.91
875011.37,14.55,0.96,232351.23,3.86
875197.03,14.56,0.97,232322.04,3.86
875247.47,14.56,0.97,232539.41,3.87
875247.47,14.56,0.97,232539.41,3.87
875297.92,14.56,0.97,232666.03,3.87
875046.36,14.56,0.97,232581.45,3.87
875226.06,14.56,0.97,232638.43,3.87
875060.48,14.56,0.97,232567.35,3.87
875110.93,14.56,0.97,232693.96,3.87
875270.6,14.57,0.98,232802.69,3.87
875014.99,14.57,0.97,232712.98,3.87
875014.99,14.57,0.97,232712.98,3.87
875062.35,14.57,0.98,232371.27,3.87
875100.96,14.57,0.98,232162.15,3.87
875100.96,14.57,0.98,232169.27,3.87
874965.05,14.57,0.98,232219.33,3.87
875150.71,14.58,0.98,232270.13,3.87
874899.15,14.57,0.98,232091.96,3.87
874742.79,14.57,0.98,231940.81,3.86
875197.07,14.58,0.99,231922.23,3.86
875309.83,14.58,0.99,231974.79,3.86
875489.53,14.59,1.0,231965.93,3.86
875353.63,14.59,1.0,232108.23,3.87
875404.08,14.59,1.0,232234.84,3.87
875138.49,14.59,0.99,232038.07,3.87
874951.44,14.58,0.99,231755.54,3.86
875111.12,14.59,1.0,231864.28,3.86
874952.44,14.59,0.99,231737.09,3.86
875002.89,14.59,1.0,231863.7,3.87
875208.28,14.59,1.0,232007.69,3.87
875208.28,14.59,1.0,232007.69,3.87
875655.56,14.6,1.01,232098.77,3.87
875564.54,14.6,1.01,231712.2,3.86
875614.99,14.6,1.01,231838.81,3.87
875665.44,14.61,1.02,231913.06,3.87
875665.44,14.61,1.02,232006.48,3.87
875892.72,14.61,1.02,231453.59,3.86
876072.43,14.62,1.03,231444.72,3.86
876072.43,14.62,1.03,235545.33,3.93
875896.84,14.62,1.02,235462.28,3.93
875755.53,14.61,1.02,235477.58,3.93
875504.23,14.61,1.02,235330.06,3.93
875554.68,14.61,1.02,235522.52,3.93
875605.13,14.62,1.03,235649.13,3.93
875312.12,14.61,1.02,235380.14,3.93
875471.8,14.62,1.03,235488.87,3.93
875710.49,14.62,1.03,235548.82,3.93
875454.87,14.62,1.03,235459.19,3.93
875505.32,14.62,1.03,235697.7,3.94
875552.68,14.63,1.03,235355.99,3.93
875861.59,14.63,1.04,235402.2,3.93
876449.1,14.64,1.05,235527.43,3.93
876313.2,14.64,1.05,235470.64,3.93
876177.29,14.64,1.05,235380.12,3.93
875911.7,14.64,1.05,235208.61,3.93
875577.44,14.64,1.05,234708.89,3.92
875577.44,14.64,1.05,234716.01,3.92
875624.8,14.64,1.05,234374.3,3.92
875933.71,14.65,1.05,234420.51,3.92
875993.43,14.65,1.06,234332.46,3.92
875831.3,14.64,1.05,234273.17,3.92
875878.66,14.65,1.06,233931.46,3.91
875917.27,14.65,1.06,233722.34,3.91
875514.26,14.64,1.05,233343.35,3.9
874427.0,14.65,1.05,233342.93,3.91
874183.99,14.64,1.05,233123.93,3.9
874027.64,14.64,1.05,232972.66,3.9
874224.2,14.64,1.05,232910.15,3.9
874274.65,14.65,1.06,233137.23,3.91
874148.15,14.65,1.05,233163.32,3.91
874344.72,14.65,1.06,233100.8,3.91
881197.74,14.76,1.17,236987.29,3.97
881248.19,14.77,1.18,237214.37,3.98
881248.19,14.77,1.18,237307.78,3.98
881128.19,14.77,1.18,237388.8,3.98
881287.86,14.77,1.18,237482.21,3.98
881338.31,14.77,1.18,237624.15,3.98
881338.31,14.77,1.18,243170.82,4.08
881385.67,14.78,1.19,242829.11,4.07
881679.93,14.78,1.19,242853.86,4.07
884490.74,14.83,1.24,244719.61,4.1
884354.84,14.83,1.24,244662.82,4.1
884089.25,14.83,1.24,244491.31,4.1
884139.7,14.83,1.24,244561.32,4.1
884555.22,14.84,1.25,244348.81,4.1
884734.93,14.84,1.25,244339.95,4.1
884734.93,14.84,1.25,244347.06,4.1
884479.31,14.84,1.25,244208.61,4.1
884479.31,14.84,1.25,244208.61,4.1
884343.41,14.84,1.25,244268.61,4.1
884202.09,14.84,1.25,244084.15,4.1
884252.54,14.84,1.25,244210.77,4.1
884302.99,14.84,1.25,244285.02,4.1
884541.68,14.85,1.26,244344.97,4.1
884592.13,14.85,1.26,244583.48,4.11
884642.58,14.86,1.26,244710.09,4.11
884398.98,14.85,1.26,244510.35,4.11
884040.62,14.85,1.26,244182.82,4.1
883904.71,14.85,1.26,244091.25,4.1
883768.81,14.85,1.26,243943.94,4.1
883928.48,14.85,1.26,244235.87,4.1
883978.93,14.85,1.26,244362.49,4.11
883978.93,14.85,1.26,244455.9,4.11
883843.03,14.85,1.26,244359.89,4.11
884290.31,14.86,1.27,244450.96,4.11
884366.84,14.87,1.28,244253.53,4.11
884230.94,14.87,1.28,244196.74,4.11
884281.38,14.87,1.28,244266.76,4.11
884461.09,14.87,1.28,244257.89,4.11
