ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3a56-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
625,3313,714800,6212,714800
625,3313,715610,6212,715610
625,3313,716610,6212,716610
626,3321,716610,6212,716610
626,3321,716610,6212,716610
626,3321,717610,6212,717610
626,3321,718420,6212,718420
626,3321,719420,6212,719420
627,3323,720420,6212,720420
627,3323,721420,6212,721420
628,3331,721890,6212,721890
629,3339,722890,6212,722890
629,3339,723890,6212,723890
630,3347,724540,6212,724540
630,3347,725540,6212,725540
631,3355,726350,6212,726350
631,3355,727350,6212,727350
632,3363,727350,6212,727350
632,3363,727350,6212,727350
632,3363,727350,6212,727350
632,3363,728160,6212,728160
633,3371,728160,6212,728160
633,3371,729160,6212,729160
633,3371,730160,6212,730160
634,3379,731160,6212,731160
635,3387,731630,6212,731630
636,3395,735630,6212,735630
637,3397,736440,6212,736440
638,3399,736910,6212,736910
639,3407,737230,6212,737230
639,3407,738040,6212,738040
640,3415,738850,6212,738850
640,3415,739660,6212,739660
