ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
954927.84,16.12,3.86,816243.22,13.78
954927.84,16.12,3.86,816086.09,13.78
955710.77,16.14,3.87,816009.12,13.78
955519.71,16.14,3.87,815757.2,13.78
955770.26,16.14,3.88,815743.66,13.78
955586.52,16.14,3.88,815234.95,13.77
955395.46,16.14,3.87,814979.05,13.77
955204.4,16.14,3.87,814719.39,13.77
955473.16,16.15,3.88,814734.94,13.77
955930.73,16.16,3.89,814885.05,13.77
955706.45,16.16,3.89,815067.92,13.78
955907.15,16.16,3.89,814964.38,13.78
956157.7,16.16,3.9,814950.85,13.78
956615.26,16.17,3.91,815100.96,13.78
957028.74,16.18,3.92,815253.48,13.78
957026.49,16.18,3.92,815194.04,13.78
957277.04,16.19,3.92,815180.51,13.79
958153.03,16.2,3.94,815218.78,13.79
957961.97,16.2,3.94,814959.12,13.78
957770.92,16.2,3.94,814699.45,13.78
957768.67,16.21,3.94,814640.01,13.78
957744.58,16.21,3.94,814134.09,13.78
957782.21,16.21,3.94,815083.61,13.79
957591.16,16.21,3.94,814908.72,13.79
958301.52,16.22,3.96,815014.29,13.8
957284.1,16.23,3.96,814202.88,13.8
957281.85,16.23,3.96,814143.44,13.8
957532.4,16.23,3.97,814129.91,13.8
957733.09,16.24,3.97,814026.37,13.8
957542.04,16.24,3.97,813841.67,13.8
957810.79,16.24,3.98,813889.64,13.8
958079.55,16.25,3.99,813847.38,13.8
958789.91,16.26,4.0,813950.1,13.81
959058.67,16.27,4.01,814055.34,13.81
959058.67,16.27,4.01,813705.06,13.81
958776.21,16.28,4.01,813321.45,13.81
958968.1,16.28,4.02,813103.45,13.81
958777.05,16.28,4.02,812847.55,13.8
961964.97,16.34,4.07,815355.01,13.85
962233.73,16.34,4.08,815165.38,13.85
962249.48,16.35,4.08,814511.83,13.84
962058.42,16.35,4.08,814252.17,13.83
962327.18,16.35,4.09,814222.43,13.84
962784.75,16.36,4.1,814372.55,13.84
963053.5,16.37,4.11,814350.34,13.84
963882.55,16.38,4.12,814311.21,13.84
963658.28,16.38,4.12,814134.61,13.84
963658.28,16.38,4.12,813977.48,13.84
963656.03,16.39,4.12,813918.04,13.84
964345.1,16.4,4.13,813849.45,13.84
964154.04,16.4,4.13,813597.53,13.84
964430.93,16.4,4.14,812926.69,13.83
964309.9,16.41,4.14,812896.05,13.83
964578.66,16.41,4.15,812873.84,13.83
964847.42,16.42,4.16,812889.39,13.83
965950.32,16.44,4.17,813641.96,13.85
966219.08,16.45,4.18,813619.76,13.85
966487.84,16.45,4.19,813724.99,13.85
966463.75,16.46,4.19,813219.07,13.85
965482.57,16.46,4.2,812479.78,13.85
965258.3,16.46,4.2,812573.31,13.86
965461.66,16.47,4.2,812279.39,13.85
965885.73,16.47,4.21,812539.99,13.86
965883.48,16.48,4.21,812480.55,13.86
965883.48,16.48,4.21,812130.27,13.85
965699.74,16.48,4.21,811759.29,13.85
965704.81,16.48,4.21,811481.78,13.85
966198.61,16.49,4.22,811702.72,13.85
966014.87,16.49,4.22,811248.81,13.85
965823.81,16.49,4.22,810996.89,13.85
966092.57,16.5,4.23,810954.63,13.85
965810.11,16.5,4.24,810446.46,13.85
966115.1,16.51,4.25,810582.32,13.85
966833.8,16.52,4.26,810581.2,13.85
965816.38,16.53,4.26,809769.8,13.86
965821.44,16.53,4.27,809920.87,13.86
965608.55,16.53,4.27,809235.18,13.85
965417.5,16.53,4.27,809060.29,13.85
966136.19,16.54,4.28,809059.17,13.85
966846.55,16.56,4.29,809164.74,13.86
966922.01,16.56,4.29,809136.03,13.86
966697.74,16.56,4.29,808949.63,13.86
966506.68,16.56,4.29,808689.96,13.85
966315.62,16.56,4.29,808505.27,13.85
966315.62,16.56,4.29,808425.25,13.85
966091.35,16.56,4.29,808309.2,13.85
965907.61,16.56,4.29,808048.82,13.85
966158.16,16.56,4.3,808035.29,13.85
966552.5,16.57,4.3,807653.01,13.85
966850.32,16.58,4.31,807716.92,13.85
967108.18,16.58,4.32,807367.07,13.84
967108.18,16.58,4.32,807264.86,13.84
967105.93,16.58,4.32,807205.42,13.84
967103.69,16.59,4.32,807145.98,13.84
967502.9,16.59,4.33,806870.68,13.84
967319.16,16.59,4.33,806461.73,13.83
968029.52,16.61,4.34,806567.3,13.84
968812.45,16.62,4.36,806490.33,13.84
969013.14,16.63,4.36,806270.97,13.83
969281.9,16.63,4.37,806318.94,13.84
969550.66,16.64,4.38,806318.36,13.84
970008.22,16.65,4.39,806468.47,13.84
970718.59,16.66,4.4,806571.19,13.85
971821.49,16.68,4.42,807323.76,13.86
971454.01,16.68,4.42,807097.22,13.86
970436.59,16.69,4.42,806285.82,13.86
970252.85,16.69,4.42,805866.29,13.86
970228.77,16.69,4.42,805360.36,13.85
970228.77,16.69,4.42,805275.59,13.85
970497.52,16.7,4.43,805342.49,13.86
970766.28,16.7,4.44,805311.05,13.86
970575.22,16.7,4.44,805126.36,13.86
970350.95,16.7,4.44,804990.01,13.86
970619.71,16.71,4.45,805095.65,13.86
970888.46,16.72,4.45,805162.55,13.86
971157.22,16.73,4.46,805178.1,13.87
971425.98,16.73,4.47,805036.4,13.87
971425.98,16.73,4.47,804925.16,13.86
971570.98,16.74,4.47,805368.88,13.87
971894.09,16.74,4.48,805668.54,13.88
971858.63,16.75,4.48,805944.04,13.89
972127.38,16.75,4.49,806010.95,13.89
971936.33,16.75,4.49,805751.28,13.89
972186.87,16.76,4.49,805737.75,13.89
971492.45,16.76,4.49,805664.28,13.9
971761.21,16.77,4.5,805632.84,13.9
971570.15,16.77,4.5,805377.49,13.9
972375.17,16.78,4.52,805458.29,13.9
972625.72,16.79,4.52,805444.76,13.9
973083.28,16.8,4.53,805594.87,13.9
973168.3,16.8,4.54,805534.05,13.91
973168.3,16.8,4.54,805369.75,13.91
972977.24,16.8,4.54,805185.05,13.91
973246.0,16.81,4.55,805233.02,13.91
972963.54,16.82,4.55,804849.41,13.91
972779.8,16.82,4.55,804336.33,13.9
973048.55,16.82,4.56,804441.56,13.91
973317.31,16.83,4.57,804399.3,13.91
974006.38,16.85,4.58,804330.71,13.91
974304.2,16.85,4.59,804394.62,13.91
974113.14,16.85,4.59,804209.92,13.91
974859.74,16.87,4.6,804382.64,13.92
974997.43,16.87,4.61,804276.95,13.92
974582.1,16.87,4.6,803915.65,13.91
975039.66,16.88,4.61,804065.77,13.92
975256.99,16.88,4.62,804435.47,13.93
975606.84,16.89,4.63,805909.98,13.95
975807.54,16.89,4.63,805806.43,13.95
976265.11,16.91,4.64,805956.55,13.96
976457.0,16.91,4.65,805738.55,13.95
976265.94,16.91,4.65,805478.88,13.95
976380.93,16.91,4.65,805893.55,13.96
976838.49,16.92,4.66,806043.67,13.96
977107.25,16.93,4.67,806012.22,13.97
976787.62,16.93,4.67,805559.28,13.96
977038.17,16.94,4.67,805545.75,13.96
977495.74,16.95,4.68,805695.86,13.97
977304.68,16.95,4.68,805439.96,13.97
977442.36,16.95,4.69,805334.26,13.97
977527.38,16.96,4.69,805083.81,13.97
977984.94,16.97,4.7,805233.93,13.97
977760.67,16.97,4.7,805057.33,13.97
978565.69,16.98,4.72,805138.12,13.97
979312.29,17.0,4.73,805310.84,13.98
979128.55,17.0,4.73,804935.99,13.97
979329.24,17.0,4.74,804733.13,13.97
979329.24,17.0,4.74,804653.11,13.97
979414.26,17.01,4.74,804768.37,13.98
978433.08,17.01,4.75,804029.08,13.98
978476.98,17.02,4.75,803711.43,13.98
978745.74,17.02,4.76,803759.39,13.98
979003.6,17.03,4.76,804003.75,13.99
979195.5,17.03,4.77,803785.75,13.98
979340.5,17.04,4.77,803386.56,13.98
979798.06,17.05,4.78,803536.68,13.98
979607.01,17.05,4.78,803281.33,13.98
979607.01,17.05,4.78,803489.94,13.98
980709.91,17.07,4.8,804242.51,14.0
