ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5079-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
582,2974,789800,6212,789800
583,2976,790800,6212,790800
584,2984,791800,6212,791800
584,2984,792800,6212,792800
585,2992,793450,6212,793450
586,3000,794100,6212,794100
587,3008,794560,6212,794560
588,3016,795370,6212,795370
589,3018,795530,6212,795530
589,3018,796340,6212,796340
589,3018,797150,6212,797150
589,3018,798150,6212,798150
590,3020,799150,6212,799150
590,3020,799470,6212,799470
591,3022,800470,6212,800470
592,3030,801470,6212,801470
593,3038,802280,6212,802280
594,3046,806280,6212,806280
594,3046,807280,6212,807280
595,3054,807500,6212,807500
595,3054,808500,6212,808500
596,3056,808500,6212,808500
597,3058,809500,6212,809500
597,3058,809500,6212,809500
598,3066,817500,6212,817500
599,3074,818500,6212,818500
600,3076,819500,6212,819500
600,3076,820050,6212,820050
601,3078,821050,6212,821050
602,3080,821860,6212,821860
602,3080,822860,6212,822860
603,3082,823860,6212,823860
603,3082,824330,6212,824330
603,3082,825330,6212,825330
604,3090,826330,6212,826330
604,3090,827330,6212,827330
605,3098,828330,6212,828330
606,3106,828330,6212,828330
607,3108,828800,6212,828800
608,3116,829800,6212,829800
609,3118,830800,6212,830800
610,3126,830800,6212,830800
610,3126,831800,6212,831800
611,3134,832610,6212,832610
612,3142,840610,6212,840610
613,3150,841610,6212,841610
613,3150,841610,6212,841610
613,3150,842420,6212,842420
614,3158,843420,6212,843420
615,3160,844420,6212,844420
616,3162,845420,6212,845420
616,3162,846230,6212,846230
617,3170,846230,6212,846230
618,3178,846230,6212,846230
618,3178,847230,6212,847230
618,3178,848230,6212,848230
618,3178,849230,6212,849230
618,3178,850230,6212,850230
618,3178,850230,6212,850230
618,3178,850230,6212,850230
