ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
323,902,769190,6212,769190
323,902,769510,6212,769510
324,904,770510,6212,770510
324,904,770970,6212,770970
325,906,771970,6212,771970
325,906,772440,6212,772440
325,906,772910,6212,772910
325,906,772910,6212,772910
326,908,774910,6212,774910
326,908,775140,6212,775140
327,910,776140,6212,776140
327,910,777140,6212,777140
328,912,777950,6212,777950
328,912,778760,6212,778760
328,912,779130,6212,779130
329,914,780130,6212,780130
329,914,780130,6212,780130
329,914,780940,6212,780940
330,916,781940,6212,781940
330,916,782940,6212,782940
331,918,783750,6212,783750
331,918,784220,6212,784220
332,920,785220,6212,785220
332,920,785690,6212,785690
333,928,793690,6212,793690
333,928,794500,6212,794500
334,930,795500,6212,795500
334,930,795500,6212,795500
334,930,796500,6212,796500
334,930,796500,6212,796500
334,930,796730,6212,796730
334,930,796730,6212,796730
335,932,797730,6212,797730
335,932,798540,6212,798540
336,934,799540,6212,799540
336,934,800190,6212,800190
337,936,801000,6212,801000
337,936,801810,6212,801810
338,938,802810,6212,802810
338,938,803810,6212,803810
338,938,803810,6212,803810
338,938,803810,6212,803810
339,946,811810,6212,811810
339,946,812130,6212,812130
339,946,812450,6212,812450
339,946,812770,6212,812770
339,946,813090,6212,813090
340,948,813900,6212,813900
340,948,814370,6212,814370
341,950,815370,6212,815370
342,954,819370,6212,819370
342,954,820370,6212,820370
343,956,821370,6212,821370
343,956,822370,6212,822370
344,958,822920,6212,822920
344,958,823570,6212,823570
344,958,823890,6212,823890
345,960,824890,6212,824890
345,960,825890,6212,825890
346,962,826890,6212,826890
346,962,827890,6212,827890
346,962,827890,6212,827890
347,964,828700,6212,828700
347,964,829170,6212,829170
347,964,829170,6212,829170
347,964,829400,6212,829400
348,966,830400,6212,830400
348,966,831400,6212,831400
348,966,831630,6212,831630
349,968,832630,6212,832630
350,976,840630,6212,840630
350,976,840630,6212,840630
350,976,841000,6212,841000
350,976,842000,6212,842000
350,976,842000,6212,842000
351,978,843000,6212,843000
351,978,844000,6212,844000
352,980,844470,6212,844470
352,980,844940,6212,844940
352,980,845750,6212,845750
353,982,846560,6212,846560
353,982,847560,6212,847560
354,984,848560,6212,848560
354,984,849560,6212,849560
355,986,850560,6212,850560
355,986,851560,6212,851560
356,988,852370,6212,852370
356,988,853020,6212,853020
357,990,853670,6212,853670
357,990,854140,6212,854140
358,992,854730,6212,854730
358,992,855200,6212,855200
358,992,856200,6212,856200
359,994,856790,6212,856790
359,994,856790,6212,856790
359,994,857790,6212,857790
360,996,858790,6212,858790
360,996,858790,6212,858790
360,996,859790,6212,859790
360,996,859790,6212,859790
361,998,860790,6212,860790
361,998,861790,6212,861790
362,1000,862600,6212,862600
362,1000,863070,6212,863070
363,1002,863720,6212,863720
363,1002,863720,6212,863720
363,1002,864720,6212,864720
363,1002,865040,6212,865040
363,1002,865040,6212,865040
363,1002,865360,6212,865360
364,1004,867360,6212,867360
364,1004,867360,6212,867360
364,1004,867360,6212,867360
364,1004,867360,6212,867360
365,1006,868360,6212,868360
365,1006,868830,6212,868830
365,1006,869640,6212,869640
366,1008,870230,6212,870230
366,1008,871230,6212,871230
367,1010,871820,6212,871820
367,1010,872630,6212,872630
368,1012,873630,6212,873630
368,1012,874630,6212,874630
368,1012,874790,6212,874790
369,1014,875250,6212,875250
369,1014,876250,6212,876250
369,1014,876570,6212,876570
370,1016,877570,6212,877570
370,1016,878570,6212,878570
371,1018,879570,6212,879570
372,1020,881570,6212,881570
372,1020,882570,6212,882570
373,1022,883570,6212,883570
373,1022,883890,6212,883890
373,1022,884890,6212,884890
374,1030,892890,6212,892890
375,1038,900890,6212,900890
376,1040,901700,6212,901700
376,1040,902700,6212,902700
376,1040,902920,6212,902920
376,1040,903080,6212,903080
377,1042,903890,6212,903890
377,1042,904890,6212,904890
377,1042,905110,6212,905110
377,1042,905270,6212,905270
378,1044,906270,6212,906270
378,1044,907270,6212,907270
379,1046,908270,6212,908270
379,1046,909270,6212,909270
380,1048,910270,6212,910270
380,1048,911270,6212,911270
381,1050,912270,6212,912270
381,1050,913270,6212,913270
381,1050,913590,6212,913590
382,1052,914590,6212,914590
382,1052,915400,6212,915400
382,1052,915400,6212,915400
383,1054,915870,6212,915870
383,1054,916680,6212,916680
384,1056,917680,6212,917680
384,1056,918680,6212,918680
384,1056,918680,6212,918680
385,1058,919680,6212,919680
385,1058,920680,6212,920680
386,1060,921680,6212,921680
386,1060,922490,6212,922490
387,1062,923490,6212,923490
387,1062,923720,6212,923720
387,1062,924720,6212,924720
388,1064,925720,6212,925720
389,1072,933720,6212,933720
389,1072,933720,6212,933720
389,1072,934190,6212,934190
389,1072,935190,6212,935190
389,1072,935420,6212,935420
390,1074,936420,6212,936420
390,1074,936790,6212,936790
390,1074,937790,6212,937790
391,1076,938790,6212,938790
391,1076,938790,6212,938790
391,1076,939600,6212,939600
392,1078,941600,6212,941600
393,1080,942410,6212,942410
393,1080,943410,6212,943410
394,1082,944410,6212,944410
394,1082,945410,6212,945410
395,1084,946410,6212,946410
395,1084,947220,6212,947220
395,1084,947220,6212,947220
396,1086,948220,6212,948220
396,1086,949220,6212,949220
397,1088,950220,6212,950220
397,1088,951220,6212,951220
398,1090,952220,6212,952220
398,1090,952220,6212,952220
398,1090,953220,6212,953220
399,1092,954220,6212,954220
399,1092,954220,6212,954220
399,1092,954810,6212,954810
400,1094,955280,6212,955280
401,1098,959280,6212,959280
401,1098,959750,6212,959750
401,1098,960560,6212,960560
402,1100,961560,6212,961560
402,1100,962030,6212,962030
402,1100,962490,6212,962490
403,1102,963490,6212,963490
403,1102,964490,6212,964490
404,1104,965300,6212,965300
404,1104,966300,6212,966300
405,1106,967110,6212,967110
405,1106,968110,6212,968110
406,1108,969110,6212,969110
406,1108,969920,6212,969920
406,1108,969920,6212,969920
407,1110,970730,6212,970730
407,1110,971100,6212,971100
407,1110,972100,6212,972100
408,1112,973100,6212,973100
408,1112,973100,6212,973100
408,1112,973100,6212,973100
408,1112,974100,6212,974100
409,1114,974570,6212,974570
409,1114,975570,6212,975570
410,1116,976570,6212,976570
410,1116,977380,6212,977380
411,1118,978380,6212,978380
411,1118,978700,6212,978700
411,1118,979510,6212,979510
412,1120,980320,6212,980320
413,1128,988320,6212,988320
413,1128,989320,6212,989320
414,1130,989780,6212,989780
414,1130,990100,6212,990100
414,1130,990570,6212,990570
415,1134,994570,6212,994570
416,1136,995570,6212,995570
416,1136,996050,6212,996050
416,1136,997050,6212,997050
417,1138,998050,6212,998050
417,1138,998370,6212,998370
418,1140,999180,6212,999180
418,1140,999180,6212,999180
418,1140,1000180,6212,1000180
419,1142,1001180,6212,1001180
419,1142,1002180,6212,1002180
420,1144,1002990,6212,1002990
420,1144,1003990,6212,1003990
420,1144,1003990,6212,1003990
420,1144,1004450,6212,1004450
421,1146,1005450,6212,1005450
421,1146,1006450,6212,1006450
422,1148,1007450,6212,1007450
