ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
496,2659,325750,6212,325750
497,2667,326070,6212,326070
498,2675,326620,6212,326620
498,2675,326620,6212,326620
499,2683,327430,6212,327430
499,2683,328240,6212,328240
500,2691,329050,6212,329050
500,2691,329050,6212,329050
500,2691,329700,6212,329700
500,2691,329700,6212,329700
501,2693,330700,6212,330700
502,2701,330700,6212,330700
502,2701,330920,6212,330920
503,2709,331390,6212,331390
503,2709,331390,6212,331390
503,2709,331390,6212,331390
503,2709,332200,6212,332200
503,2709,333010,6212,333010
504,2711,333820,6212,333820
505,2713,334630,6212,334630
506,2715,335440,6212,335440
506,2715,335910,6212,335910
507,2717,336380,6212,336380
507,2717,336850,6212,336850
508,2725,337660,6212,337660
509,2727,338130,6212,338130
510,2735,338130,6212,338130
511,2739,338130,6212,338130
511,2739,338940,6212,338940
512,2741,339750,6212,339750
513,2743,340220,6212,340220
514,2745,341030,6212,341030
515,2753,341840,6212,341840
515,2753,341840,6212,341840
516,2761,342110,6212,342110
516,2761,342920,6212,342920
517,2763,343730,6212,343730
518,2765,344200,6212,344200
518,2765,344670,6212,344670
518,2765,345140,6212,345140
519,2767,345790,6212,345790
519,2767,346260,6212,346260
519,2767,346630,6212,346630
519,2767,347280,6212,347280
519,2767,347750,6212,347750
519,2767,348560,6212,348560
519,2767,349210,6212,349210
519,2767,350210,6212,350210
520,2775,350680,6212,350680
521,2783,351270,6212,351270
522,2791,351920,6212,351920
522,2791,352380,6212,352380
522,2791,353190,6212,353190
523,2793,353190,6212,353190
523,2793,353650,6212,353650
524,2795,354460,6212,354460
524,2795,354930,6212,354930
525,2797,355250,6212,355250
525,2797,356250,6212,356250
