ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
878687.76,14.75,1.13,221483.37,3.72
878109.54,14.75,1.13,220803.73,3.71
878109.54,14.75,1.13,220803.47,3.71
878165.34,14.75,1.13,220445.29,3.7
878173.93,14.75,1.13,220247.54,3.7
878345.74,14.76,1.14,220328.11,3.7
878209.54,14.76,1.14,220298.25,3.7
878073.33,14.76,1.14,220197.69,3.7
877775.81,14.75,1.13,219961.07,3.7
877827.74,14.76,1.14,220151.76,3.7
877879.67,14.76,1.14,220274.73,3.7
878100.99,14.76,1.14,220408.97,3.71
877803.47,14.76,1.14,220263.92,3.7
877667.26,14.76,1.14,220133.5,3.7
877379.24,14.76,1.14,219936.32,3.7
877243.04,14.76,1.14,219936.32,3.7
877106.83,14.76,1.14,219799.78,3.7
876970.63,14.76,1.14,219799.78,3.7
876834.42,14.76,1.14,219775.91,3.7
876886.35,14.76,1.14,219898.88,3.7
876886.35,14.76,1.14,219898.88,3.7
877058.17,14.76,1.14,220047.16,3.7
877229.98,14.77,1.15,220127.74,3.71
877229.98,14.77,1.15,220708.01,3.72
877450.25,14.77,1.15,221181.42,3.72
877292.12,14.77,1.15,221027.95,3.72
877014.1,14.77,1.15,220756.02,3.72
876877.9,14.77,1.15,220643.36,3.72
876741.69,14.77,1.15,220512.94,3.71
876793.62,14.77,1.15,220635.92,3.72
877014.94,14.78,1.16,220770.15,3.72
877066.87,14.78,1.16,220893.13,3.72
876930.67,14.78,1.16,220893.13,3.72
876982.6,14.78,1.16,220964.25,3.72
876685.08,14.78,1.16,220819.2,3.72
876685.08,14.78,1.16,220301.09,3.71
876737.01,14.78,1.16,220424.07,3.72
883647.36,14.9,1.28,228361.9,3.85
883868.69,14.9,1.28,228496.14,3.85
884040.5,14.91,1.29,228576.71,3.85
883990.5,14.91,1.29,228526.71,3.85
883990.5,14.91,1.29,228526.45,3.85
883692.97,14.9,1.28,228381.4,3.85
883582.97,14.9,1.28,228271.4,3.85
883582.97,14.9,1.28,228271.4,3.85
883446.77,14.9,1.28,228225.7,3.85
883168.75,14.9,1.28,228037.5,3.85
883220.68,14.9,1.28,228228.18,3.85
883448.75,14.91,1.28,228212.21,3.85
883500.68,14.91,1.29,228490.78,3.86
883500.68,14.91,1.29,229702.19,3.88
883312.66,14.91,1.29,229551.41,3.87
883312.66,14.91,1.29,229297.13,3.87
883176.46,14.91,1.29,229212.4,3.87
882882.19,14.9,1.28,229071.67,3.87
883657.02,14.92,1.3,229394.09,3.87
883290.31,14.91,1.29,228868.53,3.86
883510.58,14.92,1.3,228917.43,3.87
883731.91,14.92,1.3,229238.07,3.87
883595.7,14.92,1.3,229218.73,3.87
883420.47,14.92,1.3,229146.83,3.87
883103.14,14.92,1.3,228829.5,3.86
882966.93,14.92,1.3,228718.42,3.86
882830.72,14.92,1.3,228699.09,3.86
882694.52,14.92,1.3,228588.0,3.86
882746.45,14.92,1.3,228710.98,3.87
882746.45,14.92,1.3,228715.37,3.87
882610.25,14.92,1.3,228584.95,3.86
882312.72,14.92,1.3,228497.09,3.86
882034.7,14.91,1.29,228308.88,3.86
881898.5,14.91,1.29,228308.88,3.86
881620.48,14.91,1.29,228120.68,3.86
881875.54,14.91,1.29,228336.57,3.86
881875.54,14.91,1.29,228394.09,3.86
882650.37,14.93,1.31,228716.51,3.87
882462.35,14.93,1.3,228617.1,3.87
882999.91,14.94,1.32,228766.33,3.87
883157.79,14.94,1.32,229161.92,3.88
882791.08,14.93,1.31,228636.36,3.87
885934.12,14.99,1.37,233326.21,3.95
885755.87,14.98,1.36,233112.96,3.94
885977.19,14.99,1.37,233141.03,3.94
885679.67,14.99,1.37,232976.42,3.94
885731.6,14.99,1.37,233221.19,3.95
885595.39,14.99,1.37,233191.34,3.95
885403.05,14.99,1.37,232756.05,3.94
885454.98,14.99,1.37,232879.02,3.94
885494.19,14.99,1.37,237079.1,4.01
888755.89,15.05,1.43,239594.1,4.06
888580.66,15.04,1.42,239522.2,4.06
888444.45,15.04,1.42,239421.64,4.05
888710.8,15.05,1.43,239178.14,4.05
888932.12,15.06,1.44,239312.38,4.05
888634.6,15.05,1.43,239167.33,4.05
888498.39,15.05,1.43,239137.48,4.05
888362.19,15.05,1.43,239036.91,4.05
888225.98,15.05,1.43,239017.57,4.05
888763.54,15.06,1.44,239166.8,4.05
888984.86,15.07,1.45,239198.58,4.05
888984.86,15.07,1.45,239198.58,4.05
888792.51,15.07,1.45,238763.28,4.05
888656.31,15.07,1.45,238652.2,4.05
888708.24,15.07,1.45,238877.64,4.05
888572.04,15.07,1.45,238847.78,4.05
888743.85,15.08,1.46,239087.38,4.06
888446.32,15.07,1.45,238942.33,4.05
888271.09,15.07,1.45,238614.99,4.05
888009.82,15.07,1.45,238462.96,4.05
887731.81,15.06,1.44,238116.51,4.04
887783.74,15.06,1.44,238220.37,4.04
887835.67,15.07,1.45,238343.34,4.05
888056.99,15.07,1.45,238477.58,4.05
888312.05,15.08,1.46,238542.94,4.05
888175.84,15.08,1.46,238442.37,4.05
888347.66,15.08,1.46,238968.42,4.06
888347.66,15.08,1.46,238968.42,4.06
888211.45,15.08,1.46,238838.01,4.06
888075.24,15.08,1.46,238838.01,4.06
887497.02,15.08,1.46,238158.36,4.05
887230.53,15.07,1.45,237940.42,4.04
887485.59,15.08,1.46,238005.79,4.04
887485.59,15.08,1.46,238005.79,4.04
887537.52,15.08,1.46,238279.29,4.05
