ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1193635.1,19.87,1.29,188450.44,3.14
1193237.75,19.87,1.29,188068.9,3.13
1193237.75,19.87,1.29,188088.3,3.13
1193258.68,19.87,1.29,188185.62,3.13
1192752.24,19.86,1.28,187648.8,3.13
1192752.24,19.86,1.28,187645.89,3.13
1192582.24,19.86,1.28,187710.94,3.13
1193201.18,19.88,1.3,187949.66,3.13
1193274.74,19.88,1.3,187992.83,3.13
1192889.56,19.88,1.3,187904.19,3.13
1192889.56,19.88,1.3,187904.19,3.13
1192469.9,19.88,1.29,187288.15,3.12
1192469.9,19.88,1.29,187288.15,3.12
1191860.25,19.87,1.29,186482.11,3.11
1191240.78,19.86,1.28,185895.18,3.1
1190821.13,19.86,1.28,185279.14,3.09
1190897.03,19.86,1.28,186196.47,3.11
1192019.52,19.88,1.3,186318.21,3.11
1191943.62,19.89,1.31,186422.11,3.11
1191523.97,19.88,1.3,185806.08,3.1
1191769.51,19.89,1.31,185709.12,3.1
1191349.85,19.88,1.3,185093.09,3.09
1191182.82,19.88,1.3,185097.6,3.09
1191901.81,19.9,1.32,185436.14,3.1
1191903.84,19.9,1.32,185438.18,3.1
1191711.25,19.9,1.32,185424.35,3.1
1191842.68,19.9,1.32,185666.52,3.1
1191842.68,19.9,1.32,185666.52,3.1
1191766.78,19.91,1.32,185770.43,3.1
1192049.6,19.92,1.34,185714.11,3.1
1192383.43,19.92,1.34,186089.25,3.11
1192646.15,19.93,1.35,186341.69,3.11
1192036.49,19.92,1.34,185535.65,3.1
1191616.84,19.92,1.34,184919.62,3.09
1192214.72,19.93,1.35,185104.03,3.09
1192085.28,19.93,1.35,185241.67,3.1
1191915.28,19.93,1.35,184786.43,3.09
1191495.62,19.93,1.35,184170.39,3.08
1191497.66,19.93,1.35,184176.96,3.08
1191078.0,19.92,1.34,183560.93,3.07
1190495.9,19.92,1.34,182977.81,3.06
1190201.88,19.91,1.33,182690.82,3.06
1189592.22,19.91,1.33,181884.78,3.04
1189592.22,19.91,1.33,181884.78,3.04
1189592.22,19.91,1.33,181884.78,3.04
1189981.18,19.91,1.33,181931.03,3.04
1189561.53,19.91,1.33,181315.0,3.03
1189561.53,19.91,1.33,181315.0,3.03
1189394.49,19.91,1.33,181293.49,3.03
1189923.36,19.92,1.34,182683.39,3.06
1189753.36,19.92,1.34,182711.67,3.06
1190372.31,19.93,1.35,182987.16,3.06
1190212.76,19.93,1.36,182993.33,3.06
1190212.76,19.93,1.36,182993.33,3.06
1190644.54,19.94,1.36,183413.86,3.07
1190933.64,19.95,1.37,183310.54,3.07
1190741.05,19.95,1.37,183296.71,3.07
1190741.05,19.95,1.37,183226.02,3.07
1190872.48,19.95,1.37,183509.59,3.07
1190452.82,19.95,1.37,182893.55,3.06
1188945.14,19.95,1.37,182834.72,3.07
1189021.04,19.96,1.38,183752.05,3.08
1190143.54,19.98,1.4,183873.79,3.09
1190219.44,19.98,1.4,184791.11,3.1
1191690.95,20.01,1.43,185261.37,3.11
1191523.92,20.01,1.43,185201.24,3.11
1191762.67,20.02,1.44,185292.33,3.11
1191153.02,20.01,1.43,184486.29,3.1
1190960.43,20.01,1.43,184660.26,3.1
1190767.84,20.01,1.43,184582.21,3.1
1190575.25,20.01,1.43,184571.61,3.1
1190382.66,20.01,1.43,184512.58,3.1
1190178.39,20.01,1.43,184343.77,3.1
1189985.79,20.01,1.43,184314.16,3.1
1189787.52,20.01,1.43,183667.79,3.09
1189777.22,20.01,1.43,183462.26,3.09
1189776.34,20.01,1.43,183930.43,3.09
1190025.99,20.02,1.44,184141.54,3.1
1189950.09,20.02,1.44,184244.03,3.1
1190702.64,20.04,1.46,184637.17,3.11
1190510.05,20.04,1.46,184629.95,3.11
1190317.45,20.04,1.46,184548.52,3.11
1190317.45,20.04,1.46,184548.52,3.11
1190564.47,20.04,1.46,184472.89,3.11
1190193.12,20.04,1.46,184179.19,3.1
1190347.59,20.04,1.46,184322.07,3.1
1190347.59,20.04,1.46,184322.07,3.1
1190966.54,20.06,1.48,184574.53,3.11
1190796.54,20.06,1.48,184639.58,3.11
1190516.81,20.05,1.48,184381.53,3.11
1190123.54,20.05,1.47,184041.75,3.1
1190696.79,20.06,1.49,184122.52,3.1
1190201.76,20.06,1.48,183794.12,3.1
1190031.76,20.06,1.48,183859.17,3.1
1189518.91,20.05,1.48,183277.79,3.09
1189302.41,20.05,1.48,183280.03,3.09
1187732.77,20.05,1.48,183199.83,3.09
1187769.32,20.06,1.48,182616.52,3.08
1187998.95,20.06,1.49,182992.34,3.09
1188220.58,20.07,1.49,182909.69,3.09
1188027.99,20.07,1.49,183313.03,3.1
1187857.99,20.07,1.49,183378.08,3.1
1188934.28,20.09,1.51,183811.6,3.11
1188235.02,20.08,1.51,183191.63,3.1
1187937.84,20.08,1.5,183237.99,3.1
1188092.31,20.08,1.51,183380.87,3.1
1188711.26,20.1,1.52,183633.33,3.1
1188518.67,20.1,1.52,183551.6,3.1
1188326.08,20.1,1.52,183544.68,3.1
1187642.38,20.09,1.51,182765.29,3.09
1187449.79,20.09,1.52,182683.57,3.09
1187257.2,20.09,1.52,182676.64,3.09
1186738.72,20.08,1.51,182456.48,3.09
1186546.13,20.08,1.51,182442.66,3.09
1186784.88,20.09,1.52,182721.53,3.09
1188095.71,20.12,1.54,184016.9,3.12
1188095.71,20.12,1.54,184016.9,3.12
1187925.71,20.12,1.54,184045.18,3.12
1187925.71,20.12,1.54,184045.18,3.12
1187881.95,20.12,1.55,183399.59,3.11
1187689.36,20.12,1.55,183315.07,3.11
1187689.36,20.12,1.55,183315.07,3.11
1186990.34,20.11,1.54,182536.49,3.09
1187682.57,20.12,1.55,183649.39,3.11
1187489.98,20.12,1.55,183625.36,3.11
1187297.39,20.12,1.55,183621.23,3.11
1187297.39,20.12,1.55,183619.22,3.11
1187297.39,20.12,1.55,183619.22,3.11
1187335.84,20.13,1.55,183481.23,3.11
1187165.84,20.13,1.55,182706.0,3.1
1186686.55,20.12,1.55,181985.59,3.09
1186686.55,20.12,1.55,181985.59,3.09
1186251.93,20.12,1.54,181648.21,3.08
1186119.82,20.11,1.54,181589.5,3.08
1185912.12,20.11,1.54,182176.46,3.09
1185920.54,20.12,1.55,181807.95,3.08
1185753.5,20.12,1.55,182210.61,3.09
1185983.64,20.12,1.55,182423.14,3.1
1185973.34,20.13,1.55,181883.33,3.09
1185963.03,20.13,1.56,181666.83,3.08
1186180.63,20.13,1.56,182531.53,3.1
1185988.04,20.13,1.56,182447.01,3.1
1185822.66,20.13,1.56,182331.1,3.1
1185655.63,20.13,1.56,182253.66,3.09
1185394.57,20.13,1.56,181920.79,3.09
1185201.98,20.13,1.56,181916.65,3.09
1185034.95,20.13,1.56,181912.47,3.09
1185273.7,20.14,1.57,182003.55,3.09
1184902.35,20.13,1.56,181828.2,3.09
1184709.76,20.13,1.56,181883.82,3.09
1184539.76,20.13,1.56,181888.68,3.09
1185158.71,20.15,1.58,182078.43,3.1
1184966.12,20.15,1.58,181993.92,3.09
1185404.09,20.16,1.59,182526.89,3.1
1185211.5,20.16,1.59,182522.76,3.1
1185201.2,20.16,1.59,181982.95,3.1
1185222.13,20.16,1.59,182080.27,3.1
1185206.64,20.17,1.59,183064.65,3.11
