ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1603466.98,26.81,1.24,256533.45,4.29
1603211.24,26.81,1.24,256533.45,4.29
1602955.5,26.81,1.24,256489.68,4.29
1602955.5,26.81,1.24,256489.68,4.29
1602955.5,26.81,1.24,256489.68,4.29
1602888.62,26.81,1.24,256668.71,4.29
1602888.62,26.81,1.24,256668.71,4.29
1602888.62,26.81,1.24,256668.71,4.29
1602632.88,26.81,1.24,256682.3,4.29
1602566.0,26.82,1.24,256765.21,4.3
1605475.74,26.87,1.29,257286.97,4.31
1605220.0,26.87,1.29,257243.2,4.31
1605153.12,26.87,1.29,257422.33,4.31
1604897.38,26.87,1.29,257378.56,4.31
1604830.5,26.87,1.3,257561.02,4.31
1604574.76,26.87,1.3,257517.25,4.31
1604214.93,26.87,1.29,257130.43,4.31
1603703.45,26.87,1.29,257086.66,4.31
1603703.45,26.87,1.29,257086.66,4.31
1603703.45,26.87,1.29,257086.66,4.31
1603636.57,26.87,1.3,257265.69,4.31
1604179.45,26.88,1.31,257343.99,4.31
1604069.45,26.88,1.31,257233.99,4.31
1603813.71,26.88,1.31,257190.22,4.31
1603373.36,26.88,1.3,256686.16,4.3
1603117.63,26.88,1.3,256686.16,4.3
1603117.63,26.88,1.3,256686.16,4.3
1603117.63,26.88,1.3,256686.16,4.3
1602918.02,26.87,1.3,256502.03,4.3
1603418.03,26.89,1.31,256477.81,4.3
1603162.29,26.89,1.31,256434.04,4.3
1602615.26,26.88,1.31,255892.29,4.29
