ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
300,714,588670,6212,588670
301,716,589670,6212,589670
301,716,590670,6212,590670
301,716,590890,6212,590890
302,718,591890,6212,591890
302,718,592890,6212,592890
303,720,593890,6212,593890
303,720,594700,6212,594700
303,720,594700,6212,594700
304,722,595160,6212,595160
304,722,595380,6212,595380
304,722,596380,6212,596380
305,726,597380,6212,597380
305,726,597850,6212,597850
305,726,598850,6212,598850
305,726,599850,6212,599850
305,726,600850,6212,600850
306,734,608850,6212,608850
306,734,609170,6212,609170
307,736,609720,6212,609720
307,736,610720,6212,610720
307,736,610720,6212,610720
308,738,611720,6212,611720
308,738,612530,6212,612530
309,740,613000,6212,613000
309,740,613810,6212,613810
310,742,614810,6212,614810
310,742,615030,6212,615030
310,742,616030,6212,616030
310,742,616500,6212,616500
311,744,617310,6212,617310
311,744,618310,6212,618310
312,746,619120,6212,619120
312,746,619440,6212,619440
312,746,619440,6212,619440
313,748,620250,6212,620250
313,748,621060,6212,621060
313,748,621060,6212,621060
313,748,621060,6212,621060
314,750,621870,6212,621870
314,750,622870,6212,622870
315,752,623680,6212,623680
315,752,624000,6212,624000
315,752,624810,6212,624810
316,754,625810,6212,625810
316,754,626620,6212,626620
317,756,627620,6212,627620
317,756,628620,6212,628620
317,756,628940,6212,628940
318,758,629940,6212,629940
318,758,630400,6212,630400
319,760,631400,6212,631400
320,762,632210,6212,632210
320,762,633210,6212,633210
321,764,634210,6212,634210
321,764,635210,6212,635210
321,764,635210,6212,635210
321,764,636020,6212,636020
322,768,637020,6212,637020
323,776,637020,6212,637020
323,776,638020,6212,638020
323,776,638830,6212,638830
323,776,639830,6212,639830
323,776,640830,6212,640830
323,776,641830,6212,641830
323,776,642640,6212,642640
323,776,643450,6212,643450
323,776,643670,6212,643670
323,776,644670,6212,644670
323,776,645130,6212,645130
324,778,645940,6212,645940
324,778,646940,6212,646940
324,778,647940,6212,647940
324,778,648940,6212,648940
324,778,649940,6212,649940
324,778,650940,6212,650940
325,780,651940,6212,651940
325,780,651940,6212,651940
326,788,651940,6212,651940
326,788,652940,6212,652940
327,790,653940,6212,653940
327,790,654940,6212,654940
328,792,655940,6212,655940
329,794,656940,6212,656940
329,794,656940,6212,656940
329,794,656940,6212,656940
329,794,657940,6212,657940
330,796,658750,6212,658750
330,796,659750,6212,659750
330,796,660560,6212,660560
330,796,660560,6212,660560
331,798,661560,6212,661560
332,800,662560,6212,662560
332,800,663560,6212,663560
332,800,664560,6212,664560
332,800,664560,6212,664560
333,802,665560,6212,665560
333,802,666370,6212,666370
334,804,667370,6212,667370
334,804,668370,6212,668370
335,806,669370,6212,669370
335,806,670370,6212,670370
336,808,671370,6212,671370
337,810,672020,6212,672020
337,810,673020,6212,673020
337,810,674020,6212,674020
338,812,675020,6212,675020
338,812,675830,6212,675830
339,814,676830,6212,676830
339,814,677150,6212,677150
339,814,678150,6212,678150
340,816,679150,6212,679150
340,816,680150,6212,680150
340,816,680150,6212,680150
341,818,681150,6212,681150
341,818,682150,6212,682150
342,820,683150,6212,683150
342,820,684150,6212,684150
343,822,685150,6212,685150
343,822,685960,6212,685960
343,822,685960,6212,685960
343,822,685960,6212,685960
344,824,686960,6212,686960
344,824,687610,6212,687610
345,826,688610,6212,688610
345,826,689610,6212,689610
346,828,690200,6212,690200
346,828,690200,6212,690200
346,828,690430,6212,690430
346,828,691430,6212,691430
347,830,691890,6212,691890
347,830,692890,6212,692890
347,830,692890,6212,692890
348,832,693890,6212,693890
348,832,694260,6212,694260
348,832,695260,6212,695260
349,834,696070,6212,696070
349,834,697070,6212,697070
350,836,698070,6212,698070
350,836,699070,6212,699070
350,836,699540,6212,699540
351,838,700540,6212,700540
352,846,701540,6212,701540
352,846,702540,6212,702540
352,846,703540,6212,703540
352,846,704540,6212,704540
352,846,705540,6212,705540
353,854,705540,6212,705540
353,854,706000,6212,706000
353,854,707000,6212,707000
353,854,707000,6212,707000
353,854,708000,6212,708000
353,854,709000,6212,709000
353,854,709000,6212,709000
353,854,709000,6212,709000
354,856,710000,6212,710000
354,856,710000,6212,710000
355,858,711000,6212,711000
