ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
451,2264,410020,6212,410020
452,2266,411020,6212,411020
453,2268,412020,6212,412020
453,2268,413020,6212,413020
453,2268,413240,6212,413240
453,2268,413240,6212,413240
454,2276,414240,6212,414240
454,2276,422240,6212,422240
455,2284,423240,6212,423240
456,2286,424050,6212,424050
457,2290,424050,6212,424050
458,2291,425050,6212,425050
459,2299,426050,6212,426050
459,2299,426270,6212,426270
460,2301,426920,6212,426920
461,2303,427920,6212,427920
462,2305,428920,6212,428920
462,2305,429920,6212,429920
463,2313,430570,6212,430570
464,2315,431380,6212,431380
465,2323,432380,6212,432380
465,2323,433030,6212,433030
466,2331,433500,6212,433500
467,2339,433500,6212,433500
468,2341,434310,6212,434310
469,2343,434780,6212,434780
469,2343,435250,6212,435250
470,2351,435720,6212,435720
471,2359,436190,6212,436190
472,2367,437000,6212,437000
473,2369,438000,6212,438000
473,2369,438320,6212,438320
474,2371,439320,6212,439320
474,2371,440130,6212,440130
475,2379,440600,6212,440600
475,2379,441600,6212,441600
475,2379,441920,6212,441920
475,2379,442730,6212,442730
475,2379,442890,6212,442890
476,2383,443890,6212,443890
476,2383,444540,6212,444540
477,2385,444540,6212,444540
477,2385,445540,6212,445540
478,2387,446010,6212,446010
479,2389,447010,6212,447010
480,2397,447330,6212,447330
481,2405,448330,6212,448330
482,2409,449330,6212,449330
482,2409,449700,6212,449700
483,2417,450700,6212,450700
483,2417,451700,6212,451700
483,2417,452700,6212,452700
483,2417,453700,6212,453700
484,2421,454700,6212,454700
484,2421,455700,6212,455700
485,2429,456700,6212,456700
486,2437,456700,6212,456700
487,2445,456700,6212,456700
488,2447,456930,6212,456930
488,2447,457930,6212,457930
488,2447,457930,6212,457930
489,2455,458250,6212,458250
490,2457,458720,6212,458720
491,2465,459720,6212,459720
491,2465,460720,6212,460720
492,2467,461720,6212,461720
493,2475,462530,6212,462530
493,2475,463340,6212,463340
493,2475,463820,6212,463820
494,2477,464820,6212,464820
495,2479,465820,6212,465820
496,2487,466820,6212,466820
496,2487,466820,6212,466820
497,2495,467820,6212,467820
497,2495,468820,6212,468820
498,2497,469630,6212,469630
498,2497,470630,6212,470630
498,2497,471100,6212,471100
498,2497,472100,6212,472100
498,2497,472910,6212,472910
498,2497,473720,6212,473720
498,2497,474720,6212,474720
498,2497,475720,6212,475720
499,2499,476720,6212,476720
499,2499,477530,6212,477530
500,2501,477760,6212,477760
501,2503,478760,6212,478760
501,2503,478760,6212,478760
501,2503,479760,6212,479760
502,2511,479980,6212,479980
503,2519,480450,6212,480450
503,2519,481260,6212,481260
503,2519,482260,6212,482260
504,2521,483260,6212,483260
504,2521,484260,6212,484260
505,2523,485070,6212,485070
505,2523,485660,6212,485660
505,2523,486660,6212,486660
506,2531,494660,6212,494660
507,2539,495210,6212,495210
507,2539,496020,6212,496020
508,2547,496020,6212,496020
508,2547,497020,6212,497020
509,2549,498020,6212,498020
510,2557,498020,6212,498020
510,2557,499020,6212,499020
510,2557,500020,6212,500020
510,2557,500250,6212,500250
511,2559,501250,6212,501250
512,2567,501410,6212,501410
513,2571,502410,6212,502410
514,2579,503410,6212,503410
514,2579,504410,6212,504410
515,2581,504880,6212,504880
516,2583,505350,6212,505350
517,2585,505820,6212,505820
517,2585,506820,6212,506820
517,2585,507630,6212,507630
518,2593,508630,6212,508630
518,2593,509630,6212,509630
519,2601,509950,6212,509950
519,2601,510760,6212,510760
520,2603,511080,6212,511080
521,2611,511550,6212,511550
521,2611,512360,6212,512360
522,2619,512830,6212,512830
522,2619,513830,6212,513830
523,2621,514300,6212,514300
524,2623,514300,6212,514300
524,2623,514620,6212,514620
525,2631,515620,6212,515620
525,2631,516620,6212,516620
526,2633,517430,6212,517430
527,2635,518430,6212,518430
528,2637,518900,6212,518900
529,2639,519220,6212,519220
530,2641,519690,6212,519690
530,2641,520500,6212,520500
531,2643,520970,6212,520970
532,2645,521970,6212,521970
533,2653,522970,6212,522970
533,2653,523970,6212,523970
534,2661,523970,6212,523970
535,2663,524620,6212,524620
536,2665,525620,6212,525620
537,2673,526430,6212,526430
538,2675,526430,6212,526430
539,2683,527240,6212,527240
539,2683,528240,6212,528240
540,2691,529240,6212,529240
540,2691,529710,6212,529710
540,2691,529710,6212,529710
540,2691,529710,6212,529710
541,2693,530710,6212,530710
541,2693,531710,6212,531710
542,2701,532710,6212,532710
543,2709,533710,6212,533710
543,2709,534710,6212,534710
544,2717,535030,6212,535030
545,2719,536030,6212,536030
546,2727,537030,6212,537030
547,2735,537030,6212,537030
548,2737,537030,6212,537030
548,2737,538030,6212,538030
549,2745,539030,6212,539030
550,2747,539500,6212,539500
551,2751,540500,6212,540500
552,2752,540500,6212,540500
552,2752,541150,6212,541150
553,2760,542150,6212,542150
554,2768,542620,6212,542620
554,2768,542620,6212,542620
555,2772,542730,6212,542730
556,2774,543200,6212,543200
556,2774,544200,6212,544200
556,2774,544200,6212,544200
557,2782,545200,6212,545200
558,2790,546200,6212,546200
559,2792,547200,6212,547200
559,2792,548200,6212,548200
560,2794,549200,6212,549200
560,2794,550200,6212,550200
560,2794,551200,6212,551200
561,2795,551430,6212,551430
562,2797,552430,6212,552430
563,2805,553430,6212,553430
564,2813,554240,6212,554240
564,2813,555240,6212,555240
565,2815,556240,6212,556240
565,2815,556700,6212,556700
565,2815,557700,6212,557700
566,2817,558160,6212,558160
566,2817,559160,6212,559160
566,2817,559970,6212,559970
567,2825,559970,6212,559970
567,2825,560970,6212,560970
568,2833,561970,6212,561970
569,2841,562970,6212,562970
569,2841,563780,6212,563780
570,2849,564370,6212,564370
571,2857,564840,6212,564840
572,2865,565840,6212,565840
572,2865,569840,6212,569840
573,2867,569840,6212,569840
573,2867,570310,6212,570310
573,2867,570310,6212,570310
573,2867,570630,6212,570630
574,2869,571440,6212,571440
575,2871,572440,6212,572440
575,2871,573440,6212,573440
575,2871,573440,6212,573440
575,2871,574440,6212,574440
576,2879,574670,6212,574670
577,2881,575670,6212,575670
578,2889,576670,6212,576670
578,2889,577670,6212,577670
579,2897,577670,6212,577670
580,2905,578670,6212,578670
580,2905,579140,6212,579140
581,2909,579790,6212,579790
582,2917,580790,6212,580790
583,2921,581790,6212,581790
584,2929,581790,6212,581790
585,2930,582790,6212,582790
585,2930,583260,6212,583260
586,2932,583580,6212,583580
587,2934,584390,6212,584390
587,2934,585200,6212,585200
588,2942,585670,6212,585670
589,2944,586670,6212,586670
590,2948,586670,6212,586670
591,2956,587670,6212,587670
592,2958,588670,6212,588670
592,2958,589670,6212,589670
592,2958,590670,6212,590670
592,2958,590890,6212,590890
593,2960,591890,6212,591890
594,2968,592890,6212,592890
595,2976,593890,6212,593890
595,2976,594700,6212,594700
596,2984,594700,6212,594700
596,2984,595160,6212,595160
597,2986,595380,6212,595380
598,2994,596380,6212,596380
598,2994,597380,6212,597380
598,2994,597850,6212,597850
599,3002,598850,6212,598850
600,3006,599850,6212,599850
600,3006,600850,6212,600850
601,3014,608850,6212,608850
602,3016,609170,6212,609170
602,3016,609720,6212,609720
602,3016,610720,6212,610720
602,3016,610720,6212,610720
603,3018,611720,6212,611720
604,3020,612530,6212,612530
604,3020,613000,6212,613000
605,3022,613810,6212,613810
605,3022,614810,6212,614810
606,3023,615030,6212,615030
607,3031,616030,6212,616030
608,3033,616500,6212,616500
609,3035,617310,6212,617310
609,3035,618310,6212,618310
610,3043,619120,6212,619120
610,3043,619440,6212,619440
610,3043,619440,6212,619440
611,3051,620250,6212,620250
612,3053,621060,6212,621060
613,3061,621060,6212,621060
613,3061,621060,6212,621060
614,3063,621870,6212,621870
615,3065,622870,6212,622870
615,3065,623680,6212,623680
615,3065,624000,6212,624000
616,3073,624810,6212,624810
616,3073,625810,6212,625810
617,3075,626620,6212,626620
618,3079,627620,6212,627620
619,3081,628620,6212,628620
620,3083,628940,6212,628940
621,3085,629940,6212,629940
622,3089,630400,6212,630400
623,3097,631400,6212,631400
623,3097,632210,6212,632210
624,3105,633210,6212,633210
624,3105,634210,6212,634210
625,3113,635210,6212,635210
625,3113,635210,6212,635210
625,3113,636020,6212,636020
625,3113,637020,6212,637020
626,3121,637020,6212,637020
626,3121,638020,6212,638020
626,3121,638830,6212,638830
627,3123,639830,6212,639830
628,3131,640830,6212,640830
629,3139,641830,6212,641830
630,3147,642640,6212,642640
631,3155,643450,6212,643450
632,3163,643670,6212,643670
633,3171,644670,6212,644670
634,3179,645130,6212,645130
634,3179,645940,6212,645940
634,3179,646940,6212,646940
635,3181,647940,6212,647940
635,3181,648940,6212,648940
635,3181,649940,6212,649940
635,3181,650940,6212,650940
636,3189,651940,6212,651940
637,3191,651940,6212,651940
638,3193,651940,6212,651940
639,3195,652940,6212,652940
640,3197,653940,6212,653940
641,3199,654940,6212,654940
642,3201,655940,6212,655940
642,3201,656940,6212,656940
642,3201,656940,6212,656940
643,3203,656940,6212,656940
643,3203,657940,6212,657940
644,3211,658750,6212,658750
645,3219,659750,6212,659750
645,3219,660560,6212,660560
646,3227,660560,6212,660560
647,3229,661560,6212,661560
648,3231,662560,6212,662560
649,3233,663560,6212,663560
649,3233,664560,6212,664560
650,3241,664560,6212,664560
651,3245,665560,6212,665560
651,3245,666370,6212,666370
651,3245,667370,6212,667370
651,3245,668370,6212,668370
652,3247,669370,6212,669370
653,3249,670370,6212,670370
653,3249,671370,6212,671370
654,3251,672020,6212,672020
654,3251,673020,6212,673020
