ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e093-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
295,678,513570,6212,513570
295,678,514570,6212,514570
296,680,515380,6212,515380
296,680,516190,6212,516190
297,682,517190,6212,517190
297,682,517190,6212,517190
297,682,518000,6212,518000
297,682,518000,6212,518000
298,684,519000,6212,519000
298,684,519000,6212,519000
298,684,519810,6212,519810
299,686,520810,6212,520810
299,686,521040,6212,521040
299,686,521850,6212,521850
300,688,522850,6212,522850
300,688,523850,6212,523850
301,690,524850,6212,524850
301,690,525850,6212,525850
302,692,526850,6212,526850
302,692,526850,6212,526850
302,692,527660,6212,527660
303,694,528130,6212,528130
303,694,528600,6212,528600
303,694,529600,6212,529600
304,696,530600,6212,530600
304,696,530830,6212,530830
304,696,531830,6212,531830
305,698,532640,6212,532640
305,698,532640,6212,532640
305,698,533450,6212,533450
306,700,534260,6212,534260
306,700,535260,6212,535260
307,702,535730,6212,535730
307,702,536730,6212,536730
308,704,537730,6212,537730
308,704,538380,6212,538380
309,706,539380,6212,539380
309,706,540380,6212,540380
309,706,540840,6212,540840
309,706,540840,6212,540840
310,708,541840,6212,541840
310,708,542840,6212,542840
311,710,543390,6212,543390
311,710,543620,6212,543620
311,710,544620,6212,544620
312,712,545620,6212,545620
312,712,546620,6212,546620
313,714,547620,6212,547620
313,714,548620,6212,548620
314,716,549620,6212,549620
314,716,549620,6212,549620
314,716,549940,6212,549940
314,716,550940,6212,550940
315,718,551750,6212,551750
315,718,552750,6212,552750
316,720,553750,6212,553750
316,720,554070,6212,554070
316,720,554070,6212,554070
316,720,554070,6212,554070
316,720,554070,6212,554070
316,720,554070,6212,554070
316,720,554390,6212,554390
316,720,554390,6212,554390
317,722,555390,6212,555390
317,722,556390,6212,556390
317,722,556390,6212,556390
317,722,556860,6212,556860
317,722,557180,6212,557180
317,722,557180,6212,557180
318,724,558180,6212,558180
318,724,558180,6212,558180
318,724,558650,6212,558650
318,724,558650,6212,558650
318,724,558650,6212,558650
318,724,558650,6212,558650
319,726,559650,6212,559650
319,726,559650,6212,559650
319,726,560240,6212,560240
320,728,561050,6212,561050
320,728,561050,6212,561050
320,728,562050,6212,562050
320,728,562520,6212,562520
320,728,562520,6212,562520
321,730,563520,6212,563520
321,730,564520,6212,564520
322,732,565520,6212,565520
322,732,566330,6212,566330
323,734,567140,6212,567140
323,734,567950,6212,567950
324,736,568950,6212,568950
324,736,568950,6212,568950
324,736,569760,6212,569760
325,738,570220,6212,570220
325,738,570440,6212,570440
325,738,571440,6212,571440
326,740,572440,6212,572440
326,740,572760,6212,572760
326,740,573760,6212,573760
327,742,574220,6212,574220
327,742,574870,6212,574870
328,744,575870,6212,575870
328,744,575870,6212,575870
328,744,576870,6212,576870
328,744,577330,6212,577330
329,746,577800,6212,577800
329,746,578800,6212,578800
329,746,578800,6212,578800
330,748,579800,6212,579800
330,748,580800,6212,580800
331,750,581450,6212,581450
331,750,582450,6212,582450
332,752,583450,6212,583450
332,752,584450,6212,584450
332,752,584920,6212,584920
333,754,585920,6212,585920
333,754,586920,6212,586920
