ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b15-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
92,406,365930,6212,365930
92,406,365930,6212,365930
92,406,366930,6212,366930
92,406,367930,6212,367930
92,406,368930,6212,368930
92,406,369930,6212,369930
93,414,370930,6212,370930
93,414,371930,6212,371930
93,414,372400,6212,372400
93,414,372400,6212,372400
93,414,373400,6212,373400
93,414,373720,6212,373720
93,414,374190,6212,374190
94,416,375000,6212,375000
94,416,376000,6212,376000
94,416,376000,6212,376000
94,416,376000,6212,376000
94,416,377000,6212,377000
94,416,378000,6212,378000
95,418,379000,6212,379000
95,418,380000,6212,380000
96,426,381000,6212,381000
96,426,382000,6212,382000
96,426,383000,6212,383000
96,426,383000,6212,383000
96,426,383590,6212,383590
96,426,384590,6212,384590
96,426,384910,6212,384910
96,426,385910,6212,385910
96,426,386720,6212,386720
96,426,387720,6212,387720
96,426,388720,6212,388720
96,426,389720,6212,389720
96,426,389720,6212,389720
96,426,389720,6212,389720
96,426,390720,6212,390720
97,430,391720,6212,391720
97,430,392720,6212,392720
97,430,392940,6212,392940
97,430,393750,6212,393750
97,430,394220,6212,394220
98,438,395030,6212,395030
98,438,396030,6212,396030
98,438,396030,6212,396030
98,438,397030,6212,397030
98,438,398030,6212,398030
98,438,398350,6212,398350
98,438,398820,6212,398820
98,438,399050,6212,399050
98,438,399640,6212,399640
98,438,400450,6212,400450
98,438,401450,6212,401450
98,438,402260,6212,402260
99,442,402730,6212,402730
99,442,403200,6212,403200
99,442,403670,6212,403670
99,442,404670,6212,404670
99,442,405480,6212,405480
99,442,405850,6212,405850
100,450,406850,6212,406850
100,450,407070,6212,407070
100,450,408070,6212,408070
100,450,408720,6212,408720
100,450,408880,6212,408880
100,450,409350,6212,409350
100,450,410350,6212,410350
100,450,411350,6212,411350
100,450,411900,6212,411900
100,450,412710,6212,412710
100,450,413710,6212,413710
101,458,414710,6212,414710
101,458,415710,6212,415710
101,458,416710,6212,416710
101,458,417180,6212,417180
101,458,417180,6212,417180
101,458,417650,6212,417650
102,460,418300,6212,418300
102,460,418460,6212,418460
102,460,419460,6212,419460
103,468,420460,6212,420460
103,468,421270,6212,421270
103,468,422270,6212,422270
103,468,422740,6212,422740
103,468,423740,6212,423740
103,468,424740,6212,424740
103,468,425200,6212,425200
103,468,425660,6212,425660
103,468,426660,6212,426660
103,468,426980,6212,426980
104,470,427980,6212,427980
104,470,428450,6212,428450
104,470,429450,6212,429450
105,472,430450,6212,430450
105,472,431260,6212,431260
105,472,432260,6212,432260
105,472,433260,6212,433260
106,474,433730,6212,433730
106,474,434730,6212,434730
107,476,435730,6212,435730
107,476,436730,6212,436730
108,484,437730,6212,437730
108,484,438730,6212,438730
109,492,446730,6212,446730
109,492,447540,6212,447540
109,492,448540,6212,448540
109,492,449540,6212,449540
109,492,450540,6212,450540
110,494,451540,6212,451540
110,494,452130,6212,452130
110,494,452290,6212,452290
110,494,453290,6212,453290
110,494,454290,6212,454290
111,502,458290,6212,458290
112,504,459290,6212,459290
112,504,459940,6212,459940
112,504,460410,6212,460410
112,504,460630,6212,460630
112,504,461630,6212,461630
112,504,462630,6212,462630
112,504,462630,6212,462630
112,504,463630,6212,463630
112,504,464630,6212,464630
112,504,464630,6212,464630
113,506,465630,6212,465630
113,506,466440,6212,466440
113,506,467440,6212,467440
114,510,468440,6212,468440
114,510,468760,6212,468760
114,510,469760,6212,469760
115,512,470760,6212,470760
115,512,471760,6212,471760
115,512,472080,6212,472080
115,512,472190,6212,472190
116,520,473190,6212,473190
116,520,474190,6212,474190
116,520,474660,6212,474660
116,520,474660,6212,474660
116,520,475660,6212,475660
116,520,476250,6212,476250
116,520,477250,6212,477250
116,520,477410,6212,477410
116,520,477880,6212,477880
116,520,478200,6212,478200
117,522,478670,6212,478670
117,522,479670,6212,479670
118,524,480320,6212,480320
118,524,481320,6212,481320
118,524,481910,6212,481910
118,524,482560,6212,482560
118,524,482560,6212,482560
119,526,483560,6212,483560
119,526,484560,6212,484560
120,528,485560,6212,485560
120,528,486560,6212,486560
121,536,487210,6212,487210
121,536,488210,6212,488210
121,536,489210,6212,489210
121,536,490210,6212,490210
122,538,491020,6212,491020
122,538,492020,6212,492020
122,538,492830,6212,492830
122,538,493640,6212,493640
122,538,494010,6212,494010
122,538,494010,6212,494010
122,538,494480,6212,494480
122,538,495290,6212,495290
122,538,496290,6212,496290
123,540,497100,6212,497100
123,540,497910,6212,497910
124,542,498910,6212,498910
124,542,499910,6212,499910
125,550,500720,6212,500720
125,550,500720,6212,500720
125,550,501720,6212,501720
125,550,501950,6212,501950
125,550,502950,6212,502950
125,550,503420,6212,503420
125,550,504420,6212,504420
125,550,505230,6212,505230
125,550,506230,6212,506230
125,550,506460,6212,506460
125,550,507110,6212,507110
125,550,508110,6212,508110
126,552,509110,6212,509110
126,552,510110,6212,510110
126,552,510340,6212,510340
126,552,510660,6212,510660
127,554,511660,6212,511660
127,554,512130,6212,512130
127,554,512590,6212,512590
127,554,512910,6212,512910
128,562,513910,6212,513910
128,562,514910,6212,514910
128,562,515910,6212,515910
128,562,517910,6212,517910
129,570,525910,6212,525910
129,570,526910,6212,526910
129,570,527560,6212,527560
129,570,528560,6212,528560
129,570,529560,6212,529560
129,570,530560,6212,530560
129,570,531370,6212,531370
129,570,531840,6212,531840
129,570,532070,6212,532070
130,578,533070,6212,533070
130,578,534070,6212,534070
130,578,534390,6212,534390
130,578,534710,6212,534710
130,578,535180,6212,535180
130,578,536180,6212,536180
130,578,536500,6212,536500
130,578,537500,6212,537500
130,578,538500,6212,538500
130,578,538970,6212,538970
131,586,539970,6212,539970
131,586,540780,6212,540780
131,586,541780,6212,541780
131,586,542780,6212,542780
131,586,543780,6212,543780
131,586,543940,6212,543940
131,586,543940,6212,543940
131,586,544310,6212,544310
131,586,544900,6212,544900
131,586,545900,6212,545900
131,586,546900,6212,546900
131,586,547900,6212,547900
131,586,548900,6212,548900
131,586,548900,6212,548900
132,594,549900,6212,549900
132,594,550900,6212,550900
132,594,551900,6212,551900
132,594,552360,6212,552360
132,594,553170,6212,553170
132,594,553390,6212,553390
132,594,553550,6212,553550
132,594,554550,6212,554550
132,594,555550,6212,555550
132,594,556360,6212,556360
133,596,557360,6212,557360
133,596,558360,6212,558360
134,604,559360,6212,559360
134,604,560360,6212,560360
134,604,561360,6212,561360
134,604,561360,6212,561360
134,604,562360,6212,562360
135,606,563360,6212,563360
135,606,564360,6212,564360
135,606,565360,6212,565360
136,608,566010,6212,566010
136,608,567010,6212,567010
136,608,568010,6212,568010
137,610,569010,6212,569010
137,610,570010,6212,570010
137,610,570010,6212,570010
137,610,571010,6212,571010
137,610,572010,6212,572010
137,610,572480,6212,572480
138,618,572950,6212,572950
138,618,573950,6212,573950
138,618,574760,6212,574760
138,618,575760,6212,575760
138,618,576030,6212,576030
138,618,577030,6212,577030
138,618,578030,6212,578030
139,620,579030,6212,579030
139,620,580030,6212,580030
139,620,580500,6212,580500
139,620,581500,6212,581500
139,620,582150,6212,582150
140,628,583150,6212,583150
140,628,584150,6212,584150
140,628,584960,6212,584960
140,628,585430,6212,585430
140,628,585890,6212,585890
140,628,586890,6212,586890
140,628,587890,6212,587890
141,636,588890,6212,588890
141,636,589890,6212,589890
141,636,590700,6212,590700
141,636,591700,6212,591700
141,636,592700,6212,592700
141,636,593700,6212,593700
141,636,594510,6212,594510
141,636,595320,6212,595320
141,636,596130,6212,596130
141,636,597130,6212,597130
142,638,598130,6212,598130
142,638,598940,6212,598940
143,646,599940,6212,599940
143,646,600750,6212,600750
143,646,601340,6212,601340
143,646,602340,6212,602340
143,646,603340,6212,603340
143,646,603340,6212,603340
143,646,604340,6212,604340
143,646,604570,6212,604570
143,646,605380,6212,605380
143,646,606380,6212,606380
144,648,606850,6212,606850
144,648,607170,6212,607170
144,648,608170,6212,608170
145,650,608490,6212,608490
145,650,609300,6212,609300
146,658,610300,6212,610300
146,658,611300,6212,611300
146,658,611760,6212,611760
146,658,612760,6212,612760
146,658,613760,6212,613760
146,658,614230,6212,614230
146,658,615230,6212,615230
146,658,616230,6212,616230
146,658,617230,6212,617230
147,666,617780,6212,617780
147,666,618780,6212,618780
147,666,619780,6212,619780
147,666,620590,6212,620590
147,666,621590,6212,621590
147,666,622140,6212,622140
147,666,623140,6212,623140
147,666,623510,6212,623510
147,666,624510,6212,624510
148,674,625510,6212,625510
148,674,625830,6212,625830
148,674,626640,6212,626640
149,682,634640,6212,634640
149,682,635640,6212,635640
149,682,636640,6212,636640
149,682,637640,6212,637640
149,682,638640,6212,638640
150,684,639640,6212,639640
150,684,639870,6212,639870
150,684,640340,6212,640340
150,684,640570,6212,640570
151,692,641570,6212,641570
151,692,641890,6212,641890
151,692,642360,6212,642360
151,692,643360,6212,643360
151,692,644360,6212,644360
151,692,645170,6212,645170
151,692,645980,6212,645980
151,692,646980,6212,646980
151,692,647980,6212,647980
152,700,648980,6212,648980
152,700,649980,6212,649980
152,700,650980,6212,650980
152,700,650980,6212,650980
152,700,651980,6212,651980
152,700,652790,6212,652790
152,700,653600,6212,653600
152,700,654070,6212,654070
152,700,655070,6212,655070
152,700,656070,6212,656070
152,700,657070,6212,657070
152,700,657540,6212,657540
153,708,658540,6212,658540
153,708,659540,6212,659540
153,708,660540,6212,660540
153,708,661540,6212,661540
153,708,662540,6212,662540
153,708,662860,6212,662860
153,708,663670,6212,663670
154,710,664670,6212,664670
154,710,665670,6212,665670
155,712,666670,6212,666670
155,712,667670,6212,667670
155,712,668480,6212,668480
155,712,669480,6212,669480
156,720,670290,6212,670290
156,720,670610,6212,670610
156,720,671610,6212,671610
156,720,672260,6212,672260
156,720,673260,6212,673260
156,720,674260,6212,674260
156,720,675260,6212,675260
156,720,675580,6212,675580
156,720,676580,6212,676580
156,720,677580,6212,677580
157,728,678580,6212,678580
157,728,679050,6212,679050
