ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1283738.94,21.53,1.03,194293.28,3.26
1283722.75,21.53,1.03,194387.52,3.26
1283957.18,21.54,1.04,194384.29,3.26
1283752.2,21.54,1.04,194381.06,3.26
1283547.23,21.54,1.04,194323.66,3.26
1283895.59,21.54,1.04,194323.46,3.26
1283895.59,21.54,1.04,194323.46,3.26
1283879.39,21.54,1.05,194404.84,3.26
1283863.19,21.55,1.05,194403.44,3.26
1283658.22,21.55,1.05,194432.35,3.26
1283360.87,21.55,1.05,194061.43,3.26
1283870.21,21.56,1.06,194029.18,3.26
1283695.24,21.56,1.06,193992.32,3.26
1284444.01,21.57,1.08,194241.84,3.26
1284239.04,21.57,1.08,194239.99,3.26
1284362.27,21.58,1.08,194236.76,3.26
1284157.3,21.58,1.08,194233.53,3.26
1283952.32,21.58,1.08,194235.11,3.26
1283747.35,21.58,1.08,194177.71,3.26
1283542.37,21.58,1.08,194174.48,3.26
1283337.4,21.58,1.08,194172.65,3.26
1283132.42,21.58,1.08,194172.65,3.27
1283366.85,21.58,1.09,194172.65,3.27
1283161.88,21.59,1.09,194167.24,3.27
1283161.88,21.59,1.09,194109.84,3.27
1283145.68,21.59,1.09,194109.84,3.27
1282940.7,21.59,1.09,194109.84,3.27
1282735.73,21.59,1.09,194102.29,3.27
1282735.73,21.59,1.09,194044.89,3.27
1282530.75,21.59,1.09,194044.89,3.27
1282530.75,21.59,1.09,194044.89,3.27
1282325.78,21.59,1.09,194043.06,3.27
1282120.8,21.59,1.09,194041.49,3.27
1282160.8,21.59,1.09,194762.63,3.28
1282160.8,21.59,1.09,194705.23,3.28
1280520.99,21.59,1.09,194702.0,3.28
1280316.02,21.59,1.09,194644.6,3.28
1280111.04,21.59,1.09,194646.19,3.28
1280111.04,21.59,1.09,194588.79,3.28
1279906.06,21.59,1.09,194588.79,3.28
1280029.3,21.6,1.1,194656.28,3.28
1278389.5,21.6,1.1,194653.05,3.29
1278280.93,21.6,1.1,194463.8,3.29
1278264.73,21.6,1.1,194462.43,3.29
1278499.16,21.61,1.11,194505.22,3.29
1279017.92,21.62,1.12,193119.04,3.26
1278812.94,21.62,1.12,193117.19,3.26
