ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
118,382,338870,6212,338870
118,382,339870,6212,339870
119,384,340870,6212,340870
119,384,341340,6212,341340
120,386,342340,6212,342340
120,386,342930,6212,342930
120,386,343930,6212,343930
121,388,344930,6212,344930
121,388,345740,6212,345740
122,390,346740,6212,346740
123,392,347740,6212,347740
123,392,348210,6212,348210
123,392,349210,6212,349210
124,400,357210,6212,357210
125,402,358210,6212,358210
125,402,358530,6212,358530
126,404,359530,6212,359530
126,404,360180,6212,360180
126,404,360180,6212,360180
126,404,361180,6212,361180
127,406,361990,6212,361990
127,406,362460,6212,362460
127,406,362930,6212,362930
128,408,363930,6212,363930
128,408,364930,6212,364930
129,410,365930,6212,365930
129,410,365930,6212,365930
130,412,366930,6212,366930
130,412,367930,6212,367930
130,412,368930,6212,368930
131,414,369930,6212,369930
131,414,370930,6212,370930
132,416,371930,6212,371930
132,416,372400,6212,372400
132,416,372400,6212,372400
132,416,373400,6212,373400
132,416,373720,6212,373720
133,418,374190,6212,374190
133,418,375000,6212,375000
134,420,376000,6212,376000
134,420,376000,6212,376000
134,420,376000,6212,376000
134,420,377000,6212,377000
135,422,378000,6212,378000
135,422,379000,6212,379000
136,424,380000,6212,380000
136,424,381000,6212,381000
137,426,382000,6212,382000
138,428,383000,6212,383000
138,428,383000,6212,383000
138,428,383590,6212,383590
138,428,384590,6212,384590
138,428,384910,6212,384910
139,430,385910,6212,385910
140,432,386720,6212,386720
140,432,387720,6212,387720
140,432,388720,6212,388720
141,436,389720,6212,389720
141,436,389720,6212,389720
141,436,389720,6212,389720
141,436,390720,6212,390720
142,438,391720,6212,391720
142,438,392720,6212,392720
142,438,392940,6212,392940
143,440,393750,6212,393750
143,440,394220,6212,394220
143,440,395030,6212,395030
144,442,396030,6212,396030
144,442,396030,6212,396030
144,442,397030,6212,397030
145,444,398030,6212,398030
145,444,398350,6212,398350
145,444,398820,6212,398820
145,444,399050,6212,399050
146,446,399640,6212,399640
146,446,400450,6212,400450
147,448,401450,6212,401450
147,448,402260,6212,402260
147,448,402730,6212,402730
148,450,403200,6212,403200
148,450,403670,6212,403670
148,450,404670,6212,404670
149,452,405480,6212,405480
149,452,405850,6212,405850
149,452,406850,6212,406850
149,452,407070,6212,407070
150,454,408070,6212,408070
150,454,408720,6212,408720
150,454,408880,6212,408880
151,456,409350,6212,409350
151,456,410350,6212,410350
151,456,411350,6212,411350
151,456,411900,6212,411900
151,456,412710,6212,412710
152,464,413710,6212,413710
152,464,414710,6212,414710
152,464,415710,6212,415710
152,464,416710,6212,416710
152,464,417180,6212,417180
152,464,417180,6212,417180
152,464,417650,6212,417650
153,472,418300,6212,418300
153,472,418460,6212,418460
153,472,419460,6212,419460
153,472,420460,6212,420460
153,472,421270,6212,421270
153,472,422270,6212,422270
153,472,422740,6212,422740
153,472,423740,6212,423740
154,480,424740,6212,424740
154,480,425200,6212,425200
154,480,425660,6212,425660
154,480,426660,6212,426660
154,480,426980,6212,426980
154,480,427980,6212,427980
155,488,428450,6212,428450
155,488,429450,6212,429450
155,488,430450,6212,430450
155,488,431260,6212,431260
155,488,432260,6212,432260
155,488,433260,6212,433260
155,488,433730,6212,433730
155,488,434730,6212,434730
155,488,435730,6212,435730
156,496,436730,6212,436730
156,496,437730,6212,437730
156,496,438730,6212,438730
157,504,446730,6212,446730
157,504,447540,6212,447540
157,504,448540,6212,448540
157,504,449540,6212,449540
158,512,450540,6212,450540
158,512,451540,6212,451540
158,512,452130,6212,452130
158,512,452290,6212,452290
158,512,453290,6212,453290
159,520,454290,6212,454290
159,520,458290,6212,458290
159,520,459290,6212,459290
159,520,459940,6212,459940
159,520,460410,6212,460410
159,520,460630,6212,460630
160,528,461630,6212,461630
160,528,462630,6212,462630
160,528,462630,6212,462630
160,528,463630,6212,463630
160,528,464630,6212,464630
160,528,464630,6212,464630
161,536,465630,6212,465630
161,536,466440,6212,466440
161,536,467440,6212,467440
161,536,468440,6212,468440
161,536,468760,6212,468760
161,536,469760,6212,469760
161,536,470760,6212,470760
161,536,471760,6212,471760
161,536,472080,6212,472080
161,536,472190,6212,472190
162,544,473190,6212,473190
162,544,474190,6212,474190
162,544,474660,6212,474660
162,544,474660,6212,474660
162,544,475660,6212,475660
162,544,476250,6212,476250
162,544,477250,6212,477250
162,544,477410,6212,477410
163,552,477880,6212,477880
163,552,478200,6212,478200
163,552,478670,6212,478670
163,552,479670,6212,479670
163,552,480320,6212,480320
164,560,481320,6212,481320
164,560,481910,6212,481910
164,560,482560,6212,482560
164,560,482560,6212,482560
164,560,483560,6212,483560
164,560,484560,6212,484560
165,568,485560,6212,485560
165,568,486560,6212,486560
165,568,487210,6212,487210
165,568,488210,6212,488210
166,576,489210,6212,489210
166,576,490210,6212,490210
167,578,491020,6212,491020
167,578,492020,6212,492020
167,578,492830,6212,492830
168,580,493640,6212,493640
168,580,494010,6212,494010
168,580,494010,6212,494010
168,580,494480,6212,494480
168,580,495290,6212,495290
168,580,496290,6212,496290
169,581,497100,6212,497100
170,582,497910,6212,497910
170,582,498910,6212,498910
170,582,499910,6212,499910
170,582,500720,6212,500720
170,582,500720,6212,500720
170,582,501720,6212,501720
170,582,501950,6212,501950
170,582,502950,6212,502950
170,582,503420,6212,503420
170,582,504420,6212,504420
170,582,505230,6212,505230
170,582,506230,6212,506230
170,582,506460,6212,506460
170,582,507110,6212,507110
170,582,508110,6212,508110
170,582,509110,6212,509110
170,582,510110,6212,510110
170,582,510340,6212,510340
170,582,510660,6212,510660
170,582,511660,6212,511660
170,582,512130,6212,512130
170,582,512590,6212,512590
170,582,512910,6212,512910
170,582,513910,6212,513910
170,582,514910,6212,514910
170,582,515910,6212,515910
170,582,517910,6212,517910
171,590,525910,6212,525910
171,590,526910,6212,526910
171,590,527560,6212,527560
171,590,528560,6212,528560
171,590,529560,6212,529560
172,592,530560,6212,530560
172,592,531370,6212,531370
173,594,531840,6212,531840
173,594,532070,6212,532070
173,594,533070,6212,533070
174,596,534070,6212,534070
174,596,534390,6212,534390
174,596,534710,6212,534710
174,596,535180,6212,535180
175,598,536180,6212,536180
175,598,536500,6212,536500
175,598,537500,6212,537500
175,598,538500,6212,538500
175,598,538970,6212,538970
176,600,539970,6212,539970
176,600,540780,6212,540780
177,602,541780,6212,541780
177,602,542780,6212,542780
178,604,543780,6212,543780
178,604,543940,6212,543940
178,604,543940,6212,543940
178,604,544310,6212,544310
178,604,544900,6212,544900
178,604,545900,6212,545900
179,606,546900,6212,546900
179,606,547900,6212,547900
180,608,548900,6212,548900
180,608,548900,6212,548900
180,608,549900,6212,549900
180,608,550900,6212,550900
180,608,551900,6212,551900
181,616,552360,6212,552360
181,616,553170,6212,553170
181,616,553390,6212,553390
181,616,553550,6212,553550
181,616,554550,6212,554550
182,618,555550,6212,555550
182,618,556360,6212,556360
183,620,557360,6212,557360
183,620,558360,6212,558360
183,620,559360,6212,559360
183,620,560360,6212,560360
184,622,561360,6212,561360
184,622,561360,6212,561360
184,622,562360,6212,562360
185,624,563360,6212,563360
185,624,564360,6212,564360
186,626,565360,6212,565360
186,626,566010,6212,566010
186,626,567010,6212,567010
187,628,568010,6212,568010
187,628,569010,6212,569010
188,630,570010,6212,570010
188,630,570010,6212,570010
189,632,571010,6212,571010
189,632,572010,6212,572010
189,632,572480,6212,572480
189,632,572950,6212,572950
190,634,573950,6212,573950
190,634,574760,6212,574760
191,636,575760,6212,575760
191,636,576030,6212,576030
191,636,577030,6212,577030
192,638,578030,6212,578030
192,638,579030,6212,579030
193,640,580030,6212,580030
193,640,580500,6212,580500
193,640,581500,6212,581500
193,640,582150,6212,582150
194,642,583150,6212,583150
194,642,584150,6212,584150
194,642,584960,6212,584960
194,642,585430,6212,585430
194,642,585890,6212,585890
195,644,586890,6212,586890
195,644,587890,6212,587890
196,646,588890,6212,588890
196,646,589890,6212,589890
196,646,590700,6212,590700
196,646,591700,6212,591700
196,646,592700,6212,592700
197,648,593700,6212,593700
197,648,594510,6212,594510
197,648,595320,6212,595320
197,648,596130,6212,596130
197,648,597130,6212,597130
198,650,598130,6212,598130
198,650,598940,6212,598940
198,650,599940,6212,599940
198,650,600750,6212,600750
198,650,601340,6212,601340
198,650,602340,6212,602340
199,652,603340,6212,603340
199,652,603340,6212,603340
199,652,604340,6212,604340
199,652,604570,6212,604570
199,652,605380,6212,605380
199,652,606380,6212,606380
199,652,606850,6212,606850
199,652,607170,6212,607170
200,654,608170,6212,608170
200,654,608490,6212,608490
201,656,609300,6212,609300
201,656,610300,6212,610300
201,656,611300,6212,611300
201,656,611760,6212,611760
201,656,612760,6212,612760
201,656,613760,6212,613760
201,656,614230,6212,614230
202,658,615230,6212,615230
202,658,616230,6212,616230
203,660,617230,6212,617230
203,660,617780,6212,617780
204,662,618780,6212,618780
204,662,619780,6212,619780
205,664,620590,6212,620590
205,664,621590,6212,621590
206,666,622140,6212,622140
206,666,623140,6212,623140
206,666,623510,6212,623510
207,668,624510,6212,624510
207,668,625510,6212,625510
207,668,625830,6212,625830
208,670,626640,6212,626640
209,678,634640,6212,634640
209,678,635640,6212,635640
210,680,636640,6212,636640
210,680,637640,6212,637640
211,682,638640,6212,638640
211,682,639640,6212,639640
212,684,639870,6212,639870
213,686,640340,6212,640340
213,686,640570,6212,640570
213,686,641570,6212,641570
213,686,641890,6212,641890
213,686,642360,6212,642360
214,688,643360,6212,643360
214,688,644360,6212,644360
215,690,645170,6212,645170
215,690,645980,6212,645980
216,692,646980,6212,646980
216,692,647980,6212,647980
217,694,648980,6212,648980
217,694,649980,6212,649980
218,696,650980,6212,650980
218,696,650980,6212,650980
218,696,651980,6212,651980
219,698,652790,6212,652790
219,698,653600,6212,653600
220,702,654070,6212,654070
221,704,655070,6212,655070
221,704,656070,6212,656070
222,706,657070,6212,657070
222,706,657540,6212,657540
222,706,658540,6212,658540
223,708,659540,6212,659540
223,708,660540,6212,660540
224,710,661540,6212,661540
224,710,662540,6212,662540
225,712,662860,6212,662860
226,714,663670,6212,663670
226,714,664670,6212,664670
226,714,665670,6212,665670
227,716,666670,6212,666670
227,716,667670,6212,667670
228,718,668480,6212,668480
228,718,669480,6212,669480
228,718,670290,6212,670290
228,718,670610,6212,670610
229,726,671610,6212,671610
229,726,672260,6212,672260
229,726,673260,6212,673260
229,726,674260,6212,674260
229,726,675260,6212,675260
229,726,675580,6212,675580
230,734,676580,6212,676580
230,734,677580,6212,677580
230,734,678580,6212,678580
230,734,679050,6212,679050
230,734,679280,6212,679280
231,742,680280,6212,680280
231,742,680280,6212,680280
231,742,680600,6212,680600
231,742,681070,6212,681070
231,742,682070,6212,682070
231,742,682550,6212,682550
231,742,683360,6212,683360
231,742,684170,6212,684170
231,742,684330,6212,684330
231,742,685140,6212,685140
232,750,685950,6212,685950
232,750,686760,6212,686760
232,750,686760,6212,686760
232,750,687230,6212,687230
232,750,688230,6212,688230
233,758,689230,6212,689230
233,758,690230,6212,690230
233,758,691230,6212,691230
233,758,692040,6212,692040
234,766,692850,6212,692850
234,766,693320,6212,693320
234,766,693910,6212,693910
234,766,694910,6212,694910
234,766,695910,6212,695910
235,774,696380,6212,696380
235,774,697380,6212,697380
235,774,698380,6212,698380
235,774,699380,6212,699380
236,782,700190,6212,700190
236,782,701190,6212,701190
236,782,702190,6212,702190
236,782,703190,6212,703190
237,790,704190,6212,704190
237,790,704190,6212,704190
237,790,704410,6212,704410
237,790,705410,6212,705410
237,790,706410,6212,706410
237,790,707410,6212,707410
238,798,708410,6212,708410
