ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a4f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
375328.04,6.33,0.72,303908.33,5.13
375261.37,6.33,0.72,303749.89,5.13
375261.37,6.33,0.72,303739.97,5.13
374901.09,6.33,0.71,303365.25,5.12
375254.7,6.33,0.72,303789.49,5.13
375368.35,6.34,0.72,303398.84,5.12
375213.12,6.33,0.72,303116.75,5.12
375146.46,6.33,0.72,303049.29,5.12
375079.79,6.33,0.72,302947.78,5.12
375193.44,6.34,0.72,302557.14,5.11
374833.16,6.33,0.72,302182.38,5.1
374862.6,6.33,0.72,302079.63,5.1
374976.25,6.34,0.72,301688.98,5.1
375005.68,6.34,0.72,301586.23,5.1
374939.02,6.34,0.72,301566.23,5.1
374872.35,6.34,0.72,301417.26,5.1
374986.0,6.34,0.73,301026.61,5.09
375015.44,6.34,0.73,300923.86,5.09
375129.09,6.34,0.73,300533.21,5.08
374834.98,6.34,0.73,300232.18,5.08
375196.53,6.35,0.73,300198.61,5.08
374838.32,6.34,0.73,300074.47,5.08
374389.19,6.34,0.73,299911.77,5.08
374652.88,6.35,0.73,300061.51,5.08
374586.21,6.35,0.73,300120.24,5.08
374699.86,6.35,0.74,299729.6,5.08
374633.19,6.35,0.74,299602.67,5.08
374422.84,6.35,0.73,299389.37,5.07
374776.46,6.35,0.74,299783.02,5.08
374416.18,6.35,0.73,299407.33,5.08
374445.61,6.35,0.73,299304.57,5.07
374378.95,6.35,0.73,299146.13,5.07
374732.56,6.35,0.74,299570.32,5.08
374665.89,6.35,0.74,298849.43,5.07
374599.23,6.35,0.74,298785.11,5.07
374532.56,6.35,0.74,298680.46,5.07
374465.89,6.35,0.74,298522.17,5.07
374399.23,6.35,0.74,298511.49,5.07
374512.88,6.36,0.74,298120.85,5.06
374542.32,6.36,0.74,298018.1,5.06
374182.04,6.35,0.74,297643.38,5.05
374115.37,6.35,0.74,297589.15,5.05
374115.37,6.35,0.74,297589.15,5.05
374048.7,6.35,0.74,297474.41,5.05
373599.58,6.35,0.74,297311.71,5.06
373532.91,6.35,0.74,297153.27,5.05
373886.53,6.36,0.75,297577.46,5.06
373819.86,6.36,0.75,297450.53,5.06
373933.51,6.36,0.75,297059.88,5.05
373778.28,6.36,0.75,296777.8,5.05
373418.0,6.36,0.74,296403.08,5.05
373351.33,6.36,0.74,296361.04,5.05
373284.67,6.36,0.74,296202.59,5.04
373218.0,6.36,0.74,296192.07,5.04
373151.33,6.36,0.74,296127.74,5.04
373504.95,6.36,0.75,296413.62,5.05
373438.28,6.36,0.75,296288.68,5.05
373755.72,6.37,0.75,296633.65,5.05
373689.05,6.37,0.75,296506.72,5.05
373622.39,6.37,0.75,296464.68,5.05
373736.04,6.37,0.76,296074.03,5.05
373580.81,6.37,0.76,295791.95,5.04
373514.14,6.37,0.76,295724.49,5.04
373153.86,6.36,0.75,295393.96,5.04
373087.19,6.36,0.75,295292.45,5.04
372638.07,6.36,0.75,295129.75,5.04
372571.4,6.36,0.75,294975.28,5.04
372277.3,6.36,0.75,294676.29,5.03
372210.63,6.36,0.75,294665.76,5.03
372474.32,6.37,0.75,294748.38,5.04
372474.32,6.37,0.75,294744.78,5.04
372407.65,6.37,0.75,294824.87,5.04
372521.3,6.37,0.75,294434.23,5.03
372874.91,6.37,0.76,294529.61,5.04
