ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
195,488,376550,6212,376550
195,488,377200,6212,377200
195,488,377670,6212,377670
195,488,378480,6212,378480
196,492,379480,6212,379480
196,492,379480,6212,379480
196,492,380480,6212,380480
196,492,381480,6212,381480
196,492,381640,6212,381640
196,492,381640,6212,381640
196,492,381640,6212,381640
196,492,382450,6212,382450
197,496,383450,6212,383450
197,496,383920,6212,383920
197,496,384920,6212,384920
197,496,385920,6212,385920
197,496,386730,6212,386730
198,500,387540,6212,387540
198,500,388540,6212,388540
198,500,388700,6212,388700
198,500,389700,6212,389700
198,500,390020,6212,390020
198,500,391020,6212,391020
198,500,391020,6212,391020
199,504,392020,6212,392020
199,504,392830,6212,392830
199,504,393300,6212,393300
199,504,394300,6212,394300
200,506,395300,6212,395300
200,506,395770,6212,395770
200,506,395770,6212,395770
200,506,396580,6212,396580
201,508,397390,6212,397390
201,508,398200,6212,398200
202,510,399200,6212,399200
202,510,400200,6212,400200
203,512,401200,6212,401200
203,512,401670,6212,401670
204,514,402670,6212,402670
204,514,402670,6212,402670
204,514,403670,6212,403670
205,516,404670,6212,404670
205,516,405480,6212,405480
206,518,406290,6212,406290
206,518,407290,6212,407290
207,520,408290,6212,408290
207,520,408760,6212,408760
207,520,409760,6212,409760
208,522,410760,6212,410760
208,522,411760,6212,411760
209,524,412230,6212,412230
209,524,413230,6212,413230
209,524,413230,6212,413230
209,524,413700,6212,413700
209,524,414020,6212,414020
209,524,414180,6212,414180
210,526,415180,6212,415180
210,526,415990,6212,415990
211,528,416990,6212,416990
211,528,417990,6212,417990
212,530,418990,6212,418990
212,530,419990,6212,419990
213,532,420990,6212,420990
213,532,421990,6212,421990
214,534,422990,6212,422990
214,534,423990,6212,423990
215,536,424460,6212,424460
215,536,424460,6212,424460
215,536,424460,6212,424460
215,536,425460,6212,425460
216,538,426110,6212,426110
216,538,426110,6212,426110
216,538,427110,6212,427110
217,540,427920,6212,427920
217,540,428920,6212,428920
217,540,428920,6212,428920
218,548,436920,6212,436920
218,548,437920,6212,437920
218,548,438380,6212,438380
219,550,439380,6212,439380
219,550,439850,6212,439850
219,550,439850,6212,439850
220,552,440850,6212,440850
220,552,441850,6212,441850
221,554,442850,6212,442850
221,554,443320,6212,443320
221,554,443640,6212,443640
221,554,444640,6212,444640
222,556,445450,6212,445450
222,556,446260,6212,446260
222,556,446260,6212,446260
222,556,446260,6212,446260
223,558,447260,6212,447260
223,558,448260,6212,448260
224,560,449070,6212,449070
224,560,449540,6212,449540
225,562,450540,6212,450540
225,562,451540,6212,451540
226,564,452540,6212,452540
226,564,453540,6212,453540
227,566,454540,6212,454540
227,566,455540,6212,455540
227,566,455540,6212,455540
227,566,456000,6212,456000
228,568,457000,6212,457000
228,568,457810,6212,457810
229,570,458810,6212,458810
229,570,459810,6212,459810
230,572,460810,6212,460810
230,572,461810,6212,461810
231,574,462810,6212,462810
231,574,463810,6212,463810
232,576,464280,6212,464280
232,576,465280,6212,465280
232,576,465750,6212,465750
233,578,466750,6212,466750
233,578,467750,6212,467750
234,580,468070,6212,468070
234,580,469070,6212,469070
235,582,470070,6212,470070
235,582,470070,6212,470070
235,582,470720,6212,470720
235,582,471530,6212,471530
235,582,471530,6212,471530
236,586,475530,6212,475530
237,588,476530,6212,476530
237,588,476530,6212,476530
