ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
886923.81,15.12,2.05,393330.23,6.7
886768.42,15.12,2.05,393251.43,6.7
886602.15,15.12,2.05,393141.85,6.7
886602.15,15.12,2.05,393141.85,6.7
886602.15,15.12,2.05,393124.02,6.7
886472.49,15.12,2.05,392810.64,6.7
886170.62,15.12,2.05,392290.08,6.69
886015.24,15.12,2.05,392137.33,6.69
885848.96,15.12,2.05,392101.7,6.69
885637.16,15.12,2.05,391777.95,6.69
885637.16,15.12,2.05,391797.85,6.69
885474.65,15.12,2.05,391828.25,6.69
885319.26,15.12,2.05,391765.29,6.69
885319.26,15.12,2.05,391765.29,6.69
884903.18,15.11,2.05,391136.91,6.68
884487.09,15.11,2.04,390508.54,6.67
884019.26,15.1,2.04,389911.71,6.66
883852.99,15.1,2.04,389786.29,6.66
883852.99,15.1,2.04,389786.29,6.66
884220.48,15.11,2.04,390346.7,6.67
884085.38,15.11,2.04,390160.85,6.67
884085.38,15.11,2.04,390160.85,6.67
883856.85,15.11,2.04,389564.03,6.66
883716.8,15.11,2.04,389990.45,6.67
883396.8,15.1,2.04,389670.45,6.66
883463.61,15.11,2.04,389469.08,6.66
883328.51,15.11,2.04,389343.33,6.66
883107.98,15.1,2.04,389047.28,6.65
882967.94,15.1,2.04,388884.73,6.65
883327.2,15.11,2.05,389601.59,6.67
883155.49,15.11,2.05,389261.81,6.66
882825.38,15.11,2.04,389195.73,6.66
882529.45,15.11,2.04,389030.5,6.66
881864.72,15.1,2.03,388082.08,6.64
881446.19,15.09,2.03,387663.55,6.64
881290.8,15.09,2.03,387558.58,6.64
881124.52,15.09,2.03,387387.57,6.64
880648.53,15.09,2.02,386573.92,6.62
880513.43,15.09,2.02,386388.08,6.62
880726.16,15.09,2.03,386654.78,6.63
880892.69,15.1,2.03,386554.66,6.62
881215.08,15.1,2.04,387441.06,6.64
881195.6,15.11,2.04,387368.73,6.64
881060.5,15.11,2.04,387051.44,6.64
881060.5,15.11,2.04,387051.44,6.64
880899.67,15.11,2.04,387059.64,6.64
880843.87,15.11,2.04,387324.64,6.64
880685.14,15.11,2.04,387170.26,6.64
880685.14,15.11,2.04,387170.26,6.64
880685.14,15.11,2.04,387170.26,6.64
880608.0,15.11,2.04,386957.51,6.64
880472.91,15.11,2.04,386830.9,6.64
880100.18,15.1,2.04,386428.1,6.63
879960.13,15.1,2.04,386275.45,6.63
880233.3,15.11,2.04,386838.72,6.64
879806.42,15.1,2.04,386302.22,6.63
879860.05,15.11,2.04,386107.65,6.63
879699.22,15.11,2.04,386056.05,6.63
879540.49,15.1,2.04,385901.67,6.63
879473.19,15.11,2.04,386275.83,6.63
879153.19,15.1,2.04,385955.83,6.63
878898.83,15.1,2.03,385575.35,6.62
878898.83,15.1,2.03,385545.34,6.62
878763.73,15.1,2.03,385430.28,6.62
878791.63,15.1,2.04,385299.17,6.62
879072.08,15.11,2.04,385227.12,6.62
878905.81,15.11,2.04,385751.05,6.63
878750.42,15.11,2.04,385625.03,6.63
878375.85,15.1,2.04,385228.1,6.62
878375.85,15.1,2.04,385207.61,6.62
878398.3,15.1,2.04,385357.55,6.63
878431.64,15.11,2.04,385401.94,6.63
878454.1,15.11,2.05,385503.22,6.63
878298.71,15.11,2.05,385357.13,6.63
878132.44,15.11,2.05,385321.08,6.63
877977.05,15.11,2.04,385174.57,6.63
878246.62,15.12,2.05,385574.77,6.64
878091.23,15.12,2.05,385428.68,6.63
878091.23,15.12,2.05,385464.45,6.64
877924.95,15.11,2.05,385428.4,6.64
877769.57,15.11,2.05,385370.01,6.64
877792.02,15.12,2.05,385410.16,6.64
877825.36,15.12,2.06,385454.56,6.64
877659.09,15.12,2.06,385391.93,6.64
877503.7,15.12,2.06,385248.31,6.64
877127.86,15.11,2.05,384872.47,6.63
876961.58,15.11,2.05,384833.95,6.63
876806.2,15.11,2.05,384759.41,6.63
876639.92,15.11,2.05,384651.81,6.63
876920.38,15.12,2.06,384705.88,6.63
876754.1,15.12,2.06,384905.5,6.64
876754.1,15.12,2.06,384890.66,6.64
876378.26,15.11,2.05,384514.83,6.63
876079.06,15.11,2.05,384228.3,6.63
875920.46,15.11,2.04,384069.71,6.62
875765.07,15.11,2.04,383943.68,6.62
875787.53,15.11,2.05,384074.22,6.63
875632.14,15.11,2.05,383999.15,6.63
875465.87,15.11,2.05,383892.08,6.63
875310.48,15.11,2.05,383817.54,6.63
875144.2,15.11,2.05,383709.94,6.62
874988.81,15.11,2.04,383651.55,6.62
874822.54,15.11,2.04,383527.8,6.62
874667.15,15.11,2.04,383452.72,6.62
874500.88,15.11,2.04,383345.65,6.62
874781.33,15.11,2.05,383414.67,6.62
874781.33,15.11,2.05,383414.67,6.62
874781.33,15.11,2.05,383414.67,6.62
874615.06,15.11,2.05,383530.11,6.63
874787.02,15.12,2.05,383543.04,6.63
874809.67,15.12,2.06,383563.09,6.63
874643.39,15.12,2.05,383689.35,6.63
874676.74,15.12,2.06,383733.74,6.63
874510.46,15.12,2.06,383671.11,6.63
874510.46,15.12,2.06,383671.11,6.63
873465.3,15.12,2.06,383338.13,6.64
873534.09,15.13,2.06,384014.37,6.65
873168.25,15.12,2.06,383717.77,6.65
873012.86,15.12,2.06,383591.75,6.65
873282.43,15.13,2.06,383902.23,6.65
873282.43,15.13,2.06,383902.23,6.65
873127.04,15.13,2.06,383827.16,6.65
872960.77,15.13,2.06,383720.09,6.65
872805.38,15.13,2.06,383645.55,6.65
872429.54,15.12,2.06,383338.95,6.65
872132.18,15.12,2.05,383047.62,6.64
871965.91,15.12,2.05,382940.02,6.64
871999.25,15.12,2.06,382984.42,6.64
872021.71,15.12,2.06,383085.69,6.64
872021.71,15.12,2.06,383085.69,6.64
872021.71,15.12,2.06,383103.7,6.64
871866.32,15.12,2.06,383074.24,6.65
871700.04,15.12,2.06,382921.56,6.64
871733.39,15.13,2.06,382965.95,6.65
872002.95,15.13,2.07,383237.44,6.65
871847.57,15.13,2.07,383090.93,6.65
871681.29,15.13,2.07,383055.3,6.65
871525.9,15.13,2.07,382996.91,6.65
871359.63,15.13,2.07,382873.16,6.65
871204.24,15.13,2.07,382726.64,6.65
871037.96,15.13,2.07,382691.01,6.65
871037.96,15.13,2.07,382691.01,6.65
870672.12,15.13,2.06,382446.59,6.64
870516.74,15.13,2.06,382388.21,6.64
870539.19,15.13,2.06,382428.36,6.65
870383.8,15.13,2.06,382369.97,6.65
870217.53,15.13,2.06,382246.21,6.65
870062.14,15.13,2.06,382171.67,6.65
869895.87,15.13,2.06,382064.07,6.64
869740.48,15.13,2.06,381989.0,6.64
869574.2,15.13,2.06,381881.93,6.64
869854.66,15.13,2.07,381950.95,6.65
869688.38,15.13,2.07,382066.39,6.65
869312.54,15.13,2.06,381759.79,6.64
869157.15,15.13,2.06,381615.09,6.64
868990.88,15.13,2.06,381577.65,6.64
869362.38,15.14,2.07,381644.87,6.64
869196.1,15.14,2.07,381935.96,6.65
869040.72,15.13,2.07,381861.42,6.65
869040.72,15.13,2.07,381861.42,6.65
868543.83,15.13,2.06,381350.97,6.64
868566.28,15.13,2.07,381407.27,6.64
868566.28,15.13,2.07,381407.27,6.64
867948.69,15.13,2.07,381152.86,6.64
867793.3,15.13,2.07,381078.32,6.64
867793.3,15.13,2.07,381078.32,6.64
868223.65,15.14,2.07,381593.77,6.65
868045.41,15.14,2.07,381330.3,6.65
867890.02,15.14,2.07,381186.68,6.65
867723.74,15.14,2.07,381148.16,6.65
867895.71,15.14,2.08,381161.09,6.65
867729.43,15.14,2.08,381247.65,6.65
868009.89,15.15,2.08,381316.67,6.65
867843.61,15.15,2.08,381501.34,6.66
867843.61,15.15,2.08,381501.34,6.66
867688.22,15.15,2.08,381426.27,6.66
867312.38,15.14,2.08,381050.43,6.65
867146.11,15.14,2.08,380943.37,6.65
866990.72,15.14,2.08,380817.34,6.65
867205.63,15.15,2.08,381138.94,6.66
867238.98,15.15,2.08,381183.33,6.66
867072.7,15.15,2.08,381120.7,6.66
866775.35,15.14,2.08,380869.08,6.65
866619.96,15.14,2.08,380794.0,6.65
865574.8,15.15,2.08,380461.02,6.66
865408.53,15.15,2.08,380353.95,6.66
865253.14,15.15,2.08,380210.33,6.66
865522.71,15.15,2.09,380607.65,6.66
865367.32,15.15,2.09,380549.27,6.66
865201.05,15.15,2.09,380425.51,6.66
