ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
883791.0,15.02,2.75,806647.19,13.71
883566.72,15.01,2.75,806545.56,13.71
883531.26,15.02,2.75,806574.72,13.71
883340.2,15.02,2.75,806312.01,13.71
883181.39,15.01,2.75,806156.87,13.7
882957.12,15.01,2.75,806054.12,13.7
882957.12,15.01,2.75,806054.12,13.7
882954.87,15.01,2.75,805994.68,13.71
883150.91,15.02,2.75,806297.08,13.71
882959.85,15.02,2.75,806045.15,13.71
883218.73,15.02,2.76,805903.44,13.71
882994.46,15.02,2.76,805794.07,13.71
882803.4,15.02,2.76,805535.53,13.71
882579.13,15.02,2.76,805432.78,13.71
882737.08,15.02,2.76,804939.33,13.7
882857.29,15.03,2.76,804488.43,13.69
882666.24,15.03,2.76,804313.54,13.69
882630.77,15.03,2.76,804612.67,13.7
881613.35,15.03,2.77,803801.27,13.7
881389.08,15.03,2.77,803614.86,13.7
881592.44,15.04,2.77,803320.94,13.7
881374.92,15.03,2.77,803116.96,13.7
881372.67,15.04,2.77,803057.53,13.7
881372.67,15.04,2.77,803057.53,13.7
880725.17,15.03,2.76,802431.51,13.69
880689.7,15.03,2.76,802460.67,13.69
880687.46,15.03,2.77,802401.23,13.69
880496.4,15.03,2.76,802145.88,13.69
880272.13,15.03,2.76,802039.94,13.69
880081.07,15.03,2.76,801780.27,13.69
879268.99,15.02,2.76,800287.73,13.67
879044.72,15.02,2.76,800186.11,13.68
878674.78,15.02,2.75,799931.43,13.67
877657.36,15.02,2.76,799120.03,13.68
877621.89,15.02,2.76,799190.98,13.68
876891.23,15.01,2.75,798407.98,13.67
876700.17,15.01,2.75,798233.09,13.67
876959.05,15.02,2.75,798091.38,13.67
876579.11,15.01,2.75,798151.68,13.67
876375.03,15.01,2.74,797921.52,13.67
876150.76,15.01,2.74,797735.11,13.66
875959.7,15.01,2.74,797475.45,13.66
875735.43,15.01,2.74,797373.82,13.66
875735.43,15.01,2.74,797373.82,13.66
875544.37,15.0,2.74,797117.92,13.66
875320.1,15.0,2.74,797012.53,13.66
875537.43,15.01,2.74,797177.12,13.67
875334.64,15.01,2.74,796927.97,13.66
874953.03,15.0,2.74,796613.5,13.66
875203.58,15.01,2.74,796599.97,13.66
879155.26,15.07,2.81,802702.23,13.76
879119.8,15.08,2.81,802866.08,13.77
879095.71,15.08,2.81,802360.15,13.76
878862.79,15.07,2.81,802241.02,13.76
878671.74,15.07,2.81,801981.36,13.76
878888.52,15.08,2.81,802130.36,13.76
879211.64,15.08,2.82,801934.71,13.76
879211.64,15.08,2.82,801934.71,13.76
878987.36,15.08,2.82,801833.09,13.76
878796.31,15.08,2.82,801577.74,13.76
878760.84,15.08,2.82,802119.0,13.77
878405.67,15.08,2.81,801716.97,13.76
878405.67,15.08,2.81,801716.97,13.76
877990.34,15.08,2.81,801355.68,13.76
876972.92,15.08,2.82,800544.27,13.77
876748.64,15.08,2.81,800438.33,13.77
876746.39,15.08,2.82,800378.89,13.77
876746.39,15.08,2.82,800378.89,13.77
876555.34,15.08,2.82,800194.2,13.77
876331.06,15.08,2.81,800017.6,13.77
876140.0,15.08,2.81,799832.91,13.77
875915.73,15.08,2.81,799656.31,13.76
876119.1,15.08,2.82,799362.38,13.76
875928.04,15.08,2.82,799177.69,13.76
875703.77,15.08,2.82,799001.09,13.76
875512.71,15.08,2.82,798741.43,13.76
875512.71,15.08,2.82,798741.43,13.76
875617.18,15.08,2.82,798880.54,13.76
875940.29,15.09,2.83,798684.9,13.76
875904.82,15.09,2.83,799224.02,13.77
875680.55,15.09,2.83,799122.39,13.77
875489.49,15.09,2.83,798862.72,13.77
875134.32,15.09,2.82,798462.84,13.76
874322.24,15.08,2.82,796970.3,13.75
874097.97,15.08,2.82,796868.67,13.75
874570.67,15.09,2.83,796791.75,13.75
874271.93,15.09,2.82,796565.92,13.75
874522.48,15.09,2.83,796552.39,13.75
874487.02,15.09,2.83,796716.24,13.75
874071.68,15.09,2.83,796354.95,13.75
874071.68,15.09,2.83,796354.95,13.75
873341.02,15.08,2.82,795571.95,13.74
873149.97,15.08,2.82,795387.26,13.74
872389.92,15.08,2.81,794552.62,13.73
872165.64,15.08,2.81,794376.02,13.73
871974.59,15.08,2.81,794201.13,13.73
871750.31,15.08,2.81,794014.73,13.73
871979.57,15.08,2.82,793800.8,13.73
871597.97,15.08,2.81,793533.67,13.73
871406.91,15.07,2.81,793348.97,13.72
871624.24,15.08,2.81,794062.35,13.74
871761.92,15.08,2.82,793956.65,13.74
871346.59,15.08,2.82,793595.36,13.74
871311.13,15.08,2.82,793780.73,13.74
870929.52,15.08,2.81,793337.24,13.73
871180.07,15.08,2.82,793323.71,13.74
871180.07,15.08,2.82,793323.71,13.74
871144.6,15.08,2.82,793487.56,13.74
871336.5,15.09,2.83,793269.56,13.74
871112.22,15.09,2.82,793092.96,13.74
870730.62,15.08,2.82,792825.83,13.73
870695.15,15.08,2.82,793248.08,13.74
870504.1,15.08,2.82,792988.41,13.74
870088.77,15.08,2.82,792627.12,13.74
870807.96,15.1,2.83,792837.99,13.74
870281.47,15.09,2.82,792270.2,13.74
870057.2,15.09,2.82,792168.57,13.74
870194.88,15.09,2.83,792062.87,13.74
869779.55,15.09,2.82,791701.58,13.74
869744.08,15.09,2.83,791886.95,13.74
869553.03,15.09,2.83,791712.07,13.74
869262.71,15.09,2.82,791484.82,13.74
869513.26,15.09,2.83,791471.29,13.74
869288.99,15.09,2.83,791284.89,13.74
869288.99,15.09,2.83,791284.89,13.74
869288.99,15.09,2.83,791284.89,13.74
868873.66,15.09,2.82,790923.6,13.73
867892.47,15.09,2.83,790184.31,13.74
867892.47,15.09,2.83,790184.31,13.74
867701.41,15.09,2.83,789999.62,13.74
867319.81,15.09,2.82,789759.58,13.74
867478.49,15.09,2.83,790090.99,13.74
867616.17,15.09,2.83,789985.29,13.74
867580.7,15.1,2.83,790170.67,13.75
867356.43,15.09,2.83,789994.07,13.75
867356.43,15.09,2.83,789994.07,13.75
867356.43,15.09,2.83,789994.07,13.75
867354.18,15.1,2.83,789934.63,13.75
867163.13,15.1,2.83,789759.74,13.75
867113.13,15.1,2.83,789709.74,13.75
866888.85,15.09,2.83,789523.34,13.75
866697.79,15.09,2.83,789263.67,13.75
866662.33,15.1,2.83,789292.83,13.75
866660.08,15.1,2.83,789233.39,13.75
866435.81,15.1,2.83,789131.76,13.75
866227.07,15.09,2.83,788993.95,13.75
866036.01,15.09,2.83,788742.03,13.75
866253.34,15.1,2.83,788951.78,13.75
866251.09,15.1,2.83,788892.35,13.75
865835.76,15.1,2.83,788531.05,13.75
865611.49,15.1,2.83,788421.68,13.75
865576.02,15.1,2.83,788450.84,13.75
865696.23,15.1,2.84,787999.93,13.75
865696.23,15.1,2.84,787999.93,13.75
865696.23,15.1,2.84,787999.93,13.75
865505.17,15.1,2.84,787740.27,13.74
865280.9,15.1,2.84,787638.64,13.75
864865.57,15.1,2.83,787277.35,13.74
864674.51,15.1,2.83,787102.46,13.74
864674.51,15.1,2.83,787102.46,13.74
864450.24,15.1,2.83,786916.06,13.74
864068.63,15.09,2.83,786648.93,13.74
864066.38,15.09,2.83,786589.49,13.74
863048.96,15.1,2.83,785778.09,13.74
863013.5,15.1,2.83,785807.24,13.75
863013.5,15.1,2.83,785807.24,13.75
863732.69,15.11,2.85,786018.11,13.75
863732.69,15.11,2.85,786018.11,13.75
863206.2,15.1,2.84,785450.32,13.74
862188.78,15.11,2.84,784638.92,13.75
861541.28,15.1,2.83,784012.9,13.74
862089.9,15.11,2.85,784006.38,13.74
862306.86,15.12,2.85,783673.71,13.74
861325.67,15.12,2.86,782934.42,13.74
861529.04,15.13,2.86,782640.5,13.74
861337.98,15.13,2.86,782388.57,13.74
861588.53,15.13,2.87,782375.04,13.74
861173.2,15.13,2.87,782013.75,13.74
860637.28,15.12,2.86,781483.35,13.73
860413.01,15.12,2.86,781373.98,13.73
860885.72,15.13,2.87,781297.05,13.73
860514.11,15.13,2.86,781229.17,13.73
860731.44,15.13,2.87,781399.19,13.74
860731.44,15.13,2.87,781399.19,13.74
860731.44,15.13,2.87,781399.19,13.74
860934.81,15.14,2.87,781094.36,13.73
860743.75,15.14,2.87,780834.69,13.73
860519.48,15.14,2.87,780733.07,13.73
860137.87,15.13,2.87,780413.17,13.73
859946.82,15.13,2.87,780225.77,13.73
860084.5,15.13,2.87,780120.08,13.73
859860.23,15.13,2.87,779942.02,13.73
859115.98,15.12,2.86,779197.77,13.72
859220.44,15.13,2.86,779607.71,13.73
858927.49,15.12,2.86,779286.07,13.72
859130.86,15.13,2.86,778981.24,13.72
859347.81,15.14,2.87,778648.57,13.71
859156.76,15.13,2.87,778506.43,13.71
859154.51,15.14,2.87,778446.99,13.71
858394.46,15.13,2.87,777612.35,13.71
858359.0,15.14,2.87,777641.51,13.71
858060.26,15.13,2.87,777415.68,13.71
857042.84,15.13,2.87,776604.28,13.71
857456.31,15.14,2.88,776756.8,13.72
857252.23,15.14,2.87,776526.73,13.71
856440.15,15.13,2.87,775034.19,13.7
856690.7,15.14,2.88,775020.66,13.7
856690.7,15.14,2.88,775020.66,13.7
856481.96,15.14,2.87,774882.84,13.7
856100.35,15.13,2.87,774642.81,13.69
855876.08,15.13,2.87,774423.66,13.69
856079.44,15.14,2.87,774129.73,13.69
856552.15,15.15,2.88,774052.81,13.69
856136.82,15.15,2.88,773691.52,13.69
855945.76,15.15,2.88,773516.63,13.69
855721.49,15.14,2.88,773330.23,13.69
855530.43,15.14,2.88,773070.56,13.68
855306.16,15.14,2.88,772968.93,13.68
855115.1,15.14,2.88,772794.05,13.68
854699.77,15.14,2.87,772432.75,13.68
854917.1,15.14,2.88,772826.1,13.69
854692.83,15.14,2.88,772639.7,13.69
854668.74,15.14,2.88,772133.78,13.68
854253.41,15.14,2.88,771772.49,13.68
854062.36,15.14,2.88,771512.82,13.68
853331.69,15.13,2.87,770729.82,13.67
852314.27,15.14,2.87,769918.42,13.67
852314.27,15.14,2.87,769918.42,13.67
851898.94,15.13,2.87,769557.12,13.67
851935.73,15.14,2.87,769526.12,13.67
851711.46,15.13,2.87,769424.5,13.67
850980.79,15.12,2.86,768652.41,13.66
850789.74,15.12,2.86,768392.74,13.66
850565.46,15.12,2.86,768291.12,13.66
850374.41,15.12,2.86,768031.45,13.66
