ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
942560.62,15.55,1.95,210243.7,3.47
942096.99,15.54,1.95,209734.27,3.46
942373.46,15.55,1.95,209706.34,3.46
943206.31,15.56,1.97,210026.22,3.47
943258.0,15.57,1.97,210403.06,3.47
943144.01,15.56,1.97,210425.26,3.47
944485.06,15.59,1.99,211676.49,3.49
945128.65,15.6,2.0,211838.98,3.5
945794.43,15.61,2.02,211950.28,3.5
945330.81,15.61,2.01,211440.85,3.49
945173.16,15.61,2.01,211285.71,3.49
946835.32,15.63,2.04,212347.57,3.51
946493.19,15.63,2.03,211753.18,3.5
946808.12,15.64,2.04,211526.87,3.49
947473.9,15.65,2.05,211638.17,3.5
949365.04,15.68,2.09,212463.98,3.51
949317.39,15.68,2.09,212420.83,3.51
949356.7,15.68,2.09,212372.81,3.51
948893.94,15.68,2.08,211850.99,3.5
948972.51,15.68,2.08,211810.36,3.5
949638.3,15.69,2.1,211921.66,3.5
949928.76,15.7,2.1,211611.83,3.5
950269.69,15.71,2.11,211352.47,3.49
950584.61,15.72,2.12,211140.23,3.49
950496.31,15.72,2.12,211051.93,3.49
950496.31,15.72,2.12,211051.93,3.49
951158.47,15.73,2.13,211113.8,3.49
952352.76,15.75,2.15,211960.06,3.51
952352.76,15.75,2.15,211960.06,3.51
952667.68,15.76,2.16,211747.82,3.5
952706.98,15.76,2.16,211699.8,3.5
952243.36,15.75,2.16,211190.37,3.49
952558.28,15.76,2.16,210978.13,3.49
951879.51,15.75,2.16,210299.36,3.48
952541.67,15.77,2.17,210361.23,3.48
952818.14,15.77,2.18,210333.3,3.48
952354.51,15.77,2.17,209823.87,3.47
952218.55,15.77,2.17,210166.18,3.48
952533.47,15.77,2.18,209953.94,3.48
952070.71,15.77,2.17,209418.05,3.47
951607.95,15.76,2.17,208882.15,3.46
951607.95,15.76,2.17,208882.15,3.46
951813.18,15.77,2.17,208487.09,3.45
952154.11,15.78,2.18,208227.72,3.45
952469.03,15.79,2.19,208001.41,3.45
952006.27,15.78,2.18,207465.52,3.44
951663.85,15.78,2.18,207111.76,3.43
951527.89,15.78,2.18,207002.37,3.43
951065.12,15.77,2.17,206466.48,3.42
951399.66,15.78,2.18,206959.82,3.43
954855.82,15.83,2.24,210078.78,3.48
954855.82,15.83,2.24,210078.78,3.48
954950.84,15.84,2.24,210901.94,3.5
954407.77,15.83,2.24,210358.87,3.49
954199.34,15.83,2.23,210116.86,3.49
954331.18,15.83,2.23,210599.33,3.49
953842.41,15.82,2.23,210110.56,3.49
955203.56,15.85,2.25,210406.37,3.49
955067.6,15.85,2.25,210296.99,3.49
954604.84,15.84,2.25,209775.17,3.48
954341.75,15.84,2.25,209460.69,3.48
953999.62,15.84,2.24,208866.3,3.47
956039.02,15.87,2.28,210217.87,3.49
955903.06,15.87,2.28,210217.87,3.49
956100.94,15.88,2.28,211064.88,3.5
956284.65,15.88,2.29,211026.01,3.5
956336.34,15.88,2.29,211144.3,3.51
956388.04,15.89,2.29,211240.27,3.51
956656.86,15.89,2.3,211189.58,3.51
956337.01,15.89,2.29,212077.7,3.52
956570.18,15.9,2.3,212050.54,3.52
956428.49,15.89,2.3,212091.19,3.52
956719.72,15.9,2.3,212440.62,3.53
956771.41,15.9,2.31,212573.42,3.53
956442.82,15.9,2.3,212168.67,3.53
955802.13,15.89,2.3,211440.65,3.52
955666.17,15.89,2.3,211402.28,3.52
955717.86,15.89,2.3,211493.09,3.52
956676.7,15.91,2.32,211914.12,3.52
956334.57,15.91,2.31,211319.73,3.52
956198.61,15.91,2.31,211210.35,3.51
956062.65,15.91,2.31,211210.35,3.51
956062.65,15.91,2.31,211210.35,3.51
956062.65,15.91,2.31,211210.35,3.51
956114.35,15.91,2.32,211328.64,3.52
956383.17,15.92,2.32,211552.97,3.52
956434.86,15.92,2.33,211671.26,3.52
956486.55,15.93,2.33,211767.23,3.53
956239.79,15.92,2.33,211656.4,3.52
956423.5,15.93,2.33,211901.06,3.53
956423.5,15.93,2.33,211901.06,3.53
956287.54,15.93,2.33,211819.11,3.53
956287.54,15.93,2.33,211819.11,3.53
955945.42,15.92,2.33,211224.72,3.52
955809.46,15.92,2.33,211220.18,3.52
955673.5,15.92,2.33,211115.34,3.52
955725.19,15.93,2.33,211144.14,3.52
955776.89,15.93,2.33,211262.43,3.52
956045.71,15.94,2.34,211486.77,3.53
956045.71,15.94,2.34,211486.77,3.53
956045.71,15.94,2.34,211513.42,3.53
955595.02,15.93,2.34,210975.41,3.52
955459.06,15.93,2.34,210951.3,3.52
955167.95,15.93,2.33,210677.56,3.51
954878.27,15.92,2.33,210435.47,3.51
954929.97,15.93,2.33,210512.02,3.51
954794.01,15.93,2.33,210402.63,3.51
954596.63,15.92,2.33,210339.89,3.51
954460.67,15.92,2.33,210339.89,3.51
954460.67,15.92,2.33,210375.9,3.51
954751.89,15.93,2.33,210725.32,3.52
954751.89,15.93,2.33,210726.95,3.52
954989.77,15.94,2.34,211613.96,3.53
954349.08,15.93,2.33,210885.94,3.52
954213.12,15.93,2.33,210881.4,3.52
954077.16,15.93,2.33,210776.56,3.52
953941.2,15.93,2.33,210738.19,3.52
955466.44,15.95,2.36,212032.86,3.54
955466.44,15.95,2.36,212007.3,3.54
955308.79,15.95,2.36,211878.38,3.54
955172.83,15.95,2.36,211807.37,3.54
955471.69,15.96,2.36,212813.25,3.55
956328.19,15.97,2.38,213444.4,3.57
956192.23,15.97,2.38,213439.86,3.57
956082.23,15.97,2.38,213329.86,3.56
956049.46,15.97,2.38,212764.48,3.56
956318.28,15.98,2.38,212992.36,3.56
956182.32,15.98,2.38,212987.82,3.56
956366.03,15.99,2.39,213155.07,3.56
956203.26,15.98,2.39,213017.7,3.56
956067.3,15.99,2.39,213013.17,3.56
956067.3,15.99,2.39,213013.17,3.56
955725.18,15.98,2.39,212418.78,3.55
955380.39,15.98,2.38,212146.05,3.55
954929.7,15.97,2.38,211608.03,3.54
954929.7,15.97,2.38,211608.03,3.54
955113.41,15.98,2.38,211775.28,3.54
954662.72,15.97,2.38,211237.26,3.53
954320.6,15.97,2.37,210622.35,3.52
954246.7,15.97,2.37,210690.87,3.53
954110.74,15.97,2.37,210652.49,3.53
955175.66,15.99,2.39,211717.42,3.54
955039.7,15.99,2.39,211646.41,3.54
955223.42,15.99,2.4,211607.54,3.54
955087.46,15.99,2.4,211549.0,3.54
955087.46,15.99,2.4,211549.0,3.54
954812.72,15.99,2.39,212172.35,3.55
954812.72,15.99,2.39,212172.35,3.55
955064.55,16.0,2.4,212112.37,3.55
955248.27,16.0,2.41,212073.5,3.55
955446.91,16.01,2.41,212036.26,3.55
955516.08,16.01,2.41,212007.88,3.55
955516.08,16.01,2.41,212007.88,3.55
955846.97,16.01,2.42,213408.47,3.58
955855.24,16.02,2.42,213231.86,3.57
955377.38,16.01,2.41,212757.18,3.57
955143.66,16.01,2.41,212425.84,3.56
955007.7,16.01,2.41,212366.38,3.56
954871.74,16.01,2.41,212303.43,3.56
954743.25,16.01,2.41,212477.75,3.56
955012.25,16.01,2.42,212594.53,3.57
954670.12,16.01,2.42,212000.14,3.56
954556.57,16.01,2.42,212107.58,3.56
954552.19,16.01,2.42,212087.07,3.56
955476.28,16.03,2.44,213153.05,3.58
955527.98,16.03,2.44,213181.85,3.58
955898.78,16.04,2.45,212733.79,3.57
955950.47,16.05,2.45,212856.9,3.57
955753.85,16.04,2.45,212706.94,3.57
955753.85,16.04,2.45,212730.63,3.57
955617.89,16.04,2.45,212666.44,3.57
955669.59,16.05,2.45,212789.54,3.57
955853.3,16.05,2.46,212750.67,3.57
955717.34,16.05,2.46,212680.2,3.57
955555.7,16.05,2.46,212536.59,3.57
955901.52,16.06,2.46,213624.26,3.59
955902.27,16.06,2.46,213627.15,3.59
955902.27,16.06,2.46,213622.42,3.59
956226.0,16.06,2.47,213852.38,3.59
956277.69,16.07,2.47,213950.01,3.59
956277.69,16.07,2.47,213906.92,3.59
956987.39,16.08,2.48,214451.79,3.6
957256.21,16.09,2.49,214474.78,3.6
956835.07,16.08,2.49,213909.4,3.6
956699.11,16.08,2.49,213797.12,3.59
956640.15,16.08,2.49,214528.87,3.61
956849.9,16.09,2.49,214440.27,3.61
957033.61,16.09,2.5,214401.4,3.61
957033.61,16.09,2.5,214401.4,3.61
957232.26,16.1,2.5,214364.16,3.6
956704.77,16.09,2.5,213913.2,3.6
956709.1,16.09,2.5,213965.12,3.6
956635.19,16.09,2.5,214885.94,3.61
956482.9,16.09,2.5,214544.14,3.61
956534.59,16.1,2.5,214667.25,3.61
956586.28,16.1,2.5,214764.87,3.61
956855.1,16.1,2.51,214718.91,3.61
956510.32,16.1,2.5,214582.32,3.61
956562.01,16.1,2.51,214705.43,3.61
956440.99,16.1,2.51,215439.86,3.63
957012.49,16.12,2.52,215629.75,3.63
956876.53,16.12,2.52,215565.56,3.63
956898.17,16.12,2.52,215566.7,3.63
957167.0,16.12,2.53,215566.7,3.63
957218.69,16.13,2.53,215689.8,3.63
957082.73,16.13,2.53,215647.61,3.63
957134.42,16.13,2.53,215770.71,3.64
957138.61,16.13,2.53,215774.91,3.64
957002.65,16.13,2.53,215732.72,3.64
956866.69,16.13,2.53,215732.72,3.64
956521.91,16.13,2.53,215860.99,3.64
956790.73,16.13,2.54,215929.41,3.64
956790.73,16.13,2.54,215929.41,3.64
956633.33,16.13,2.53,215777.0,3.64
956497.37,16.13,2.53,215950.71,3.64
956497.37,16.13,2.53,215950.71,3.64
956361.41,16.13,2.53,215847.8,3.64
956225.45,16.13,2.54,215847.8,3.64
956028.07,16.13,2.53,215741.03,3.64
955892.11,16.13,2.53,215706.86,3.64
955756.15,16.13,2.53,215638.12,3.64
955807.84,16.13,2.54,215761.23,3.64
955671.88,16.13,2.54,215697.03,3.64
955940.71,16.14,2.54,215771.51,3.64
955992.4,16.14,2.55,216046.13,3.65
955647.61,16.14,2.54,215836.04,3.64
955511.65,16.14,2.54,215836.31,3.65
955354.25,16.14,2.54,215682.68,3.64
955218.29,16.14,2.54,215579.51,3.64
955082.33,16.14,2.54,215545.35,3.64
954946.37,16.14,2.54,215476.61,3.64
954810.41,16.14,2.54,215373.7,3.64
954702.76,16.14,2.54,215311.65,3.64
954702.76,16.14,2.54,215311.65,3.64
954566.8,16.14,2.54,215311.65,3.64
954367.13,16.13,2.54,215159.57,3.64
954367.13,16.13,2.54,215159.57,3.64
954418.82,16.14,2.54,215282.67,3.64
954654.59,16.14,2.55,215519.08,3.64
954931.05,16.15,2.55,215536.04,3.64
954795.09,16.15,2.55,215536.37,3.65
954659.13,16.15,2.55,215519.08,3.65
954710.82,16.15,2.56,216109.07,3.66
954762.51,16.16,2.56,216232.18,3.66
954946.23,16.16,2.56,216425.96,3.66
