ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a0cd-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
919352.08,15.27,1.68,170844.69,2.84
919813.31,15.28,1.68,170068.08,2.83
919223.3,15.27,1.68,169257.12,2.81
918823.29,15.27,1.67,168636.16,2.8
918774.62,15.27,1.67,168662.51,2.8
918374.61,15.27,1.67,168041.55,2.79
918374.61,15.27,1.67,168086.43,2.79
918919.25,15.28,1.68,169800.61,2.82
918883.2,15.28,1.68,169834.34,2.82
918647.3,15.28,1.68,169669.39,2.82
918247.29,15.27,1.68,169048.42,2.81
918056.19,15.27,1.68,168419.08,2.8
917920.21,15.27,1.68,168449.67,2.8
918216.23,15.28,1.68,168709.62,2.81
918080.25,15.28,1.68,168694.83,2.81
917680.25,15.27,1.68,168073.86,2.8
917544.27,15.28,1.68,168002.32,2.8
917172.27,15.27,1.67,167685.42,2.79
917172.27,15.27,1.67,167685.42,2.79
916772.26,15.27,1.67,167064.46,2.78
916372.25,15.26,1.66,166443.5,2.77
916372.25,15.26,1.66,166443.5,2.77
916268.73,15.26,1.66,166537.5,2.77
917028.19,15.28,1.68,166729.69,2.78
917481.76,15.29,1.69,166092.28,2.77
917209.81,15.29,1.69,166005.94,2.77
917209.81,15.29,1.69,166005.94,2.77
916809.8,15.28,1.68,165384.98,2.76
916809.8,15.28,1.68,165384.98,2.76
916219.79,15.27,1.68,164574.01,2.74
915629.78,15.27,1.67,163763.05,2.73
915229.77,15.26,1.66,163142.09,2.72
916083.66,15.28,1.68,164399.88,2.74
915980.13,15.28,1.68,164197.34,2.74
916934.55,15.3,1.7,165202.59,2.76
916534.54,15.29,1.7,164581.63,2.75
916819.74,15.3,1.7,164483.5,2.74
916419.73,15.29,1.7,163862.54,2.73
916338.37,15.3,1.7,164036.74,2.74
916234.84,15.3,1.7,164052.9,2.74
916234.84,15.3,1.7,164052.9,2.74
916994.31,15.31,1.71,164213.53,2.74
917217.21,15.32,1.72,164345.15,2.74
917217.21,15.32,1.72,164345.15,2.74
918174.87,15.34,1.74,164877.0,2.75
918028.85,15.34,1.74,164893.99,2.76
918667.62,15.35,1.75,164734.2,2.75
918963.64,15.36,1.76,164840.1,2.75
918373.63,15.35,1.75,164029.14,2.74
917973.62,15.34,1.75,163408.18,2.73
917837.64,15.34,1.75,163651.66,2.74
917637.8,15.34,1.75,163499.46,2.73
917363.71,15.34,1.74,163431.14,2.73
917167.37,15.34,1.74,162843.02,2.72
917167.37,15.34,1.74,162843.02,2.72
916767.36,15.34,1.74,162208.44,2.71
916183.93,15.33,1.73,161625.0,2.7
915960.47,15.32,1.73,161369.26,2.7
915586.0,15.32,1.72,161080.37,2.7
915586.0,15.32,1.72,161080.37,2.7
915586.0,15.32,1.72,161107.45,2.7
915914.47,15.33,1.73,161390.4,2.7
916022.02,15.33,1.73,160529.81,2.69
916022.02,15.33,1.73,160516.39,2.69
915898.67,15.33,1.73,161142.71,2.7
916122.23,15.34,1.74,161066.09,2.7
915986.25,15.34,1.74,161051.29,2.7
915850.28,15.34,1.74,160979.75,2.7
915714.3,15.34,1.74,160980.74,2.7
916124.16,15.34,1.75,161523.26,2.71
916508.82,15.35,1.75,161972.27,2.71
916196.72,15.35,1.75,161615.9,2.71
916060.74,15.35,1.75,161601.11,2.71
916060.74,15.35,1.75,161628.77,2.71
916251.19,15.35,1.75,161879.44,2.71
916303.9,15.36,1.76,161346.33,2.7
915216.08,15.36,1.76,161346.02,2.71
915957.77,15.37,1.77,162110.38,2.72
915854.24,15.37,1.78,162149.69,2.72
917413.86,15.4,1.8,163134.96,2.74
917604.31,15.41,1.81,163197.99,2.74
917456.01,15.41,1.81,163181.32,2.74
917752.03,15.41,1.82,163629.57,2.75
917616.05,15.41,1.82,162967.24,2.74
917567.38,15.42,1.82,162816.14,2.74
917731.17,15.42,1.82,163731.66,2.75
918053.86,15.43,1.83,164339.93,2.76
917917.88,15.43,1.83,164279.05,2.76
917711.45,15.43,1.83,164076.84,2.76
917575.47,15.43,1.83,164051.37,2.76
916893.53,15.42,1.82,163281.11,2.75
917524.13,15.43,1.83,162596.85,2.73
917260.58,15.43,1.83,162548.3,2.73
916888.58,15.42,1.83,162334.54,2.73
916752.61,15.42,1.83,162248.19,2.73
916616.63,15.42,1.83,162248.19,2.73
916513.1,15.42,1.83,162342.19,2.73
917467.52,15.44,1.85,162667.57,2.74
917467.52,15.44,1.85,162667.57,2.74
917222.76,15.44,1.84,162339.45,2.73
917518.78,15.45,1.85,162445.35,2.73
917709.24,15.45,1.85,162850.72,2.74
917709.24,15.45,1.85,162850.72,2.74
917605.71,15.45,1.85,162890.03,2.74
918365.17,15.47,1.87,163136.92,2.75
918160.37,15.47,1.87,162932.12,2.74
918490.53,15.47,1.88,163200.51,2.75
918387.0,15.47,1.88,163010.23,2.75
918240.21,15.47,1.88,162321.41,2.74
918628.57,15.48,1.89,162993.69,2.75
918135.3,15.48,1.88,162413.77,2.74
917999.32,15.48,1.88,162327.43,2.74
916911.5,15.48,1.88,162320.07,2.74
916964.2,15.48,1.89,162505.32,2.74
916828.23,15.48,1.89,162448.25,2.74
917109.34,15.49,1.89,162299.53,2.74
916973.36,15.49,1.89,162839.54,2.75
916837.38,15.49,1.89,162715.93,2.75
916465.38,15.49,1.89,162502.9,2.75
916329.41,15.49,1.89,162339.78,2.74
916382.11,15.49,1.89,162297.27,2.74
