ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
216,490,345910,6212,345910
217,492,346910,6212,346910
217,492,347910,6212,347910
218,494,348560,6212,348560
218,494,349560,6212,349560
218,494,349720,6212,349720
218,494,350040,6212,350040
219,496,351040,6212,351040
219,496,352040,6212,352040
219,496,352040,6212,352040
220,498,353040,6212,353040
220,498,353040,6212,353040
220,498,353200,6212,353200
220,498,353360,6212,353360
220,498,354170,6212,354170
221,500,355170,6212,355170
221,500,355980,6212,355980
222,502,356980,6212,356980
222,502,357980,6212,357980
223,504,358980,6212,358980
223,504,359790,6212,359790
224,506,360790,6212,360790
224,506,361260,6212,361260
225,508,362260,6212,362260
225,508,363260,6212,363260
226,510,364070,6212,364070
226,510,365070,6212,365070
227,512,366070,6212,366070
227,512,366540,6212,366540
227,512,367540,6212,367540
228,514,368350,6212,368350
228,514,369350,6212,369350
229,516,370350,6212,370350
229,516,370350,6212,370350
229,516,371350,6212,371350
230,518,372350,6212,372350
230,518,372350,6212,372350
230,518,373350,6212,373350
231,520,374350,6212,374350
231,520,375350,6212,375350
232,522,376350,6212,376350
232,522,377350,6212,377350
232,522,377570,6212,377570
233,524,378570,6212,378570
233,524,379570,6212,379570
234,526,380570,6212,380570
234,526,381570,6212,381570
234,526,381570,6212,381570
235,528,382570,6212,382570
235,528,383570,6212,383570
236,530,384570,6212,384570
236,530,385570,6212,385570
236,530,385680,6212,385680
237,532,386490,6212,386490
237,532,387490,6212,387490
238,534,388490,6212,388490
238,534,389490,6212,389490
238,534,389490,6212,389490
239,536,390490,6212,390490
239,536,391300,6212,391300
240,540,391770,6212,391770
241,542,392580,6212,392580
241,542,393230,6212,393230
241,542,394230,6212,394230
241,542,395230,6212,395230
241,542,395600,6212,395600
241,542,396410,6212,396410
242,544,397410,6212,397410
242,544,398220,6212,398220
242,544,398220,6212,398220
243,546,399220,6212,399220
243,546,399220,6212,399220
243,546,400220,6212,400220
244,548,401220,6212,401220
244,548,402220,6212,402220
245,550,403220,6212,403220
245,550,403440,6212,403440
246,554,403910,6212,403910
246,554,404720,6212,404720
246,554,405720,6212,405720
246,554,406720,6212,406720
246,554,407530,6212,407530
247,556,408340,6212,408340
247,556,409340,6212,409340
248,558,410340,6212,410340
248,558,410340,6212,410340
248,558,411340,6212,411340
249,560,412340,6212,412340
249,560,412630,6212,412630
249,560,413100,6212,413100
249,560,414100,6212,414100
250,562,414910,6212,414910
250,562,415720,6212,415720
251,564,416530,6212,416530
251,564,416580,6212,416580
251,564,417050,6212,417050
251,564,417520,6212,417520
252,566,418520,6212,418520
252,566,419330,6212,419330
253,568,419650,6212,419650
254,576,419880,6212,419880
254,576,420880,6212,420880
254,576,421430,6212,421430
255,578,422430,6212,422430
255,578,422430,6212,422430
255,578,423430,6212,423430
256,580,424430,6212,424430
256,580,424910,6212,424910
257,582,425720,6212,425720
257,582,426720,6212,426720
258,584,427530,6212,427530
258,584,428530,6212,428530
258,584,429010,6212,429010
259,586,430010,6212,430010
259,586,431010,6212,431010
260,588,432010,6212,432010
260,588,433010,6212,433010
260,588,433010,6212,433010
261,590,434010,6212,434010
261,590,435010,6212,435010
261,590,435480,6212,435480
261,590,435480,6212,435480
262,594,439480,6212,439480
263,596,440480,6212,440480
263,596,440480,6212,440480
263,596,441290,6212,441290
264,598,442290,6212,442290
264,598,442760,6212,442760
