ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_85f6-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
106,416,377170,6212,377170
106,416,378170,6212,378170
106,416,378490,6212,378490
106,416,379490,6212,379490
106,416,379810,6212,379810
106,416,380810,6212,380810
106,416,380810,6212,380810
107,418,381810,6212,381810
107,418,382280,6212,382280
108,422,382930,6212,382930
108,422,382930,6212,382930
108,422,382930,6212,382930
108,422,382930,6212,382930
108,422,382930,6212,382930
109,424,383930,6212,383930
109,424,384740,6212,384740
110,432,385550,6212,385550
110,432,386550,6212,386550
110,432,387550,6212,387550
110,432,387550,6212,387550
110,432,388550,6212,388550
110,432,389020,6212,389020
110,432,389830,6212,389830
110,432,389830,6212,389830
110,432,390830,6212,390830
110,432,391830,6212,391830
110,432,392300,6212,392300
111,440,393300,6212,393300
111,440,393760,6212,393760
111,440,394570,6212,394570
111,440,395570,6212,395570
111,440,396570,6212,396570
111,440,397380,6212,397380
111,440,397850,6212,397850
111,440,398850,6212,398850
111,440,399850,6212,399850
112,448,400660,6212,400660
112,448,400890,6212,400890
112,448,400890,6212,400890
112,448,401890,6212,401890
112,448,402890,6212,402890
112,448,403890,6212,403890
112,448,403890,6212,403890
112,448,404700,6212,404700
112,448,405510,6212,405510
112,448,406510,6212,406510
112,448,407510,6212,407510
113,450,408510,6212,408510
113,450,409510,6212,409510
114,458,410510,6212,410510
114,458,411510,6212,411510
114,458,412320,6212,412320
114,458,412320,6212,412320
114,458,413320,6212,413320
114,458,414320,6212,414320
114,458,414320,6212,414320
114,458,414800,6212,414800
114,458,414800,6212,414800
114,458,414800,6212,414800
114,458,415800,6212,415800
114,458,415800,6212,415800
115,466,416800,6212,416800
115,466,416800,6212,416800
115,466,416800,6212,416800
115,466,417120,6212,417120
115,466,417120,6212,417120
115,466,418120,6212,418120
115,466,418120,6212,418120
115,466,418120,6212,418120
115,466,419120,6212,419120
115,466,419930,6212,419930
115,466,419930,6212,419930
115,466,420740,6212,420740
115,466,421740,6212,421740
115,466,422210,6212,422210
115,466,422680,6212,422680
115,466,423160,6212,423160
115,466,424160,6212,424160
115,466,424480,6212,424480
115,466,424480,6212,424480
115,466,424480,6212,424480
115,466,425480,6212,425480
116,474,426480,6212,426480
116,474,427480,6212,427480
116,474,428480,6212,428480
116,474,428480,6212,428480
116,474,428800,6212,428800
116,474,429260,6212,429260
116,474,429730,6212,429730
116,474,429730,6212,429730
116,474,430730,6212,430730
116,474,431730,6212,431730
116,474,431950,6212,431950
117,476,432950,6212,432950
117,476,432950,6212,432950
117,476,432950,6212,432950
117,476,432950,6212,432950
117,476,433420,6212,433420
117,476,434230,6212,434230
117,476,434340,6212,434340
117,476,435340,6212,435340
118,484,436340,6212,436340
118,484,436690,6212,436690
118,484,436850,6212,436850
118,484,437850,6212,437850
119,486,438170,6212,438170
119,486,439170,6212,439170
119,486,439170,6212,439170
119,486,440170,6212,440170
119,486,440400,6212,440400
119,486,441400,6212,441400
119,486,442400,6212,442400
119,486,443210,6212,443210
120,494,443680,6212,443680
120,494,444680,6212,444680
120,494,444680,6212,444680
120,494,444680,6212,444680
120,494,445150,6212,445150
120,494,445620,6212,445620
120,494,446620,6212,446620
120,494,447430,6212,447430
120,494,448430,6212,448430
121,502,449430,6212,449430
121,502,450430,6212,450430
121,502,451430,6212,451430
121,502,451430,6212,451430
121,502,452430,6212,452430
121,502,452430,6212,452430
121,502,452750,6212,452750
121,502,453750,6212,453750
121,502,453980,6212,453980
121,502,454980,6212,454980
122,504,455980,6212,455980
122,504,456980,6212,456980
122,504,456980,6212,456980
123,512,457980,6212,457980
123,512,458980,6212,458980
123,512,459450,6212,459450
123,512,459450,6212,459450
123,512,460450,6212,460450
123,512,460450,6212,460450
123,512,461450,6212,461450
123,512,462450,6212,462450
123,512,463450,6212,463450
124,520,464450,6212,464450
124,520,465260,6212,465260
124,520,465580,6212,465580
124,520,465580,6212,465580
124,520,465580,6212,465580
124,520,465800,6212,465800
124,520,466610,6212,466610
124,520,467610,6212,467610
124,520,467610,6212,467610
124,520,468080,6212,468080
124,520,469080,6212,469080
124,520,469550,6212,469550
125,528,470550,6212,470550
125,528,471020,6212,471020
125,528,472020,6212,472020
125,528,473020,6212,473020
125,528,473020,6212,473020
125,528,473490,6212,473490
126,536,474490,6212,474490
126,536,475300,6212,475300
126,536,475300,6212,475300
126,536,475780,6212,475780
126,536,476780,6212,476780
126,536,477430,6212,477430
126,536,478430,6212,478430
126,536,479430,6212,479430
126,536,480240,6212,480240
126,536,481050,6212,481050
126,536,482050,6212,482050
126,536,482050,6212,482050
126,536,482520,6212,482520
127,538,483520,6212,483520
127,538,484330,6212,484330
127,538,484330,6212,484330
127,538,484330,6212,484330
127,538,484330,6212,484330
127,538,484330,6212,484330
127,538,485330,6212,485330
127,538,485330,6212,485330
128,540,486330,6212,486330
128,540,487330,6212,487330
128,540,487330,6212,487330
129,544,487800,6212,487800
130,552,488800,6212,488800
130,552,489800,6212,489800
130,552,490800,6212,490800
130,552,491610,6212,491610
130,552,491610,6212,491610
130,552,491610,6212,491610
130,552,492200,6212,492200
130,552,493200,6212,493200
130,552,493200,6212,493200
130,552,493200,6212,493200
130,552,494200,6212,494200
130,552,495200,6212,495200
130,552,496200,6212,496200
130,552,497010,6212,497010
130,552,497820,6212,497820
130,552,497820,6212,497820
130,552,498140,6212,498140
130,552,499140,6212,499140
131,554,499950,6212,499950
131,554,499950,6212,499950
131,554,499950,6212,499950
131,554,500420,6212,500420
131,554,501230,6212,501230
132,562,501700,6212,501700
132,562,501700,6212,501700
132,562,502700,6212,502700
132,562,503510,6212,503510
132,562,503980,6212,503980
132,562,505980,6212,505980
132,562,506790,6212,506790
132,562,507110,6212,507110
132,562,507920,6212,507920
133,570,508920,6212,508920
133,570,509920,6212,509920
133,570,510920,6212,510920
134,572,511730,6212,511730
134,572,512100,6212,512100
134,572,512570,6212,512570
134,572,512570,6212,512570
134,572,513570,6212,513570
134,572,514570,6212,514570
135,574,515380,6212,515380
135,574,516190,6212,516190
135,574,517190,6212,517190
135,574,517190,6212,517190
135,574,518000,6212,518000
135,574,518000,6212,518000
135,574,519000,6212,519000
135,574,519000,6212,519000
136,582,519810,6212,519810
136,582,520810,6212,520810
136,582,521040,6212,521040
136,582,521850,6212,521850
136,582,522850,6212,522850
136,582,523850,6212,523850
136,582,524850,6212,524850
136,582,525850,6212,525850
136,582,526850,6212,526850
136,582,526850,6212,526850
137,590,527660,6212,527660
137,590,528130,6212,528130
137,590,528600,6212,528600
137,590,529600,6212,529600
137,590,530600,6212,530600
137,590,530830,6212,530830
137,590,531830,6212,531830
137,590,532640,6212,532640
137,590,532640,6212,532640
137,590,533450,6212,533450
137,590,534260,6212,534260
138,598,535260,6212,535260
138,598,535730,6212,535730
138,598,536730,6212,536730
138,598,537730,6212,537730
138,598,538380,6212,538380
139,606,539380,6212,539380
139,606,540380,6212,540380
139,606,540840,6212,540840
139,606,540840,6212,540840
139,606,541840,6212,541840
139,606,542840,6212,542840
139,606,543390,6212,543390
139,606,543620,6212,543620
139,606,544620,6212,544620
139,606,545620,6212,545620
140,614,546620,6212,546620
140,614,547620,6212,547620
140,614,548620,6212,548620
140,614,549620,6212,549620
140,614,549620,6212,549620
140,614,549940,6212,549940
140,614,550940,6212,550940
141,616,551750,6212,551750
141,616,552750,6212,552750
141,616,553750,6212,553750
141,616,554070,6212,554070
141,616,554070,6212,554070
141,616,554070,6212,554070
141,616,554070,6212,554070
141,616,554070,6212,554070
141,616,554390,6212,554390
141,616,554390,6212,554390
142,624,555390,6212,555390
142,624,556390,6212,556390
142,624,556390,6212,556390
142,624,556860,6212,556860
142,624,557180,6212,557180
142,624,557180,6212,557180
142,624,558180,6212,558180
142,624,558180,6212,558180
142,624,558650,6212,558650
142,624,558650,6212,558650
142,624,558650,6212,558650
142,624,558650,6212,558650
142,624,559650,6212,559650
142,624,559650,6212,559650
142,624,560240,6212,560240
142,624,561050,6212,561050
142,624,561050,6212,561050
142,624,562050,6212,562050
143,632,562520,6212,562520
143,632,562520,6212,562520
143,632,563520,6212,563520
143,632,564520,6212,564520
143,632,565520,6212,565520
143,632,566330,6212,566330
143,632,567140,6212,567140
143,632,567950,6212,567950
143,632,568950,6212,568950
143,632,568950,6212,568950
143,632,569760,6212,569760
143,632,570220,6212,570220
143,632,570440,6212,570440
143,632,571440,6212,571440
144,640,572440,6212,572440
144,640,572760,6212,572760
144,640,573760,6212,573760
144,640,574220,6212,574220
144,640,574870,6212,574870
144,640,575870,6212,575870
144,640,575870,6212,575870
144,640,576870,6212,576870
144,640,577330,6212,577330
144,640,577800,6212,577800
144,640,578800,6212,578800
144,640,578800,6212,578800
144,640,579800,6212,579800
144,640,580800,6212,580800
145,648,581450,6212,581450
145,648,582450,6212,582450
145,648,583450,6212,583450
145,648,584450,6212,584450
145,648,584920,6212,584920
145,648,585920,6212,585920
145,648,586920,6212,586920
146,656,587390,6212,587390
146,656,588390,6212,588390
146,656,588390,6212,588390
147,658,589200,6212,589200
147,658,590200,6212,590200
147,658,591200,6212,591200
147,658,592010,6212,592010
147,658,592010,6212,592010
147,658,593010,6212,593010
147,658,593480,6212,593480
147,658,593940,6212,593940
147,658,594940,6212,594940
147,658,595410,6212,595410
147,658,595880,6212,595880
147,658,596880,6212,596880
147,658,596880,6212,596880
147,658,597350,6212,597350
147,658,598350,6212,598350
147,658,598350,6212,598350
148,660,599350,6212,599350
148,660,600160,6212,600160
148,660,600320,6212,600320
149,662,601320,6212,601320
149,662,602130,6212,602130
150,664,603130,6212,603130
150,664,603130,6212,603130
150,664,604130,6212,604130
151,672,605130,6212,605130
151,672,606130,6212,606130
151,672,607130,6212,607130
151,672,607130,6212,607130
151,672,607130,6212,607130
151,672,608130,6212,608130
151,672,608600,6212,608600
151,672,609600,6212,609600
151,672,610600,6212,610600
151,672,611410,6212,611410
152,680,612410,6212,612410
152,680,612410,6212,612410
152,680,612880,6212,612880
152,680,613880,6212,613880
152,680,614880,6212,614880
152,680,615880,6212,615880
152,680,615880,6212,615880
152,680,616880,6212,616880
152,680,617880,6212,617880
152,680,617880,6212,617880
152,680,618530,6212,618530
152,680,618990,6212,618990
152,680,619460,6212,619460
153,688,620270,6212,620270
153,688,621270,6212,621270
153,688,621500,6212,621500
153,688,621970,6212,621970
153,688,621970,6212,621970
153,688,621970,6212,621970
153,688,622200,6212,622200
153,688,623200,6212,623200
153,688,624010,6212,624010
153,688,624480,6212,624480
154,690,624950,6212,624950
154,690,625760,6212,625760
154,690,626230,6212,626230
154,690,627230,6212,627230
155,698,628230,6212,628230
155,698,629230,6212,629230
155,698,630040,6212,630040
155,698,630850,6212,630850
155,698,631850,6212,631850
155,698,632660,6212,632660
155,698,633660,6212,633660
156,706,634660,6212,634660
156,706,634880,6212,634880
156,706,634880,6212,634880
156,706,635880,6212,635880
156,706,636880,6212,636880
156,706,636880,6212,636880
156,706,637880,6212,637880
156,706,638690,6212,638690
156,706,639690,6212,639690
156,706,640340,6212,640340
156,706,641340,6212,641340
156,706,642340,6212,642340
156,706,642660,6212,642660
156,706,643470,6212,643470
157,710,643940,6212,643940
157,710,644310,6212,644310
157,710,645310,6212,645310
157,710,645310,6212,645310
