ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6fa8-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
127,498,412020,6212,412020
127,498,413020,6212,413020
127,498,413240,6212,413240
127,498,413240,6212,413240
127,498,414240,6212,414240
128,506,422240,6212,422240
128,506,423240,6212,423240
129,508,424050,6212,424050
129,508,424050,6212,424050
129,508,425050,6212,425050
129,508,426050,6212,426050
129,508,426270,6212,426270
129,508,426920,6212,426920
129,508,427920,6212,427920
129,508,428920,6212,428920
130,510,429920,6212,429920
130,510,430570,6212,430570
130,510,431380,6212,431380
130,510,432380,6212,432380
131,514,433030,6212,433030
131,514,433500,6212,433500
131,514,433500,6212,433500
131,514,434310,6212,434310
131,514,434780,6212,434780
132,518,435250,6212,435250
132,518,435720,6212,435720
132,518,436190,6212,436190
132,518,437000,6212,437000
133,526,438000,6212,438000
133,526,438320,6212,438320
133,526,439320,6212,439320
133,526,440130,6212,440130
133,526,440600,6212,440600
134,534,441600,6212,441600
134,534,441920,6212,441920
135,536,442730,6212,442730
135,536,442890,6212,442890
135,536,443890,6212,443890
135,536,444540,6212,444540
135,536,444540,6212,444540
135,536,445540,6212,445540
135,536,446010,6212,446010
136,538,447010,6212,447010
136,538,447330,6212,447330
136,538,448330,6212,448330
137,546,449330,6212,449330
137,546,449700,6212,449700
137,546,450700,6212,450700
137,546,451700,6212,451700
137,546,452700,6212,452700
137,546,453700,6212,453700
137,546,454700,6212,454700
137,546,455700,6212,455700
137,546,456700,6212,456700
138,554,456700,6212,456700
138,554,456700,6212,456700
138,554,456930,6212,456930
139,556,457930,6212,457930
139,556,457930,6212,457930
139,556,458250,6212,458250
139,556,458720,6212,458720
139,556,459720,6212,459720
140,558,460720,6212,460720
140,558,461720,6212,461720
140,558,462530,6212,462530
140,558,463340,6212,463340
140,558,463820,6212,463820
140,558,464820,6212,464820
140,558,465820,6212,465820
141,566,466820,6212,466820
141,566,466820,6212,466820
141,566,467820,6212,467820
142,568,468820,6212,468820
142,568,469630,6212,469630
142,568,470630,6212,470630
142,568,471100,6212,471100
142,568,472100,6212,472100
142,568,472910,6212,472910
143,570,473720,6212,473720
143,570,474720,6212,474720
143,570,475720,6212,475720
143,570,476720,6212,476720
144,572,477530,6212,477530
144,572,477760,6212,477760
144,572,478760,6212,478760
144,572,478760,6212,478760
144,572,479760,6212,479760
144,572,479980,6212,479980
144,572,480450,6212,480450
144,572,481260,6212,481260
144,572,482260,6212,482260
144,572,483260,6212,483260
145,574,484260,6212,484260
145,574,485070,6212,485070
145,574,485660,6212,485660
145,574,486660,6212,486660
146,582,494660,6212,494660
146,582,495210,6212,495210
146,582,496020,6212,496020
146,582,496020,6212,496020
146,582,497020,6212,497020
146,582,498020,6212,498020
146,582,498020,6212,498020
146,582,499020,6212,499020
147,584,500020,6212,500020
147,584,500250,6212,500250
147,584,501250,6212,501250
147,584,501410,6212,501410
