ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1172227.47,20.0,1.34,246916.78,4.21
1171909.0,20.0,1.34,246598.32,4.21
1171741.97,20.0,1.34,246593.84,4.21
1171574.93,20.0,1.34,246516.34,4.21
1171579.01,20.0,1.34,246567.11,4.21
1171411.97,20.0,1.34,246562.98,4.21
1171244.94,20.0,1.34,246541.48,4.21
1171265.87,20.0,1.34,246642.81,4.21
1171098.84,20.0,1.34,246565.37,4.21
1171098.84,20.0,1.34,246591.59,4.21
1170931.81,20.0,1.34,246587.4,4.21
1171176.94,20.01,1.35,246406.73,4.21
1170465.05,20.0,1.34,245652.37,4.2
1170096.03,20.0,1.34,245290.72,4.19
1169928.99,20.0,1.34,245213.58,4.19
1169761.96,20.0,1.34,245209.1,4.19
1169782.89,20.0,1.34,245306.42,4.19
1169803.82,20.0,1.34,245450.38,4.2
1169636.79,20.0,1.34,245373.23,4.2
1172837.0,20.06,1.4,245875.05,4.21
1172837.54,20.06,1.4,245878.68,4.21
1172670.51,20.06,1.4,245874.2,4.21
1173090.49,20.07,1.41,245933.06,4.21
1172923.46,20.07,1.41,246401.47,4.22
1172763.92,20.07,1.41,246406.89,4.22
1172759.29,20.07,1.41,246386.37,4.22
1172292.02,20.07,1.4,245882.94,4.21
1172292.02,20.07,1.4,245863.5,4.21
1172099.43,20.07,1.4,245926.76,4.21
1171906.84,20.07,1.4,245903.36,4.21
1172155.13,20.07,1.41,245852.3,4.21
1172150.51,20.08,1.41,246287.84,4.22
1171957.92,20.08,1.41,246375.29,4.22
1171765.32,20.08,1.41,246485.3,4.22
1171567.05,20.08,1.41,246429.72,4.22
1171443.91,20.08,1.42,247150.71,4.24
1171439.67,20.08,1.42,246730.74,4.23
1171439.67,20.08,1.42,246730.74,4.23
1171272.64,20.08,1.42,246653.25,4.23
1170993.18,20.08,1.42,246356.24,4.22
1170826.14,20.08,1.42,246352.11,4.22
1170455.26,20.07,1.41,246150.63,4.22
1170288.23,20.08,1.41,246073.13,4.22
1170121.2,20.08,1.41,246069.0,4.22
1170121.2,20.08,1.41,246069.0,4.22
1169954.17,20.08,1.41,246067.0,4.22
1169975.1,20.08,1.42,246148.83,4.22
1170395.08,20.09,1.42,246207.69,4.23
1170228.05,20.09,1.42,246543.7,4.23
1170061.02,20.09,1.42,246522.19,4.23
1170602.78,20.1,1.44,245707.62,4.22
1170435.74,20.1,1.44,245647.5,4.22
1171195.43,20.12,1.45,245969.3,4.22
1171028.4,20.12,1.45,245892.15,4.22
1170861.36,20.12,1.45,245887.67,4.22
1170694.33,20.12,1.45,245878.73,4.23
1170527.3,20.12,1.45,245806.05,4.22
1170020.85,20.11,1.45,245269.22,4.22
1169853.82,20.11,1.45,245267.22,4.22
1169686.79,20.11,1.45,245187.6,4.22
1168691.05,20.1,1.43,244191.86,4.2
