ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
268,742,577540,6212,577540
269,746,578540,6212,578540
269,746,580540,6212,580540
269,746,581540,6212,581540
269,746,581860,6212,581860
270,754,582860,6212,582860
270,754,583090,6212,583090
270,754,583740,6212,583740
270,754,583740,6212,583740
270,754,584740,6212,584740
270,754,585740,6212,585740
270,754,585960,6212,585960
271,762,585960,6212,585960
272,770,586960,6212,586960
272,770,587960,6212,587960
272,770,588960,6212,588960
272,770,589960,6212,589960
272,770,590960,6212,590960
272,770,590960,6212,590960
272,770,590960,6212,590960
273,774,591960,6212,591960
273,774,592960,6212,592960
273,774,593280,6212,593280
273,774,593280,6212,593280
274,776,593740,6212,593740
274,776,594740,6212,594740
275,778,595740,6212,595740
275,778,596550,6212,596550
276,780,597550,6212,597550
276,780,598550,6212,598550
277,782,599550,6212,599550
277,782,600550,6212,600550
278,784,601550,6212,601550
278,784,602550,6212,602550
278,784,603360,6212,603360
278,784,603360,6212,603360
278,784,603680,6212,603680
279,786,604680,6212,604680
279,786,604680,6212,604680
279,786,605680,6212,605680
280,788,606680,6212,606680
280,788,607680,6212,607680
281,790,608680,6212,608680
281,790,609680,6212,609680
281,790,610680,6212,610680
281,790,611680,6212,611680
281,790,612150,6212,612150
281,790,612610,6212,612610
282,792,613610,6212,613610
282,792,614420,6212,614420
282,792,614420,6212,614420
282,792,614420,6212,614420
282,792,615420,6212,615420
283,794,616420,6212,616420
283,794,617420,6212,617420
283,794,618420,6212,618420
284,796,619230,6212,619230
284,796,619700,6212,619700
284,796,620700,6212,620700
284,796,621510,6212,621510
285,798,622510,6212,622510
285,798,623510,6212,623510
286,800,625510,6212,625510
286,800,625980,6212,625980
287,802,626980,6212,626980
287,802,627980,6212,627980
287,802,627980,6212,627980
288,804,628630,6212,628630
288,804,629630,6212,629630
289,806,630630,6212,630630
290,808,631630,6212,631630
290,808,631630,6212,631630
290,808,632440,6212,632440
290,808,633440,6212,633440
291,810,634250,6212,634250
291,810,634570,6212,634570
292,812,635570,6212,635570
292,812,636570,6212,636570
292,812,637570,6212,637570
293,814,638570,6212,638570
294,816,639380,6212,639380
294,816,639380,6212,639380
294,816,640380,6212,640380
295,818,640970,6212,640970
295,818,641970,6212,641970
296,820,642970,6212,642970
296,820,643200,6212,643200
296,820,645200,6212,645200
296,820,645670,6212,645670
296,820,646670,6212,646670
297,822,647670,6212,647670
298,830,651670,6212,651670
298,830,652670,6212,652670
299,832,653670,6212,653670
300,834,654260,6212,654260
300,834,655070,6212,655070
300,834,656070,6212,656070
300,834,656070,6212,656070
300,834,656540,6212,656540
300,834,656540,6212,656540
301,836,657540,6212,657540
302,838,658540,6212,658540
302,838,659350,6212,659350
302,838,660000,6212,660000
303,840,660810,6212,660810
303,840,660810,6212,660810
303,840,661620,6212,661620
304,842,662620,6212,662620
305,850,670620,6212,670620
305,850,671620,6212,671620
306,852,672620,6212,672620
306,852,673620,6212,673620
307,854,674270,6212,674270
308,856,675270,6212,675270
308,856,675270,6212,675270
308,856,676270,6212,676270
308,856,676590,6212,676590
309,858,677400,6212,677400
309,858,678210,6212,678210
310,860,679210,6212,679210
310,860,679210,6212,679210
310,860,680210,6212,680210
310,860,680680,6212,680680
311,862,681680,6212,681680
311,862,682680,6212,682680
311,862,682680,6212,682680
312,864,683680,6212,683680
312,864,684680,6212,684680
313,866,685150,6212,685150
313,866,686150,6212,686150
313,866,686620,6212,686620
314,868,687620,6212,687620
314,868,687620,6212,687620
314,868,688620,6212,688620
314,868,688620,6212,688620
315,870,689090,6212,689090
315,870,689560,6212,689560
315,870,690560,6212,690560
316,872,691560,6212,691560
317,874,692370,6212,692370
317,874,692600,6212,692600
317,874,693410,6212,693410
317,874,694410,6212,694410
317,874,695220,6212,695220
317,874,695870,6212,695870
317,874,696680,6212,696680
317,874,697490,6212,697490
317,874,697960,6212,697960
317,874,698960,6212,698960
317,874,699960,6212,699960
317,874,700960,6212,700960
318,876,701960,6212,701960
318,876,702960,6212,702960
318,876,703770,6212,703770
318,876,703770,6212,703770
318,876,704770,6212,704770
318,876,705580,6212,705580
319,878,706580,6212,706580
319,878,707050,6212,707050
319,878,708050,6212,708050
319,878,708860,6212,708860
319,878,709860,6212,709860
320,880,710860,6212,710860
320,880,711860,6212,711860
320,880,712860,6212,712860
321,882,713860,6212,713860
321,882,714860,6212,714860
322,884,715860,6212,715860
322,884,716670,6212,716670
323,886,717670,6212,717670
323,886,718670,6212,718670
323,886,719140,6212,719140
323,886,719950,6212,719950
323,886,719950,6212,719950
324,888,720950,6212,720950
324,888,721420,6212,721420
324,888,721740,6212,721740
324,888,722740,6212,722740
324,888,723740,6212,723740
324,888,724550,6212,724550
324,888,724550,6212,724550
324,888,724870,6212,724870
324,888,725520,6212,725520
324,888,726110,6212,726110
325,890,727110,6212,727110
325,890,728110,6212,728110
325,890,728920,6212,728920
325,890,729240,6212,729240
325,890,729240,6212,729240
325,890,730240,6212,730240
326,892,731240,6212,731240
326,892,732240,6212,732240
327,894,732710,6212,732710
327,894,733710,6212,733710
327,894,734180,6212,734180
327,894,734180,6212,734180
327,894,734180,6212,734180
327,894,734180,6212,734180
327,894,742180,6212,742180
328,902,742180,6212,742180
329,904,743180,6212,743180
329,904,744180,6212,744180
329,904,744650,6212,744650
329,904,745120,6212,745120
329,904,746120,6212,746120
329,904,746120,6212,746120
330,906,747120,6212,747120
330,906,747770,6212,747770
330,906,747770,6212,747770
331,908,748240,6212,748240
331,908,749240,6212,749240
331,908,749240,6212,749240
331,908,750240,6212,750240
331,908,751050,6212,751050
331,908,752050,6212,752050
331,908,752050,6212,752050
331,908,752520,6212,752520
332,910,752990,6212,752990
332,910,753990,6212,753990
333,912,754990,6212,754990
333,912,755800,6212,755800
334,914,756800,6212,756800
334,914,757800,6212,757800
334,914,758260,6212,758260
334,914,758260,6212,758260
335,916,759260,6212,759260
335,916,760260,6212,760260
335,916,760260,6212,760260
335,916,762260,6212,762260
335,916,762260,6212,762260
335,916,762260,6212,762260
336,918,762910,6212,762910
336,918,763910,6212,763910
337,920,764720,6212,764720
337,920,765720,6212,765720
338,922,766720,6212,766720
338,922,767720,6212,767720
339,924,768530,6212,768530
339,924,769530,6212,769530
340,926,770530,6212,770530
341,934,770530,6212,770530
341,934,771530,6212,771530
341,934,771530,6212,771530
342,936,772530,6212,772530
342,936,773000,6212,773000
342,936,773000,6212,773000
342,936,773230,6212,773230
343,938,774230,6212,774230
343,938,774450,6212,774450
343,938,774450,6212,774450
343,938,774770,6212,774770
343,938,775770,6212,775770
343,938,775770,6212,775770
343,938,776090,6212,776090
344,946,784090,6212,784090
344,946,784410,6212,784410
344,946,784410,6212,784410
345,948,785410,6212,785410
345,948,786410,6212,786410
345,948,787410,6212,787410
346,950,788060,6212,788060
347,958,796060,6212,796060
347,958,796610,6212,796610
347,958,797080,6212,797080
347,958,798080,6212,798080
347,958,798400,6212,798400
347,958,798870,6212,798870
347,958,798870,6212,798870
347,958,799870,6212,799870
347,958,799870,6212,799870
348,960,800870,6212,800870
348,960,800870,6212,800870
348,960,801680,6212,801680
348,960,802150,6212,802150
348,960,802960,6212,802960
