ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4c47-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
370,776,704190,6212,704190
370,776,704410,6212,704410
371,778,705410,6212,705410
372,780,706410,6212,706410
372,780,707410,6212,707410
373,782,708410,6212,708410
373,782,709410,6212,709410
374,784,710060,6212,710060
374,784,710870,6212,710870
374,784,711870,6212,711870
374,784,712870,6212,712870
374,784,713340,6212,713340
375,786,713800,6212,713800
375,786,714800,6212,714800
376,788,715610,6212,715610
376,788,716610,6212,716610
377,796,716610,6212,716610
377,796,716610,6212,716610
378,798,717610,6212,717610
379,800,718420,6212,718420
380,802,719420,6212,719420
380,802,720420,6212,720420
380,802,721420,6212,721420
380,802,721890,6212,721890
381,804,722890,6212,722890
382,806,723890,6212,723890
382,806,724540,6212,724540
383,808,725540,6212,725540
383,808,726350,6212,726350
383,808,727350,6212,727350
383,808,727350,6212,727350
383,808,727350,6212,727350
383,808,727350,6212,727350
384,810,728160,6212,728160
384,810,728160,6212,728160
384,810,729160,6212,729160
385,812,730160,6212,730160
385,812,731160,6212,731160
386,814,731630,6212,731630
387,818,735630,6212,735630
387,818,736440,6212,736440
387,818,736910,6212,736910
387,818,737230,6212,737230
388,820,738040,6212,738040
388,820,738850,6212,738850
389,822,739660,6212,739660
389,822,740660,6212,740660
390,824,741660,6212,741660
390,824,742660,6212,742660
391,826,743470,6212,743470
391,826,744470,6212,744470
392,828,745470,6212,745470
392,828,746280,6212,746280
393,830,747280,6212,747280
393,830,748090,6212,748090
394,832,749090,6212,749090
394,832,749560,6212,749560
394,832,749560,6212,749560
395,834,750560,6212,750560
395,834,751030,6212,751030
396,836,752030,6212,752030
396,836,752840,6212,752840
397,838,753310,6212,753310
397,838,754310,6212,754310
398,840,755310,6212,755310
398,840,755680,6212,755680
398,840,756150,6212,756150
398,840,757150,6212,757150
399,842,757610,6212,757610
400,844,758080,6212,758080
400,844,759080,6212,759080
400,844,759550,6212,759550
401,846,760550,6212,760550
401,846,761550,6212,761550
401,846,761870,6212,761870
402,848,762870,6212,762870
402,848,763870,6212,763870
403,850,764870,6212,764870
403,850,765680,6212,765680
404,852,766680,6212,766680
404,852,767150,6212,767150
404,852,767260,6212,767260
405,854,768260,6212,768260
405,854,769260,6212,769260
405,854,769260,6212,769260
406,856,770260,6212,770260
406,856,770730,6212,770730
406,856,771730,6212,771730
407,858,772540,6212,772540
407,858,773350,6212,773350
408,860,773820,6212,773820
408,860,774820,6212,774820
409,862,775630,6212,775630
409,862,776440,6212,776440
410,864,777440,6212,777440
410,864,778440,6212,778440
411,872,778440,6212,778440
412,874,779250,6212,779250
412,874,779570,6212,779570
412,874,780570,6212,780570
