ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
320,798,585250,6212,590890
321,800,586250,6212,591890
321,800,587250,6212,592890
321,800,588250,6212,593890
322,802,589060,6212,594700
322,802,589060,6212,594700
322,802,589520,6212,595160
322,802,589740,6212,595380
323,804,590740,6212,596380
323,804,591740,6212,597380
323,804,592210,6212,597850
324,806,593210,6212,598850
324,806,594210,6212,599850
325,808,595210,6212,600850
326,816,603210,6212,608850
326,816,603530,6212,609170
326,816,604080,6212,609720
327,818,605080,6212,610720
327,818,605080,6212,610720
327,818,606080,6212,611720
328,820,606890,6212,612530
328,820,607360,6212,613000
329,822,608170,6212,613810
329,822,609170,6212,614810
329,822,609390,6212,615030
330,824,610390,6212,616030
330,824,610860,6212,616500
330,824,611670,6212,617310
331,826,612670,6212,618310
331,826,612670,6212,619120
331,826,612990,6212,619440
331,826,612990,6212,619440
332,828,613800,6212,620250
332,828,614610,6212,621060
332,828,614610,6212,621060
332,828,614610,6212,621060
333,830,615420,6212,621870
333,830,616420,6212,622870
333,830,616420,6212,623680
333,830,616740,6212,624000
334,832,617550,6212,624810
334,832,618550,6212,625810
335,834,619360,6212,626620
335,834,620360,6212,627620
336,836,621360,6212,628620
336,836,621680,6212,628940
336,836,622680,6212,629940
337,838,623140,6212,630400
337,838,624140,6212,631400
338,840,624950,6212,632210
338,840,625950,6212,633210
339,842,626950,6212,634210
339,842,627950,6212,635210
339,842,627950,6212,635210
339,842,628760,6212,636020
340,844,629760,6212,637020
340,844,629760,6212,637020
340,844,630760,6212,638020
341,846,631570,6212,638830
341,846,632570,6212,639830
342,848,633570,6212,640830
342,848,634570,6212,641830
343,850,635380,6212,642640
