ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
2180916.72,36.19,0.99,174161.87,2.89
2180153.81,36.18,0.98,173467.36,2.88
2180153.81,36.18,0.98,173467.36,2.88
2180125.8,36.19,0.99,173293.77,2.88
2179880.96,36.19,0.99,173300.56,2.88
2179511.19,36.19,0.99,173283.1,2.88
2179216.58,36.18,0.98,173000.32,2.87
2178643.67,36.18,0.98,172470.24,2.86
2178586.97,36.18,0.98,172572.41,2.87
2178274.06,36.18,0.98,172302.33,2.86
2178199.84,36.18,0.98,172530.2,2.87
2178199.84,36.18,0.98,172530.2,2.87
2178206.93,36.19,0.98,172580.12,2.87
2177834.65,36.18,0.98,172192.03,2.86
2177864.5,36.18,0.98,172314.67,2.86
2177619.67,36.19,0.98,172265.81,2.86
2177059.52,36.18,0.98,171798.46,2.86
2177031.51,36.19,0.98,171624.86,2.85
2176458.61,36.18,0.98,171094.78,2.84
2176458.61,36.18,0.98,171094.78,2.84
2176819.61,36.19,0.99,171251.83,2.85
2176648.47,36.19,0.99,172077.12,2.86
2176403.64,36.2,0.99,172073.48,2.86
2175843.49,36.19,0.99,171606.12,2.85
2175221.57,36.19,0.98,171085.4,2.85
2175095.47,36.19,0.99,170879.44,2.84
2175584.7,36.2,1.0,171173.13,2.85
2175202.93,36.2,1.0,171126.45,2.85
2174726.49,36.2,0.99,170626.7,2.84
2174481.66,36.2,0.99,170577.56,2.84
2174670.92,36.21,1.0,170994.68,2.85
2174670.92,36.21,1.0,170994.68,2.85
2174110.77,36.2,0.99,170527.33,2.84
2173550.63,36.2,0.99,170059.97,2.83
2173550.63,36.2,0.99,170059.97,2.83
2173522.62,36.2,1.0,169886.38,2.83
2173494.61,36.21,1.0,169687.21,2.83
2173501.7,36.21,1.0,169737.13,2.83
2173122.9,36.22,1.01,170354.22,2.84
2173122.9,36.22,1.01,170354.22,2.84
2172549.99,36.21,1.01,169849.72,2.83
2172549.99,36.21,1.01,169849.72,2.83
