ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
341,914,787180,6212,787180
342,916,788180,6212,788180
342,916,788990,6212,788990
343,918,789800,6212,789800
343,918,790800,6212,790800
344,920,791800,6212,791800
344,920,792800,6212,792800
345,922,793450,6212,793450
345,922,794100,6212,794100
346,924,794560,6212,794560
346,924,795370,6212,795370
346,924,795530,6212,795530
347,926,796340,6212,796340
347,926,797150,6212,797150
348,928,798150,6212,798150
348,928,799150,6212,799150
348,928,799470,6212,799470
349,930,800470,6212,800470
349,930,801470,6212,801470
350,932,802280,6212,802280
351,936,806280,6212,806280
351,936,807280,6212,807280
351,936,807500,6212,807500
352,938,808500,6212,808500
352,938,808500,6212,808500
352,938,809500,6212,809500
352,938,809500,6212,809500
353,946,817500,6212,817500
354,948,818500,6212,818500
354,948,819500,6212,819500
355,950,820050,6212,820050
355,950,821050,6212,821050
356,952,821860,6212,821860
356,952,822860,6212,822860
357,954,823860,6212,823860
357,954,824330,6212,824330
358,956,825330,6212,825330
358,956,826330,6212,826330
359,958,827330,6212,827330
359,958,828330,6212,828330
359,958,828330,6212,828330
359,958,828800,6212,828800
360,960,829800,6212,829800
360,960,830800,6212,830800
360,960,830800,6212,830800
361,962,831800,6212,831800
361,962,832610,6212,832610
362,970,840610,6212,840610
363,972,841610,6212,841610
363,972,841610,6212,841610
363,972,842420,6212,842420
364,974,843420,6212,843420
364,974,844420,6212,844420
365,976,845420,6212,845420
365,976,846230,6212,846230
365,976,846230,6212,846230
365,976,846230,6212,846230
366,978,847230,6212,847230
366,978,848230,6212,848230
367,980,849230,6212,849230
367,980,850230,6212,850230
367,980,850230,6212,850230
367,980,850230,6212,850230
368,982,851040,6212,851040
368,982,851510,6212,851510
368,982,852320,6212,852320
369,984,853320,6212,853320
369,984,854320,6212,854320
369,984,854550,6212,854550
370,986,855550,6212,855550
370,986,856200,6212,856200
371,988,857200,6212,857200
371,988,857850,6212,857850
372,996,865850,6212,865850
373,998,866220,6212,866220
373,998,866220,6212,866220
373,998,866220,6212,866220
373,998,866220,6212,866220
373,998,867220,6212,867220
374,1000,868030,6212,868030
374,1000,869030,6212,869030
375,1002,869840,6212,869840
375,1002,870650,6212,870650
375,1002,870970,6212,870970
375,1002,871290,6212,871290
376,1004,872290,6212,872290
377,1012,880290,6212,880290
377,1012,880760,6212,880760
377,1012,881230,6212,881230
378,1014,882230,6212,882230
378,1014,883230,6212,883230
378,1014,883230,6212,883230
379,1016,884040,6212,884040
380,1018,886040,6212,886040
380,1018,887040,6212,887040
380,1018,887040,6212,887040
380,1018,887500,6212,887500
381,1020,888090,6212,888090
381,1020,888090,6212,888090
382,1028,896090,6212,896090
382,1028,896090,6212,896090
382,1028,896320,6212,896320
382,1028,896320,6212,896320
382,1028,896970,6212,896970
383,1030,897780,6212,897780
383,1030,898240,6212,898240
384,1032,899240,6212,899240
384,1032,899710,6212,899710
384,1032,900030,6212,900030
384,1032,901030,6212,901030
385,1034,901840,6212,901840
385,1034,902650,6212,902650
386,1036,903120,6212,903120
386,1036,904120,6212,904120
387,1038,906120,6212,906120
388,1040,907120,6212,907120
388,1040,907590,6212,907590
388,1040,908590,6212,908590
