ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5ec5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1137272.62,19.04,0.45,202892.51,3.4
1137036.79,19.04,0.45,202623.03,3.39
1136869.75,19.04,0.45,202562.91,3.39
1136710.21,19.04,0.45,202567.85,3.39
1136710.21,19.04,0.45,202538.69,3.39
1137042.25,19.04,0.45,202658.61,3.39
1136725.37,19.04,0.45,202577.42,3.39
1136532.78,19.04,0.45,202546.27,3.39
1136532.78,19.04,0.45,204501.37,3.43
1136689.63,19.05,0.45,204538.98,3.43
1136685.0,19.05,0.46,203837.3,3.42
1135096.78,19.05,0.46,203781.48,3.42
1134929.74,19.05,0.46,203976.73,3.42
1134762.71,19.05,0.46,203967.79,3.42
1134595.68,19.05,0.46,203895.11,3.42
1134752.53,19.05,0.46,203932.72,3.42
1134585.5,19.05,0.46,204127.98,3.43
1134819.95,19.06,0.47,204042.72,3.43
1134655.63,19.06,0.47,203270.71,3.41
1134488.59,19.06,0.47,203261.76,3.41
1134321.56,19.06,0.47,203189.08,3.41
1134154.53,19.06,0.47,203180.14,3.41
1133987.5,19.06,0.47,203107.46,3.41
1133783.36,19.06,0.46,202895.97,3.41
1133616.33,19.06,0.46,202818.82,3.41
1133414.32,19.06,0.46,203437.64,3.42
1133404.01,19.06,0.47,202897.77,3.41
1133393.7,19.06,0.47,202584.09,3.41
1133020.99,19.06,0.46,202527.56,3.41
1132853.96,19.06,0.46,202523.08,3.41
1132688.73,19.06,0.47,202522.19,3.41
1132490.46,19.06,0.47,202496.95,3.41
1132292.19,19.06,0.47,202510.35,3.41
1132292.19,19.06,0.47,202510.35,3.41
1132539.2,19.06,0.47,202434.71,3.41
1132773.65,19.07,0.48,202407.62,3.41
1132899.85,19.07,0.48,203238.03,3.42
1132899.85,19.07,0.48,203238.03,3.42
1132720.43,19.07,0.48,203276.7,3.42
1132553.39,19.08,0.48,203679.36,3.43
1132552.51,19.08,0.48,204332.5,3.44
1132343.73,19.08,0.48,203848.21,3.43
1132136.04,19.08,0.48,203645.62,3.43
1131966.81,19.08,0.48,203025.46,3.42
1131733.04,19.08,0.48,202898.71,3.42
1131722.74,19.08,0.48,202358.84,3.41
1131555.7,19.08,0.48,202281.41,3.41
1129967.48,19.08,0.48,202225.58,3.41
1129957.17,19.08,0.49,202009.09,3.41
1129790.14,19.08,0.49,202004.9,3.41
