ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
246,676,516160,6212,516160
246,676,516970,6212,516970
247,678,517780,6212,517780
247,678,518590,6212,518590
248,682,522590,6212,522590
249,684,523590,6212,523590
249,684,523910,6212,523910
249,684,524380,6212,524380
249,684,524840,6212,524840
250,686,525840,6212,525840
251,694,533840,6212,533840
251,694,534840,6212,534840
252,696,535840,6212,535840
252,696,536840,6212,536840
253,698,537650,6212,537650
253,698,537650,6212,537650
253,698,538650,6212,538650
253,698,538880,6212,538880
254,700,539880,6212,539880
255,702,541880,6212,541880
255,702,542340,6212,542340
256,704,543340,6212,543340
256,704,544340,6212,544340
257,706,545340,6212,545340
257,706,545800,6212,545800
257,706,546800,6212,546800
258,708,547800,6212,547800
258,708,548270,6212,548270
259,710,549080,6212,549080
259,710,550080,6212,550080
260,712,551080,6212,551080
260,712,551730,6212,551730
261,714,552730,6212,552730
261,714,553730,6212,553730
262,716,554730,6212,554730
262,716,555540,6212,555540
263,718,556540,6212,556540
263,718,557010,6212,557010
263,718,557480,6212,557480
264,720,558030,6212,558030
264,720,559030,6212,559030
265,722,560030,6212,560030
265,722,560030,6212,560030
265,722,560620,6212,560620
266,724,561620,6212,561620
266,724,561620,6212,561620
266,724,561940,6212,561940
266,724,561940,6212,561940
266,724,562410,6212,562410
266,724,563410,6212,563410
267,726,563880,6212,563880
267,726,564690,6212,564690
267,726,564690,6212,564690
268,728,565690,6212,565690
268,728,566160,6212,566160
268,728,566970,6212,566970
269,730,567970,6212,567970
269,730,568970,6212,568970
269,730,569290,6212,569290
270,732,569760,6212,569760
271,740,577760,6212,577760
271,740,578760,6212,578760
272,742,579760,6212,579760
272,742,579920,6212,579920
272,742,580920,6212,580920
272,742,581390,6212,581390
272,742,581390,6212,581390
273,744,582390,6212,582390
273,744,583200,6212,583200
274,746,584200,6212,584200
274,746,585200,6212,585200
274,746,585520,6212,585520
275,748,586520,6212,586520
275,748,587520,6212,587520
276,750,588520,6212,588520
277,754,592520,6212,592520
277,754,592520,6212,592520
