ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6f7c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
917056.33,15.34,2.64,570139.96,9.53
920347.2,15.39,2.7,572838.02,9.58
919629.65,15.38,2.69,572077.61,9.57
918912.1,15.37,2.68,571305.9,9.56
918384.55,15.37,2.67,570735.48,9.55
918523.49,15.37,2.68,571659.56,9.57
919675.42,15.39,2.7,571433.54,9.56
920428.9,15.41,2.71,571439.95,9.56
920402.3,15.41,2.71,571370.6,9.56
920039.8,15.41,2.71,571100.68,9.56
923330.66,15.46,2.77,573798.74,9.61
923587.87,15.47,2.78,573553.32,9.61
923830.66,15.47,2.78,573239.31,9.6
924087.87,15.48,2.79,572993.88,9.6
924362.87,15.49,2.8,572712.08,9.6
924968.9,15.5,2.81,572755.6,9.6
923953.52,15.5,2.81,572272.13,9.6
923218.18,15.49,2.8,571536.79,9.59
923475.39,15.5,2.81,571291.37,9.59
923732.6,15.51,2.82,571045.94,9.59
927023.47,15.56,2.87,573744.01,9.63
926495.92,15.56,2.86,573162.3,9.62
927035.58,15.57,2.88,573145.16,9.63
930326.45,15.62,2.93,575843.23,9.67
929798.9,15.62,2.92,575272.81,9.66
930073.9,15.62,2.93,574991.01,9.66
929866.59,15.62,2.93,574577.46,9.65
930005.53,15.63,2.93,575501.54,9.67
929374.04,15.62,2.93,574762.37,9.66
930525.97,15.64,2.95,574536.36,9.66
930522.15,15.64,2.95,574722.81,9.66
931128.17,15.65,2.96,574766.33,9.66
930600.62,15.65,2.95,574184.62,9.65
929865.29,15.64,2.95,573449.29,9.64
930404.95,15.65,2.96,573432.15,9.64
930662.16,15.66,2.96,573175.43,9.64
929646.78,15.66,2.97,572691.96,9.65
929921.78,15.67,2.98,572410.16,9.64
930461.44,15.68,2.99,572393.03,9.65
931001.11,15.69,3.0,572375.89,9.65
930473.56,15.68,2.99,571794.18,9.64
931861.54,15.71,3.02,572868.18,9.66
932495.93,15.72,3.03,573001.26,9.66
932753.14,15.73,3.04,572744.54,9.66
933910.12,15.75,3.06,573550.95,9.67
933192.57,15.74,3.05,572779.24,9.66
933449.78,15.75,3.05,572533.82,9.66
933724.78,15.75,3.06,572252.02,9.65
933724.78,15.75,3.06,572252.02,9.65
934881.75,15.77,3.08,573058.43,9.67
934849.17,15.77,3.08,573140.47,9.67
934131.62,15.76,3.07,572368.76,9.66
