ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
344,846,765720,6212,765720
344,846,766720,6212,766720
345,848,767720,6212,767720
346,850,768530,6212,768530
346,850,769530,6212,769530
346,850,770530,6212,770530
346,850,770530,6212,770530
347,854,771530,6212,771530
347,854,771530,6212,771530
347,854,772530,6212,772530
348,856,773000,6212,773000
348,856,773000,6212,773000
348,856,773230,6212,773230
348,856,774230,6212,774230
348,856,774450,6212,774450
348,856,774450,6212,774450
348,856,774770,6212,774770
349,858,775770,6212,775770
349,858,775770,6212,775770
349,858,776090,6212,776090
349,858,784090,6212,784090
349,858,784410,6212,784410
350,866,784410,6212,784410
350,866,785410,6212,785410
350,866,786410,6212,786410
351,868,787410,6212,787410
351,868,788060,6212,788060
352,876,796060,6212,796060
352,876,796610,6212,796610
353,878,797080,6212,797080
353,878,798080,6212,798080
353,878,798400,6212,798400
353,878,798870,6212,798870
353,878,798870,6212,798870
354,880,799870,6212,799870
354,880,799870,6212,799870
354,880,800870,6212,800870
355,888,800870,6212,800870
356,890,801680,6212,801680
356,890,802150,6212,802150
357,892,802960,6212,802960
