ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_23e2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
199,444,345050,6212,345050
199,444,346050,6212,346050
200,446,346860,6212,346860
200,446,347670,6212,347670
200,446,347670,6212,347670
201,448,348670,6212,348670
201,448,349020,6212,349020
201,448,350020,6212,350020
202,450,351020,6212,351020
202,450,351020,6212,351020
202,450,351340,6212,351340
202,450,352340,6212,352340
203,452,353340,6212,353340
203,452,353340,6212,353340
204,454,354340,6212,354340
204,454,355340,6212,355340
204,454,356150,6212,356150
205,456,357150,6212,357150
206,464,357150,6212,357150
206,464,358150,6212,358150
207,466,359150,6212,359150
207,466,360150,6212,360150
207,466,360620,6212,360620
208,468,361620,6212,361620
209,470,362620,6212,362620
209,470,363430,6212,363430
209,470,364240,6212,364240
210,472,365240,6212,365240
210,472,365240,6212,365240
210,472,365240,6212,365240
211,474,366240,6212,366240
211,474,366470,6212,366470
211,474,367470,6212,367470
212,476,368470,6212,368470
212,476,369280,6212,369280
213,478,369930,6212,369930
213,478,369930,6212,369930
213,478,370930,6212,370930
214,480,371930,6212,371930
214,480,372390,6212,372390
215,482,373200,6212,373200
215,482,374200,6212,374200
216,484,375200,6212,375200
216,484,376200,6212,376200
217,486,377200,6212,377200
218,488,378010,6212,378010
218,488,378010,6212,378010
218,488,379010,6212,379010
219,490,380010,6212,380010
219,490,381010,6212,381010
219,490,381480,6212,381480
220,492,382480,6212,382480
220,492,383480,6212,383480
220,492,383480,6212,383480
221,494,384480,6212,384480
221,494,385290,6212,385290
222,496,385520,6212,385520
222,496,386520,6212,386520
223,498,387520,6212,387520
223,498,388520,6212,388520
224,500,389520,6212,389520
224,500,389990,6212,389990
224,500,390990,6212,390990
225,502,391990,6212,391990
225,502,392990,6212,392990
226,504,393990,6212,393990
226,504,394800,6212,394800
227,506,395800,6212,395800
228,508,396800,6212,396800
228,508,397800,6212,397800
228,508,398030,6212,398030
228,508,398030,6212,398030
228,508,399030,6212,399030
229,510,399840,6212,399840
229,510,400840,6212,400840
230,512,401840,6212,401840
230,512,402160,6212,402160
231,514,403160,6212,403160
232,522,403160,6212,403160
233,524,404160,6212,404160
233,524,404970,6212,404970
233,524,405520,6212,405520
233,524,405520,6212,405520
233,524,405680,6212,405680
234,526,406000,6212,406000
234,526,406810,6212,406810
234,526,407280,6212,407280
234,526,408280,6212,408280
235,528,409090,6212,409090
235,528,409560,6212,409560
235,528,410020,6212,410020
