ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fb5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
343,722,647980,6212,647980
343,722,648980,6212,648980
344,724,649980,6212,649980
344,724,650980,6212,650980
344,724,650980,6212,650980
344,724,651980,6212,651980
345,726,652790,6212,652790
345,726,653600,6212,653600
346,728,654070,6212,654070
347,730,655070,6212,655070
347,730,656070,6212,656070
348,732,657070,6212,657070
349,734,657540,6212,657540
349,734,658540,6212,658540
350,736,659540,6212,659540
350,736,660540,6212,660540
351,738,661540,6212,661540
351,738,662540,6212,662540
351,738,662860,6212,662860
351,738,663670,6212,663670
352,740,664670,6212,664670
352,740,665670,6212,665670
353,742,666670,6212,666670
353,742,667670,6212,667670
354,744,668480,6212,668480
355,746,669480,6212,669480
355,746,670290,6212,670290
355,746,670610,6212,670610
355,746,671610,6212,671610
356,748,672260,6212,672260
357,750,673260,6212,673260
357,750,674260,6212,674260
358,752,675260,6212,675260
358,752,675580,6212,675580
358,752,676580,6212,676580
359,754,677580,6212,677580
360,756,678580,6212,678580
360,756,679050,6212,679050
360,756,679280,6212,679280
360,756,680280,6212,680280
360,756,680280,6212,680280
361,758,680600,6212,680600
361,758,681070,6212,681070
362,760,682070,6212,682070
363,762,682550,6212,682550
363,762,683360,6212,683360
364,764,684170,6212,684170
364,764,684330,6212,684330
364,764,685140,6212,685140
365,766,685950,6212,685950
365,766,686760,6212,686760
365,766,686760,6212,686760
365,766,687230,6212,687230
365,766,688230,6212,688230
366,768,689230,6212,689230
366,768,690230,6212,690230
367,770,691230,6212,691230
368,772,692040,6212,692040
368,772,692850,6212,692850
369,774,693320,6212,693320
369,774,693910,6212,693910
369,774,694910,6212,694910
370,776,695910,6212,695910
371,778,696380,6212,696380
371,778,697380,6212,697380
372,780,698380,6212,698380
372,780,699380,6212,699380
372,780,700190,6212,700190
373,782,701190,6212,701190
373,782,702190,6212,702190
374,784,703190,6212,703190
374,784,704190,6212,704190
374,784,704190,6212,704190
375,786,704410,6212,704410
376,788,705410,6212,705410
376,788,706410,6212,706410
377,790,707410,6212,707410
378,792,708410,6212,708410
379,794,709410,6212,709410
379,794,710060,6212,710060
379,794,710870,6212,710870
379,794,711870,6212,711870
379,794,712870,6212,712870
380,796,713340,6212,713340
381,798,713800,6212,713800
382,800,714800,6212,714800
382,800,715610,6212,715610
382,800,716610,6212,716610
383,808,716610,6212,716610
383,808,716610,6212,716610
384,810,717610,6212,717610
384,810,718420,6212,718420
385,812,719420,6212,719420
385,812,720420,6212,720420
386,814,721420,6212,721420
386,814,721890,6212,721890
386,814,722890,6212,722890
387,816,723890,6212,723890
388,818,724540,6212,724540
388,818,725540,6212,725540
388,818,726350,6212,726350
388,818,727350,6212,727350
388,818,727350,6212,727350
388,818,727350,6212,727350
388,818,727350,6212,727350
389,820,728160,6212,728160
389,820,728160,6212,728160
390,822,729160,6212,729160
390,822,730160,6212,730160
391,824,731160,6212,731160
391,824,731630,6212,731630
392,828,735630,6212,735630
393,830,736440,6212,736440
393,830,736910,6212,736910
393,830,737230,6212,737230
393,830,738040,6212,738040
394,832,738850,6212,738850
394,832,739660,6212,739660
394,832,740660,6212,740660
395,834,741660,6212,741660
396,836,742660,6212,742660
397,838,743470,6212,743470
397,838,744470,6212,744470
397,838,745470,6212,745470
397,838,746280,6212,746280
398,840,747280,6212,747280
399,842,748090,6212,748090
399,842,749090,6212,749090
400,844,749560,6212,749560
400,844,749560,6212,749560
401,846,750560,6212,750560
401,846,751030,6212,751030
401,846,752030,6212,752030
401,846,752840,6212,752840
401,846,753310,6212,753310
402,848,754310,6212,754310
402,848,755310,6212,755310
402,848,755680,6212,755680
403,850,756150,6212,756150
404,852,757150,6212,757150
404,852,757610,6212,757610
404,852,758080,6212,758080
404,852,759080,6212,759080
404,852,759550,6212,759550
405,854,760550,6212,760550
405,854,761550,6212,761550
406,856,761870,6212,761870
407,858,762870,6212,762870
407,858,763870,6212,763870
408,860,764870,6212,764870
408,860,765680,6212,765680
408,860,766680,6212,766680
408,860,767150,6212,767150
408,860,767260,6212,767260
409,862,768260,6212,768260
409,862,769260,6212,769260
409,862,769260,6212,769260
410,864,770260,6212,770260
411,866,770730,6212,770730
411,866,771730,6212,771730
411,866,772540,6212,772540
412,868,773350,6212,773350
412,868,773820,6212,773820
413,870,774820,6212,774820
413,870,775630,6212,775630
414,872,776440,6212,776440
