ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
936813.95,15.38,1.79,233691.93,3.84
937556.32,15.4,1.81,234002.93,3.84
937712.06,15.4,1.81,233993.21,3.84
938454.44,15.41,1.82,234304.21,3.85
939196.81,15.43,1.84,234615.21,3.85
939435.49,15.43,1.84,234669.84,3.85
939616.38,15.44,1.84,234654.35,3.85
939855.07,15.44,1.85,235242.9,3.86
939905.51,15.44,1.85,235365.12,3.87
939660.92,15.44,1.85,235008.21,3.86
940247.12,15.45,1.86,234906.52,3.86
940247.12,15.45,1.86,234906.52,3.86
940297.57,15.45,1.86,234980.37,3.86
941399.25,15.47,1.88,235800.6,3.88
941399.25,15.47,1.88,235577.3,3.87
941154.65,15.47,1.88,235398.4,3.87
941742.17,15.48,1.89,235523.63,3.87
942173.17,15.49,1.9,236018.85,3.88
942760.69,15.5,1.91,236144.08,3.88
942426.43,15.5,1.91,235644.36,3.87
942873.72,15.5,1.91,235735.44,3.88
942904.6,15.51,1.92,235569.95,3.87
943144.64,15.51,1.92,235538.46,3.87
943325.53,15.52,1.92,235522.97,3.87
942991.27,15.51,1.92,235023.26,3.87
943041.72,15.51,1.92,235145.48,3.87
943192.6,15.52,1.93,235099.99,3.87
944905.86,15.55,1.96,236185.51,3.89
945113.91,15.55,1.96,235821.87,3.88
945894.0,15.56,1.97,238404.47,3.92
945793.62,15.57,1.98,238829.67,3.93
946862.91,15.58,1.99,238995.95,3.93
947389.58,15.59,2.0,239001.69,3.93
948681.05,15.62,2.03,239083.36,3.94
948879.25,15.62,2.03,239464.41,3.94
949279.8,15.63,2.04,239762.22,3.95
952736.17,15.69,2.1,243016.74,4.0
952783.53,15.69,2.1,243639.85,4.01
952647.62,15.69,2.1,243548.67,4.01
953952.23,15.71,2.12,243900.1,4.02
954190.92,15.72,2.12,243954.73,4.02
955904.17,15.74,2.15,245040.24,4.04
956646.54,15.76,2.17,245351.24,4.04
957173.21,15.77,2.18,245356.98,4.04
957011.08,15.76,2.17,245526.09,4.04
957598.6,15.78,2.18,245651.32,4.05
958340.97,15.79,2.2,245962.32,4.05
958006.71,15.79,2.2,245462.6,4.04
