ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
239,1223,129160,6212,129160
240,1231,129390,6212,129390
241,1239,130200,6212,130200
242,1247,131010,6212,131010
243,1249,131820,6212,131820
244,1251,132280,6212,132280
245,1259,133090,6212,133090
245,1259,133900,6212,133900
246,1261,134710,6212,134710
247,1269,134710,6212,134710
248,1271,134710,6212,134710
249,1279,135180,6212,135180
250,1281,135650,6212,135650
250,1281,136460,6212,136460
251,1289,136460,6212,136460
252,1297,137110,6212,137110
253,1305,137580,6212,137580
254,1313,138390,6212,138390
255,1315,138860,6212,138860
256,1323,139670,6212,139670
256,1323,140480,6212,140480
257,1331,140480,6212,140480
258,1333,140940,6212,140940
259,1341,141490,6212,141490
260,1345,141810,6212,141810
261,1347,142620,6212,142620
261,1347,143090,6212,143090
262,1355,143900,6212,143900
263,1363,144220,6212,144220
264,1367,145030,6212,145030
265,1375,145500,6212,145500
265,1375,145970,6212,145970
266,1376,146780,6212,146780
267,1384,147590,6212,147590
268,1392,148400,6212,148400
269,1394,149050,6212,149050
269,1394,149160,6212,149160
269,1394,149970,6212,149970
270,1396,150620,6212,150620
271,1398,150940,6212,150940
272,1406,151160,6212,151160
273,1408,151160,6212,151160
274,1416,151160,6212,151160
275,1418,151970,6212,151970
276,1420,152290,6212,152290
276,1420,153100,6212,153100
277,1428,153910,6212,153910
278,1436,154380,6212,154380
279,1444,154700,6212,154700
280,1446,154700,6212,154700
281,1454,155350,6212,155350
282,1456,155350,6212,155350
283,1464,155670,6212,155670
284,1472,156480,6212,156480
285,1474,157290,6212,157290
286,1482,158100,6212,158100
286,1482,158750,6212,158750
287,1484,159220,6212,159220
288,1492,159220,6212,159220
288,1492,159220,6212,159220
289,1494,159690,6212,159690
289,1494,160010,6212,160010
290,1498,160240,6212,160240
291,1502,160710,6212,160710
291,1502,161520,6212,161520
292,1510,161750,6212,161750
293,1518,161910,6212,161910
294,1520,162230,6212,162230
295,1524,162230,6212,162230
296,1526,163040,6212,163040
296,1526,163040,6212,163040
297,1534,163850,6212,163850
298,1536,164080,6212,164080
299,1538,164310,6212,164310
299,1538,165120,6212,165120
299,1538,165590,6212,165590
300,1542,165590,6212,165590
300,1542,165590,6212,165590
301,1544,166400,6212,166400
301,1544,167210,6212,167210
302,1546,167860,6212,167860
303,1554,168670,6212,168670
304,1556,169480,6212,169480
305,1558,170290,6212,170290
305,1558,170760,6212,170760
306,1566,171570,6212,171570
307,1574,172040,6212,172040
307,1574,172360,6212,172360
307,1574,173170,6212,173170
308,1576,173640,6212,173640
308,1576,173640,6212,173640
309,1584,173960,6212,173960
309,1584,174770,6212,174770
310,1586,175580,6212,175580
311,1588,175580,6212,175580
311,1588,176230,6212,176230
312,1596,176690,6212,176690
313,1604,177010,6212,177010
314,1612,177820,6212,177820
315,1620,178630,6212,178630
316,1628,179440,6212,179440
317,1636,180090,6212,180090
317,1636,180900,6212,180900
318,1644,181270,6212,181270
319,1646,181270,6212,181270
320,1648,182080,6212,182080
320,1648,182080,6212,182080
321,1650,182890,6212,182890
321,1650,183210,6212,183210
322,1658,183680,6212,183680
322,1658,184000,6212,184000
322,1658,184000,6212,184000
323,1660,184650,6212,184650
324,1662,185460,6212,185460
324,1662,185780,6212,185780
325,1670,186590,6212,186590
325,1670,187400,6212,187400
325,1670,188210,6212,188210
325,1670,189020,6212,189020
325,1670,189670,6212,189670
326,1672,189830,6212,189830
327,1680,190060,6212,190060
328,1688,190530,6212,190530
329,1690,190850,6212,190850
329,1690,191170,6212,191170
329,1690,191980,6212,191980
330,1692,192570,6212,192570
331,1694,193380,6212,193380
332,1702,193380,6212,193380
333,1704,193850,6212,193850
333,1704,194320,6212,194320
334,1712,194870,6212,194870
335,1720,195340,6212,195340
336,1728,196150,6212,196150
337,1736,196620,6212,196620
338,1744,196620,6212,196620
338,1744,196620,6212,196620
339,1746,197080,6212,197080
340,1748,197890,6212,197890
341,1750,197890,6212,197890
342,1752,198120,6212,198120
342,1752,198580,6212,198580
343,1760,199390,6212,199390
344,1768,200200,6212,200200
345,1776,200660,6212,200660
346,1784,201130,6212,201130
346,1784,201450,6212,201450
347,1786,201450,6212,201450
348,1787,201770,6212,201770
349,1791,202420,6212,202420
350,1799,202420,6212,202420
351,1807,202890,6212,202890
351,1807,203210,6212,203210
351,1807,203430,6212,203430
351,1807,204080,6212,204080
352,1809,204890,6212,204890
353,1817,205700,6212,205700
354,1825,206170,6212,206170
355,1827,206280,6212,206280
356,1835,206750,6212,206750
