ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1225669.28,20.2,1.61,227280.3,3.75
1225502.25,20.2,1.61,227262.8,3.75
1224963.58,20.19,1.61,226738.59,3.74
1224891.16,20.19,1.61,226680.62,3.74
1225182.22,20.2,1.61,226574.31,3.74
1225410.57,20.2,1.62,226311.67,3.73
1226170.26,20.22,1.64,226625.2,3.74
1226415.38,20.23,1.64,226425.13,3.73
1226660.51,20.23,1.65,226236.19,3.73
1226571.04,20.23,1.65,226164.15,3.73
1226816.17,20.24,1.66,225964.08,3.73
1226309.52,20.24,1.65,225471.88,3.72
1225787.63,20.23,1.65,224907.53,3.71
1225075.74,20.22,1.64,224153.17,3.7
1225379.34,20.23,1.64,225050.18,3.71
1225624.47,20.23,1.65,224861.24,3.71
1226384.16,20.25,1.66,225174.77,3.72
1225758.49,20.24,1.66,224452.75,3.71
1225662.83,20.24,1.66,224260.72,3.7
1225580.94,20.24,1.66,224136.36,3.7
1225826.07,20.25,1.67,223936.29,3.7
1225304.18,20.24,1.66,223371.93,3.69
1224765.51,20.24,1.65,222847.72,3.68
1224463.08,20.23,1.65,222491.62,3.68
1223944.92,20.23,1.64,221994.66,3.67
1224536.31,20.24,1.66,222088.32,3.67
1225368.85,20.25,1.67,223307.32,3.69
1226511.74,20.27,1.69,224170.06,3.71
1229718.66,20.32,1.74,227217.59,3.76
1232925.58,20.38,1.8,230265.12,3.81
1233187.49,20.39,1.8,230036.03,3.8
1232750.28,20.38,1.8,229502.46,3.79
1231957.2,20.38,1.8,229267.74,3.79
1232490.44,20.39,1.81,229324.44,3.79
1232316.7,20.39,1.81,229813.13,3.8
1232628.3,20.4,1.82,229989.64,3.81
1231912.67,20.39,1.81,229292.21,3.8
1231988.57,20.4,1.82,230209.47,3.81
1233639.56,20.43,1.85,230858.96,3.82
1233472.53,20.43,1.85,230781.46,3.82
1234005.77,20.44,1.86,230838.17,3.82
