ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1735812.04,28.9,0.4,200914.07,3.35
1735812.04,28.9,0.4,200892.81,3.34
1735782.96,28.9,0.4,200992.81,3.35
1735673.06,28.91,0.41,201059.54,3.35
1735673.06,28.91,0.41,201060.26,3.35
1735367.45,28.91,0.41,201009.36,3.35
1735058.73,28.9,0.41,200930.78,3.35
1734851.2,28.9,0.4,200583.24,3.34
1734252.88,28.9,0.4,200507.77,3.34
1734252.88,28.9,0.4,200507.77,3.34
1734142.72,28.9,0.41,200598.93,3.34
1734142.72,28.9,0.41,200598.93,3.34
1733844.6,28.9,0.41,200523.05,3.34
1733544.66,28.9,0.41,200540.16,3.34
1733434.77,28.91,0.41,200935.23,3.35
1733136.38,28.91,0.41,200865.3,3.35
1732836.45,28.91,0.41,200859.76,3.35
1732540.64,28.91,0.41,200587.08,3.35
1732434.75,28.91,0.41,200150.69,3.34
1732210.56,28.91,0.41,200140.64,3.34
1732117.71,28.91,0.41,200132.86,3.34
1731742.38,28.91,0.41,199843.82,3.34
1731434.44,28.91,0.41,199821.19,3.34
1731441.5,28.91,0.41,199853.37,3.34
1731135.89,28.91,0.41,199997.88,3.34
1731154.44,28.91,0.41,199978.24,3.34
1731154.44,28.91,0.41,199978.24,3.34
1730938.95,28.91,0.41,199914.73,3.34
1730321.51,28.91,0.41,199477.04,3.33
1730632.65,28.92,0.42,199049.25,3.33
1730247.85,28.91,0.42,199015.81,3.33
1729925.71,28.91,0.42,199230.59,3.33
1729898.18,28.92,0.42,199808.0,3.34
1729598.11,28.91,0.42,199980.35,3.34
1729280.75,28.91,0.42,199724.07,3.34
1728980.68,28.91,0.42,200347.42,3.35
1728851.55,28.92,0.42,200350.28,3.35
1728851.55,28.92,0.42,200325.31,3.35
1728732.75,28.92,0.42,201121.33,3.36
1728184.37,28.91,0.42,200581.11,3.36
1728490.16,28.92,0.42,200867.63,3.36
1728196.04,28.92,0.42,200169.07,3.35
1728196.04,28.92,0.42,200214.3,3.35
1728196.04,28.92,0.42,200214.3,3.35
1727880.95,28.92,0.42,200153.19,3.35
1727693.45,28.92,0.42,200125.92,3.35
1727693.45,28.92,0.42,200105.27,3.35
1727384.74,28.92,0.42,199512.03,3.34
1727162.43,28.91,0.42,199216.5,3.33
1726853.84,28.91,0.42,199038.28,3.33
1726636.8,28.91,0.42,199032.99,3.33
1726351.71,28.91,0.42,199084.58,3.33
1726358.78,28.91,0.42,199092.72,3.33
1726065.04,28.91,0.41,198852.39,3.33
1725706.19,28.91,0.41,198451.6,3.32
1725490.7,28.91,0.41,198444.23,3.32
1725490.7,28.91,0.41,198444.23,3.32
1725524.36,28.91,0.41,198443.8,3.33
1725495.28,28.92,0.42,198543.81,3.33
1722936.73,28.91,0.42,198516.63,3.33
1722643.12,28.91,0.42,198518.09,3.33
1722349.51,28.91,0.42,198523.13,3.33
1722071.52,28.91,0.42,198521.87,3.33
1722493.76,28.92,0.43,198643.56,3.34
1722225.59,28.92,0.43,198629.08,3.34
1722346.83,28.93,0.43,198604.25,3.34
1721604.74,28.92,0.43,197918.76,3.32
1721281.17,28.92,0.43,197969.3,3.33
1720973.23,28.92,0.43,197942.49,3.33
1720757.74,28.92,0.43,197935.12,3.33
1720540.7,28.92,0.43,197873.68,3.33
1720333.16,28.92,0.42,197835.59,3.33
1720117.67,28.92,0.42,197772.32,3.32
1719823.54,28.92,0.42,197073.76,3.31
1719636.05,28.92,0.43,197046.49,3.31
1719500.72,28.92,0.43,197085.85,3.31
1719115.92,28.92,0.42,197120.79,3.32
1718898.88,28.92,0.42,197115.25,3.32
1718600.75,28.92,0.42,197148.93,3.32
1718385.25,28.92,0.42,197154.19,3.32
1718087.13,28.92,0.42,197123.03,3.32
1718091.0,28.92,0.42,197324.55,3.32
1718336.86,28.93,0.43,196933.28,3.32
1718639.77,28.93,0.44,199886.73,3.37
1718643.47,28.94,0.44,199848.58,3.36
1718643.47,28.94,0.44,199848.58,3.36
1718177.76,28.93,0.44,199776.05,3.36
1717856.52,28.93,0.44,199751.43,3.36
1717720.41,28.93,0.44,200319.0,3.37
1717841.65,28.94,0.45,200374.41,3.38
1717624.61,28.94,0.45,200300.35,3.37
1717409.12,28.94,0.45,200237.28,3.37
1717192.07,28.94,0.45,200231.54,3.37
1717055.19,28.94,0.45,200694.77,3.38
1716747.25,28.94,0.45,200939.56,3.39
1714188.7,28.94,0.45,200891.73,3.39
1714161.17,28.94,0.45,200987.86,3.39
1713883.18,28.94,0.45,200990.19,3.39
1714024.11,28.95,0.46,200985.66,3.39
1713750.0,28.95,0.46,201195.93,3.4
1713406.68,28.95,0.46,200901.73,3.39
1713021.88,28.94,0.45,200873.18,3.39
1712721.82,28.94,0.45,201019.64,3.4
1712586.49,28.95,0.46,201000.9,3.4
1712605.81,28.95,0.46,200956.27,3.4
1712288.45,28.95,0.46,200725.89,3.39
1712003.36,28.95,0.46,200701.49,3.39
1711697.74,28.95,0.46,200619.44,3.39
1711404.78,28.95,0.46,201235.44,3.4
1711096.84,28.95,0.46,201205.03,3.4
1710788.9,28.95,0.46,201274.71,3.41
1710480.96,28.95,0.46,201217.04,3.41
1710175.34,28.95,0.46,201196.13,3.41
1710311.43,28.95,0.46,201610.85,3.41
1710094.39,28.95,0.46,201629.37,3.41
1710094.39,28.95,0.46,201629.37,3.41
1709878.89,28.95,0.46,201622.01,3.41
1709878.89,28.95,0.46,201622.01,3.41
1709555.33,28.95,0.46,201597.26,3.41
1709234.09,28.95,0.46,201628.47,3.42
1709234.09,28.95,0.46,201628.47,3.42
1708909.75,28.95,0.46,201600.81,3.42
1708756.0,28.95,0.46,201299.71,3.41
1708487.83,28.95,0.46,201303.54,3.41
1708189.7,28.95,0.46,201270.46,3.41
1708189.7,28.95,0.46,201270.46,3.41
1708189.7,28.95,0.46,201270.46,3.41
1708344.77,28.96,0.47,201346.75,3.41
1708127.72,28.96,0.47,201285.31,3.41
1708021.83,28.96,0.47,200848.91,3.41
1708021.83,28.96,0.47,200848.91,3.41
1707646.11,28.96,0.47,200559.48,3.4
1707448.55,28.96,0.47,200334.83,3.4
1707154.43,28.96,0.47,199653.3,3.39
1706966.93,28.96,0.47,199609.0,3.39
1706658.99,28.96,0.47,199587.15,3.39
1706285.8,28.95,0.46,199527.83,3.39
1706150.47,28.95,0.47,199509.73,3.39
1706015.14,28.96,0.47,199495.11,3.39
1706437.38,28.97,0.48,199616.8,3.39
1706221.89,28.97,0.48,199553.28,3.39
1706014.35,28.96,0.48,199063.7,3.38
1705740.24,28.97,0.48,199274.01,3.38
1705396.92,28.96,0.48,198979.77,3.38
1705179.88,28.97,0.48,198974.48,3.38
1704437.79,28.96,0.47,198289.0,3.37
1704582.53,28.96,0.47,198966.58,3.38
1704267.96,28.96,0.47,198667.88,3.38
1703960.02,28.96,0.47,198725.0,3.38
1703581.36,28.96,0.47,198578.94,3.38
1703273.42,28.96,0.47,198545.31,3.38
1702967.81,28.96,0.47,198513.26,3.38
1702678.61,28.95,0.47,199233.47,3.39
1702463.11,28.95,0.47,199226.11,3.39
1702353.22,28.96,0.47,199201.82,3.39
1702217.89,28.96,0.47,199189.98,3.39
1701922.08,28.96,0.47,199572.49,3.4
1701623.18,28.96,0.47,199331.37,3.39
1701406.14,28.96,0.47,199269.93,3.39
1701296.24,28.96,0.47,199174.95,3.39
1701159.36,28.96,0.48,199784.43,3.4
1700859.69,28.96,0.48,200176.83,3.41
1700980.93,28.97,0.48,200206.79,3.41
1700672.21,28.97,0.48,199994.92,3.41
1700672.21,28.97,0.48,199965.46,3.41
1700673.0,28.97,0.48,199966.69,3.41
1700372.93,28.97,0.48,200108.68,3.41
1700372.93,28.97,0.48,200094.0,3.41
