ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b34c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
635098.26,10.55,0.33,172766.27,2.87
634996.04,10.55,0.33,172683.11,2.87
634893.82,10.55,0.33,172689.89,2.87
634783.82,10.55,0.32,172579.89,2.87
635109.76,10.55,0.33,173116.13,2.88
635007.54,10.55,0.33,173017.66,2.88
634639.37,10.55,0.33,172592.68,2.87
634725.78,10.55,0.33,172619.2,2.87
635051.73,10.56,0.33,173791.3,2.89
634949.51,10.56,0.33,173791.3,2.89
634847.29,10.56,0.33,173909.74,2.89
635070.57,10.56,0.34,174081.03,2.9
635070.57,10.56,0.34,174081.03,2.9
635070.57,10.56,0.34,174081.03,2.9
634968.35,10.56,0.34,174050.48,2.9
634600.18,10.56,0.33,173657.83,2.89
634497.96,10.56,0.33,173596.7,2.89
634395.74,10.56,0.33,173588.18,2.89
634293.52,10.56,0.33,173505.01,2.89
634379.93,10.56,0.34,173505.01,2.89
634379.93,10.56,0.34,173505.01,2.89
634466.33,10.56,0.34,173505.01,2.89
634375.35,10.56,0.34,173385.99,2.89
634450.52,10.57,0.34,173899.26,2.9
634348.3,10.57,0.34,173807.57,2.89
634246.08,10.57,0.34,173807.57,2.9
634246.08,10.57,0.34,173807.57,2.9
634143.85,10.57,0.34,173716.92,2.89
634230.26,10.57,0.35,173716.92,2.89
634128.04,10.57,0.35,173715.88,2.9
634025.82,10.57,0.35,173722.67,2.9
633730.31,10.56,0.34,173462.94,2.89
633628.09,10.56,0.34,173364.47,2.89
634040.28,10.57,0.35,173435.84,2.89
633615.87,10.57,0.34,173364.47,2.89
633619.99,10.57,0.34,173410.53,2.89
633462.73,10.56,0.34,173251.69,2.89
633788.68,10.57,0.35,173251.69,2.89
633420.51,10.56,0.34,173853.59,2.9
633318.29,10.56,0.34,173860.37,2.9
633216.07,10.56,0.34,173761.9,2.9
633216.07,10.56,0.34,173761.9,2.9
633302.48,10.57,0.35,174091.31,2.9
633200.25,10.57,0.35,174091.31,2.91
633098.03,10.57,0.35,174139.61,2.91
632995.81,10.57,0.35,174139.61,2.91
632995.81,10.57,0.35,174139.61,2.91
632893.59,10.57,0.35,174258.93,2.91
632980.0,10.57,0.35,174258.75,2.91
633203.28,10.58,0.35,174258.75,2.91
633101.06,10.58,0.35,174139.42,2.91
633101.06,10.58,0.35,174133.97,2.91
633187.47,10.58,0.36,174247.81,2.91
633085.25,10.58,0.36,174228.88,2.91
632983.03,10.58,0.36,174137.19,2.91
633069.43,10.58,0.36,174137.19,2.91
632967.21,10.58,0.36,174137.19,2.91
633293.16,10.59,0.37,174137.19,2.91
633190.94,10.59,0.37,174128.67,2.91
633088.72,10.59,0.37,174045.51,2.91
632884.28,10.59,0.37,173953.82,2.91
632516.11,10.58,0.36,174012.18,2.91
632413.89,10.58,0.36,173920.5,2.91
632208.38,10.58,0.36,173867.37,2.91
632106.16,10.58,0.36,173867.37,2.91
