ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_aa9a-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
739741.48,12.31,2.08,187856.57,3.12
739639.26,12.31,2.08,187930.02,3.13
739537.04,12.31,2.08,187919.38,3.13
739434.82,12.31,2.08,187835.07,3.13
738940.56,12.3,2.08,187315.19,3.12
738940.56,12.3,2.08,187315.19,3.12
738425.18,12.29,2.07,186773.19,3.11
737739.61,12.28,2.06,186027.32,3.1
737260.09,12.28,2.06,185547.8,3.09
737157.86,12.28,2.06,185452.85,3.09
737055.64,12.28,2.06,185452.85,3.09
738781.97,12.31,2.08,186601.61,3.11
738096.4,12.3,2.08,185855.74,3.1
737581.02,12.29,2.07,185340.36,3.09
737478.8,12.29,2.07,185345.03,3.09
737376.58,12.29,2.07,185245.41,3.09
737081.07,12.29,2.06,184951.46,3.08
736978.85,12.29,2.07,184856.52,3.08
737391.04,12.29,2.07,185395.51,3.09
736966.63,12.29,2.07,184946.52,3.08
736966.63,12.29,2.07,184946.52,3.08
736807.93,12.29,2.06,184806.22,3.08
736502.0,12.28,2.06,184563.1,3.08
736827.95,12.29,2.07,184513.5,3.08
736725.73,12.29,2.07,184518.17,3.08
736623.5,12.29,2.07,184418.55,3.08
736623.5,12.29,2.07,184418.55,3.08
736108.13,12.28,2.06,183903.18,3.07
736005.9,12.28,2.06,183907.84,3.07
735903.68,12.28,2.06,183808.23,3.07
735198.3,12.27,2.05,183076.23,3.06
736688.49,12.3,2.08,184992.05,3.09
736897.75,12.3,2.08,185955.01,3.1
736402.17,12.3,2.08,185399.14,3.1
738134.03,12.33,2.11,185904.29,3.1
738343.29,12.33,2.11,186867.24,3.12
738343.29,12.33,2.11,186867.24,3.12
737847.71,12.33,2.1,186311.37,3.11
737162.13,12.32,2.09,185565.5,3.1
738543.99,12.34,2.12,185720.65,3.1
738049.73,12.34,2.11,185200.77,3.1
737947.51,12.34,2.11,185105.82,3.09
738273.46,12.34,2.12,185545.43,3.1
738171.24,12.34,2.12,185534.79,3.1
738476.22,12.35,2.13,186042.85,3.11
738271.78,12.35,2.13,185947.9,3.11
737903.61,12.35,2.12,185568.3,3.1
737801.39,12.35,2.12,185484.0,3.1
737580.18,12.34,2.12,185260.63,3.1
737614.03,12.35,2.12,186084.85,3.11
737620.63,12.35,2.12,185984.51,3.11
737964.65,12.35,2.13,186460.0,3.12
738893.07,12.37,2.15,186498.35,3.12
738729.08,12.37,2.15,186104.77,3.12
738762.93,12.37,2.15,186244.17,3.12
739691.35,12.39,2.17,186594.03,3.13
739691.35,12.39,2.17,186594.03,3.13
739697.95,12.39,2.17,186493.69,3.12
739697.95,12.39,2.17,186493.69,3.12
739202.38,12.38,2.16,185937.82,3.11
739100.16,12.38,2.16,185942.48,3.12
739426.1,12.39,2.17,186216.86,3.12
739592.21,12.39,2.17,186971.18,3.13
739598.81,12.39,2.17,186870.84,3.13
739379.12,12.39,2.17,186704.03,3.13
738883.55,12.38,2.16,186148.16,3.12
739106.83,12.39,2.17,186117.34,3.12
738401.46,12.38,2.16,185385.35,3.11
738299.23,12.38,2.16,185327.75,3.11
738300.84,12.38,2.16,185927.62,3.12
738198.62,12.38,2.16,185832.68,3.12
738017.06,12.38,2.16,185515.51,3.11
738343.01,12.39,2.17,185953.93,3.12
738240.79,12.39,2.17,185940.34,3.12
738566.74,12.39,2.17,185890.8,3.12
738475.76,12.4,2.17,186345.08,3.13
739114.53,12.41,2.18,186948.02,3.14
738746.36,12.4,2.18,186569.59,3.13
738644.14,12.4,2.18,186531.11,3.13
738632.63,12.4,2.18,186561.86,3.13
737947.06,12.39,2.17,185815.99,3.12
738241.68,12.4,2.18,186377.2,3.13
737840.53,12.4,2.17,185856.64,3.12
737870.12,12.4,2.17,185916.85,3.12
737354.75,12.39,2.17,185401.47,3.12
