ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
145,438,382930,6212,382930
145,438,382930,6212,382930
145,438,382930,6212,382930
145,438,382930,6212,382930
145,438,382930,6212,382930
145,438,383930,6212,383930
146,440,384740,6212,384740
146,440,385550,6212,385550
146,440,386550,6212,386550
147,448,387550,6212,387550
147,448,387550,6212,387550
147,448,388550,6212,388550
147,448,389020,6212,389020
148,450,389830,6212,389830
148,450,389830,6212,389830
148,450,390830,6212,390830
148,450,391830,6212,391830
148,450,392300,6212,392300
148,450,393300,6212,393300
148,450,393760,6212,393760
149,452,394570,6212,394570
149,452,395570,6212,395570
149,452,396570,6212,396570
150,454,397380,6212,397380
150,454,397850,6212,397850
150,454,398850,6212,398850
150,454,399850,6212,399850
151,456,400660,6212,400660
151,456,400890,6212,400890
151,456,400890,6212,400890
151,456,401890,6212,401890
152,464,402890,6212,402890
152,464,403890,6212,403890
152,464,403890,6212,403890
153,466,404700,6212,404700
153,466,405510,6212,405510
153,466,406510,6212,406510
153,466,407510,6212,407510
153,466,408510,6212,408510
153,466,409510,6212,409510
153,466,410510,6212,410510
154,474,411510,6212,411510
155,476,412320,6212,412320
155,476,412320,6212,412320
155,476,413320,6212,413320
155,476,414320,6212,414320
155,476,414320,6212,414320
156,478,414800,6212,414800
156,478,414800,6212,414800
156,478,414800,6212,414800
156,478,415800,6212,415800
156,478,415800,6212,415800
156,478,416800,6212,416800
156,478,416800,6212,416800
156,478,416800,6212,416800
156,478,417120,6212,417120
156,478,417120,6212,417120
156,478,418120,6212,418120
156,478,418120,6212,418120
156,478,418120,6212,418120
156,478,419120,6212,419120
157,480,419930,6212,419930
157,480,419930,6212,419930
157,480,420740,6212,420740
158,488,421740,6212,421740
158,488,422210,6212,422210
158,488,422680,6212,422680
158,488,423160,6212,423160
158,488,424160,6212,424160
158,488,424480,6212,424480
158,488,424480,6212,424480
158,488,424480,6212,424480
158,488,425480,6212,425480
158,488,426480,6212,426480
158,488,427480,6212,427480
159,496,428480,6212,428480
159,496,428480,6212,428480
159,496,428800,6212,428800
159,496,429260,6212,429260
159,496,429730,6212,429730
159,496,429730,6212,429730
159,496,430730,6212,430730
159,496,431730,6212,431730
159,496,431950,6212,431950
159,496,432950,6212,432950
159,496,432950,6212,432950
159,496,432950,6212,432950
159,496,432950,6212,432950
159,496,433420,6212,433420
160,498,434230,6212,434230
160,498,434340,6212,434340
160,498,435340,6212,435340
160,498,436340,6212,436340
161,500,436690,6212,436690
161,500,436850,6212,436850
161,500,437850,6212,437850
161,500,438170,6212,438170
162,508,439170,6212,439170
162,508,439170,6212,439170
162,508,440170,6212,440170
162,508,440400,6212,440400
162,508,441400,6212,441400
162,508,442400,6212,442400
162,508,443210,6212,443210
162,508,443680,6212,443680
163,516,444680,6212,444680
163,516,444680,6212,444680
163,516,444680,6212,444680
163,516,445150,6212,445150
163,516,445620,6212,445620
163,516,446620,6212,446620
163,516,447430,6212,447430
163,516,448430,6212,448430
164,524,449430,6212,449430
164,524,450430,6212,450430
164,524,451430,6212,451430
164,524,451430,6212,451430
164,524,452430,6212,452430
164,524,452430,6212,452430
164,524,452750,6212,452750
164,524,453750,6212,453750
164,524,453980,6212,453980
164,524,454980,6212,454980
164,524,455980,6212,455980
164,524,456980,6212,456980
164,524,456980,6212,456980
165,532,457980,6212,457980
165,532,458980,6212,458980
165,532,459450,6212,459450
165,532,459450,6212,459450
165,532,460450,6212,460450
165,532,460450,6212,460450
165,532,461450,6212,461450
165,532,462450,6212,462450
165,532,463450,6212,463450
165,532,464450,6212,464450
165,532,465260,6212,465260
165,532,465580,6212,465580
165,532,465580,6212,465580
165,532,465580,6212,465580
165,532,465800,6212,465800
165,532,466610,6212,466610
166,540,467610,6212,467610
166,540,467610,6212,467610
166,540,468080,6212,468080
