ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_813c-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1146839.33,19.01,0.41,267373.04,4.43
1146839.33,19.01,0.41,267373.04,4.43
1146646.35,19.01,0.41,267289.19,4.43
1146453.37,19.01,0.41,267217.76,4.43
1146260.39,19.01,0.41,267209.73,4.43
1146503.19,19.02,0.42,267256.22,4.43
1146503.19,19.02,0.42,267256.22,4.43
1146324.25,19.02,0.42,266546.43,4.42
1146233.72,19.02,0.42,266414.09,4.42
1146040.74,19.02,0.42,266719.33,4.43
1146169.51,19.02,0.43,266750.13,4.43
1146169.51,19.02,0.43,266750.13,4.43
1146390.21,19.03,0.43,267385.54,4.44
1146383.89,19.03,0.43,267474.82,4.44
1146211.96,19.03,0.43,267815.76,4.45
1146211.96,19.03,0.43,267815.76,4.45
1146211.96,19.03,0.43,267815.76,4.45
1146211.96,19.03,0.43,267815.76,4.45
1146211.96,19.03,0.43,267796.25,4.45
1146211.96,19.03,0.43,267816.84,4.45
1145983.89,19.03,0.43,267512.29,4.44
1145790.91,19.03,0.43,267523.02,4.44
1145681.82,19.03,0.43,267417.52,4.44
1145681.82,19.03,0.43,267417.52,4.44
1145681.82,19.03,0.43,267417.52,4.44
1145681.82,19.03,0.43,267417.52,4.44
1145316.04,19.02,0.43,267056.32,4.44
1145123.05,19.02,0.43,267057.95,4.44
1144930.07,19.02,0.43,266976.86,4.44
1144923.75,19.03,0.43,267066.14,4.44
1144639.16,19.02,0.43,266807.87,4.43
1144446.18,19.02,0.43,266790.45,4.43
1144439.86,19.02,0.43,266879.74,4.44
1144260.91,19.02,0.43,266126.76,4.42
1144482.11,19.03,0.43,266372.34,4.43
1144303.16,19.03,0.43,265662.54,4.42
1144025.96,19.03,0.43,265348.87,4.41
1144025.96,19.03,0.43,265348.87,4.41
1143847.02,19.03,0.43,264595.9,4.4
1143756.49,19.03,0.43,264512.07,4.4
1143991.23,19.03,0.44,264790.48,4.41
1143812.28,19.03,0.44,264173.86,4.4
1143535.09,19.03,0.44,263767.01,4.39
1143535.09,19.03,0.44,263767.01,4.39
1143733.05,19.04,0.44,263529.22,4.39
1143733.05,19.04,0.44,263529.22,4.39
1143488.95,19.04,0.44,263153.55,4.38
1143200.56,19.03,0.44,262847.48,4.38
1143007.58,19.03,0.44,262776.14,4.38
