ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a906-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
255,572,520490,6212,520490
255,572,521300,6212,521300
256,574,521770,6212,521770
256,574,522770,6212,522770
257,576,523580,6212,523580
257,576,524050,6212,524050
258,584,524050,6212,524050
258,584,525050,6212,525050
259,586,525860,6212,525860
259,586,526330,6212,526330
260,588,526800,6212,526800
260,588,527120,6212,527120
260,588,527440,6212,527440
260,588,527440,6212,527440
261,590,528440,6212,528440
261,590,528760,6212,528760
261,590,529570,6212,529570
261,590,530570,6212,530570
262,592,531040,6212,531040
262,592,531040,6212,531040
263,594,533040,6212,533040
264,596,533590,6212,533590
264,596,534240,6212,534240
265,598,535240,6212,535240
265,598,535710,6212,535710
266,600,536710,6212,536710
266,600,536710,6212,536710
266,600,536710,6212,536710
266,600,536710,6212,536710
266,600,536940,6212,536940
266,600,537260,6212,537260
266,600,538260,6212,538260
266,600,538260,6212,538260
267,608,546260,6212,546260
267,608,546580,6212,546580
267,608,546580,6212,546580
267,608,546900,6212,546900
267,608,547710,6212,547710
267,608,547710,6212,547710
267,608,547940,6212,547940
268,610,548940,6212,548940
268,610,549410,6212,549410
269,612,550410,6212,550410
269,612,551410,6212,551410
270,614,552060,6212,552060
270,614,553060,6212,553060
271,622,561060,6212,561060
271,622,561060,6212,561060
272,624,562060,6212,562060
272,624,562060,6212,562060
272,624,562870,6212,562870
273,626,563870,6212,563870
273,626,564090,6212,564090
273,626,565090,6212,565090
273,626,565090,6212,565090
274,628,566090,6212,566090
274,628,567090,6212,567090
275,630,567900,6212,567900
275,630,568370,6212,568370
275,630,569020,6212,569020
275,630,569020,6212,569020
276,632,570020,6212,570020
276,632,570490,6212,570490
276,632,570810,6212,570810
276,632,570810,6212,570810
277,634,571810,6212,571810
277,634,572810,6212,572810
278,636,573810,6212,573810
278,636,574810,6212,574810
279,638,575810,6212,575810
279,638,576810,6212,576810
280,640,577810,6212,577810
280,640,578810,6212,578810
281,642,579620,6212,579620
281,642,580620,6212,580620
282,644,581430,6212,581430
282,644,581900,6212,581900
282,644,581900,6212,581900
282,644,582710,6212,582710
283,646,583710,6212,583710
283,646,583760,6212,583760
283,646,584760,6212,584760
284,648,585570,6212,585570
284,648,585890,6212,585890
284,648,586700,6212,586700
285,650,587350,6212,587350
285,650,588350,6212,588350
286,652,589350,6212,589350
286,652,590350,6212,590350
287,654,591350,6212,591350
287,654,592350,6212,592350
287,654,592350,6212,592350
288,656,593350,6212,593350
288,656,594160,6212,594160
289,658,594970,6212,594970
290,666,594970,6212,594970
290,666,594970,6212,594970
290,666,595970,6212,595970
291,668,596780,6212,596780
291,668,597780,6212,597780
292,670,598780,6212,598780
292,670,599250,6212,599250
293,672,600250,6212,600250
293,672,601250,6212,601250
293,672,601250,6212,601250
294,674,601720,6212,601720
294,674,602530,6212,602530
294,674,602760,6212,602760
294,674,602760,6212,602760
295,676,603570,6212,603570
295,676,604380,6212,604380
296,678,605380,6212,605380
296,678,606380,6212,606380
297,680,607380,6212,607380
297,680,608380,6212,608380
298,682,608840,6212,608840
299,684,609840,6212,609840
299,684,609840,6212,609840
300,692,617840,6212,617840
300,692,618300,6212,618300
300,692,618760,6212,618760
300,692,619230,6212,619230
300,692,619460,6212,619460
301,700,619460,6212,619460
301,700,619460,6212,619460
301,700,619830,6212,619830
302,702,620830,6212,620830
302,702,621480,6212,621480
303,704,622480,6212,622480
303,704,623480,6212,623480
303,704,624480,6212,624480
304,706,624950,6212,624950
304,706,625950,6212,625950
304,706,626420,6212,626420
305,708,627420,6212,627420
305,708,628230,6212,628230
305,708,628550,6212,628550
306,710,629550,6212,629550
306,710,630550,6212,630550
306,710,630550,6212,630550
307,712,631200,6212,631200
307,712,632200,6212,632200
308,714,632670,6212,632670
308,714,633670,6212,633670
309,716,634670,6212,634670
310,718,635670,6212,635670
310,718,636670,6212,636670
311,720,637670,6212,637670
311,720,638480,6212,638480
311,720,639480,6212,639480
312,722,640290,6212,640290
312,722,641290,6212,641290
313,724,642100,6212,642100
313,724,642100,6212,642100
313,724,643100,6212,643100
314,726,644100,6212,644100
314,726,644570,6212,644570
314,726,645040,6212,645040
315,728,646040,6212,646040
315,728,646360,6212,646360
315,728,647170,6212,647170
315,728,647170,6212,647170
316,730,647980,6212,647980
316,730,648980,6212,648980
317,732,649980,6212,649980
317,732,650980,6212,650980
317,732,650980,6212,650980
318,734,651570,6212,651570
318,734,652380,6212,652380
318,734,652850,6212,652850
319,736,653320,6212,653320
319,736,653320,6212,653320
319,736,653790,6212,653790
319,736,654790,6212,654790
320,738,655790,6212,655790
320,738,656790,6212,656790
321,740,657600,6212,657600
321,740,658070,6212,658070
321,740,658070,6212,658070
322,742,658620,6212,658620
323,744,659090,6212,659090
323,744,660090,6212,660090
323,744,660410,6212,660410
323,744,661410,6212,661410
324,746,662410,6212,662410
324,746,663410,6212,663410
