ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1352335.32,23.09,2.6,216322.91,3.69
1352319.12,23.1,2.6,216417.15,3.7
1352319.12,23.1,2.6,216417.15,3.7
1352114.14,23.1,2.6,216415.34,3.7
1351909.17,23.1,2.6,216416.93,3.7
1352143.6,23.1,2.61,216688.71,3.7
1352143.6,23.1,2.61,216688.71,3.7
1351938.62,23.1,2.61,216704.0,3.7
1351733.65,23.1,2.61,216631.31,3.7
1351733.65,23.1,2.61,216631.31,3.7
1351528.67,23.1,2.61,216632.9,3.7
1350528.67,23.09,2.59,215632.9,3.69
1350528.67,23.09,2.59,215632.9,3.69
1350149.27,23.09,2.59,215362.13,3.68
1349944.29,23.09,2.59,215303.14,3.68
1349646.08,23.08,2.59,215117.32,3.68
1349629.88,23.09,2.59,215211.56,3.68
1349613.69,23.09,2.59,215359.59,3.68
1349848.12,23.09,2.6,215450.18,3.69
1349643.14,23.1,2.6,215726.62,3.69
1349263.73,23.09,2.59,215362.19,3.69
1349104.96,23.09,2.59,215211.64,3.68
1349339.39,23.09,2.6,215302.24,3.68
1348969.98,23.09,2.59,215314.0,3.69
1348765.0,23.09,2.59,215224.24,3.68
1348748.81,23.09,2.6,215318.48,3.69
1348732.61,23.1,2.6,215466.51,3.69
1348947.21,23.1,2.6,215409.11,3.69
1349070.45,23.11,2.61,216156.21,3.7
1349054.25,23.11,2.61,216250.45,3.7
1348849.27,23.11,2.61,216251.41,3.71
1348849.27,23.11,2.61,216251.41,3.71
1348644.3,23.11,2.61,216253.0,3.71
1348628.1,23.11,2.62,216343.85,3.71
1348423.12,23.11,2.62,216286.45,3.71
1348124.91,23.11,2.61,216000.71,3.7
1347919.94,23.11,2.61,216000.71,3.7
1347630.36,23.11,2.61,215664.32,3.7
1347425.39,23.11,2.61,215679.61,3.7
1347425.39,23.11,2.61,215679.61,3.7
1347220.41,23.11,2.61,215606.92,3.7
1347454.84,23.11,2.62,215606.72,3.7
1347578.08,23.12,2.62,215606.72,3.7
1347578.08,23.12,2.62,215606.72,3.7
1347578.08,23.12,2.62,215606.72,3.7
1347578.08,23.12,2.62,215606.72,3.7
1347578.08,23.12,2.62,215606.72,3.7
1347373.1,23.12,2.62,216142.24,3.71
1347356.91,23.12,2.62,216480.68,3.71
1347340.71,23.12,2.63,216574.92,3.72
1347135.73,23.13,2.63,216603.83,3.72
1346930.76,23.13,2.63,216605.42,3.72
1346930.76,23.13,2.63,216605.42,3.72
1346725.78,23.13,2.63,216546.43,3.72
1346346.38,23.12,2.62,216112.13,3.71
1346330.18,23.12,2.63,216206.37,3.71
1346330.18,23.12,2.63,216206.37,3.71
1346125.2,23.12,2.63,216235.47,3.71
1345920.23,23.13,2.63,216178.07,3.71
1346154.66,23.13,2.63,216177.87,3.71
1345949.68,23.13,2.63,216177.87,3.72
1345580.28,23.13,2.63,216177.87,3.72
1345564.08,23.13,2.63,216319.84,3.72
1345359.1,23.13,2.63,216177.87,3.72
1345154.13,23.13,2.63,216427.28,3.72
1345137.93,23.13,2.64,216521.52,3.72
1345372.36,23.14,2.64,216819.23,3.73
1345167.39,23.14,2.64,216834.52,3.73
1344962.41,23.14,2.64,216761.83,3.73
1344946.21,23.14,2.65,216856.07,3.73
1344738.0,23.14,2.64,216776.53,3.73
1344738.0,23.14,2.64,216770.2,3.73
1344533.03,23.14,2.64,216768.4,3.73
