ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ed03-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
99,420,319080,6212,319080
99,420,319550,6212,319550
99,420,319550,6212,319550
99,420,320360,6212,320360
99,420,320360,6212,320360
99,420,320830,6212,320830
99,420,321830,6212,321830
99,420,322830,6212,322830
99,420,322830,6212,322830
99,420,323300,6212,323300
99,420,324300,6212,324300
99,420,324760,6212,324760
100,422,325760,6212,325760
100,422,326230,6212,326230
100,422,326230,6212,326230
100,422,327040,6212,327040
100,422,327850,6212,327850
100,422,328170,6212,328170
100,422,328820,6212,328820
100,422,328820,6212,328820
100,422,329140,6212,329140
101,430,330140,6212,330140
101,430,330140,6212,330140
101,430,331140,6212,331140
101,430,331730,6212,331730
101,430,332050,6212,332050
101,430,333050,6212,333050
102,432,334050,6212,334050
102,432,334050,6212,334050
102,432,334210,6212,334210
102,432,334430,6212,334430
102,432,334430,6212,334430
102,432,335080,6212,335080
102,432,335080,6212,335080
102,432,335080,6212,335080
103,440,336080,6212,336080
103,440,337080,6212,337080
103,440,337890,6212,337890
103,440,338890,6212,338890
103,440,339350,6212,339350
103,440,340350,6212,340350
103,440,340350,6212,340350
103,440,340820,6212,340820
103,440,340820,6212,340820
104,448,344820,6212,344820
104,448,344820,6212,344820
104,448,345280,6212,345280
104,448,346280,6212,346280
104,448,347280,6212,347280
104,448,348280,6212,348280
104,448,349280,6212,349280
104,448,350280,6212,350280
104,448,350440,6212,350440
104,448,350440,6212,350440
104,448,350440,6212,350440
105,450,351440,6212,351440
105,450,352440,6212,352440
105,450,352670,6212,352670
105,450,353670,6212,353670
105,450,354670,6212,354670
106,452,356670,6212,356670
106,452,356670,6212,356670
107,460,357130,6212,357130
107,460,358130,6212,358130
107,460,358130,6212,358130
107,460,359130,6212,359130
107,460,359940,6212,359940
107,460,360940,6212,360940
107,460,361940,6212,361940
107,460,362940,6212,362940
107,460,363940,6212,363940
107,460,364260,6212,364260
107,460,364260,6212,364260
107,460,365260,6212,365260
107,460,365730,6212,365730
107,460,366380,6212,366380
107,460,366850,6212,366850
108,462,367850,6212,367850
108,462,368320,6212,368320
108,462,369320,6212,369320
109,470,369970,6212,369970
109,470,370440,6212,370440
109,470,370670,6212,370670
109,470,371670,6212,371670
109,470,372670,6212,372670
110,472,373670,6212,373670
110,472,373670,6212,373670
110,472,373670,6212,373670
110,472,373670,6212,373670
110,472,374670,6212,374670
110,472,375670,6212,375670
111,480,383670,6212,383670
111,480,383900,6212,383900
111,480,383900,6212,383900
112,484,384710,6212,384710
112,484,385180,6212,385180
113,486,386180,6212,386180
113,486,386180,6212,386180
113,486,386180,6212,386180
113,486,387180,6212,387180
114,488,388180,6212,388180
114,488,388180,6212,388180
114,488,389180,6212,389180
115,496,390180,6212,390180
115,496,391180,6212,391180
115,496,391180,6212,391180
115,496,391990,6212,391990
115,496,392990,6212,392990
115,496,393990,6212,393990
115,496,394990,6212,394990
115,496,395220,6212,395220
116,498,396030,6212,396030
116,498,397030,6212,397030
116,498,397350,6212,397350
116,498,397720,6212,397720
116,498,398720,6212,398720
116,498,398720,6212,398720
116,498,399720,6212,399720
116,498,399720,6212,399720
116,498,399720,6212,399720
116,498,399880,6212,399880
116,498,399880,6212,399880
116,498,400880,6212,400880
116,498,401530,6212,401530
117,506,402340,6212,402340
117,506,402810,6212,402810
117,506,402810,6212,402810
117,506,403810,6212,403810
117,506,404400,6212,404400
117,506,405210,6212,405210
117,506,406210,6212,406210
117,506,407210,6212,407210
117,506,408210,6212,408210
118,508,409210,6212,409210
118,508,409760,6212,409760
119,510,410760,6212,410760
119,510,411760,6212,411760
119,510,412230,6212,412230
120,518,412700,6212,412700
120,518,413700,6212,413700
120,518,413700,6212,413700
120,518,414170,6212,414170
121,526,422170,6212,422170
121,526,422820,6212,422820
121,526,423820,6212,423820
121,526,424820,6212,424820
122,528,425820,6212,425820
122,528,426470,6212,426470
122,528,426790,6212,426790
122,528,426790,6212,426790
123,536,427790,6212,427790
123,536,427790,6212,427790
123,536,427790,6212,427790
123,536,428110,6212,428110
124,544,436110,6212,436110
124,544,436340,6212,436340
124,544,437340,6212,437340
124,544,437810,6212,437810
124,544,438620,6212,438620
124,544,439620,6212,439620
124,544,440620,6212,440620
125,546,441620,6212,441620
125,546,442620,6212,442620
125,546,443090,6212,443090
125,546,444090,6212,444090
126,548,445090,6212,445090
126,548,446090,6212,446090
126,548,446090,6212,446090
127,556,447090,6212,447090
127,556,447900,6212,447900
127,556,448900,6212,448900
127,556,449490,6212,449490
127,556,450490,6212,450490
127,556,450810,6212,450810
127,556,450810,6212,450810
127,556,451130,6212,451130
127,556,452130,6212,452130
127,556,453130,6212,453130
127,556,453130,6212,453130
127,556,453130,6212,453130
128,564,455130,6212,455130
128,564,455600,6212,455600
128,564,456070,6212,456070
128,564,456070,6212,456070
128,564,456540,6212,456540
128,564,456540,6212,456540
128,564,457540,6212,457540
128,564,458010,6212,458010
128,564,458480,6212,458480
128,564,458480,6212,458480
128,564,458480,6212,458480
128,564,459480,6212,459480
128,564,459480,6212,459480
128,564,459480,6212,459480
128,564,459710,6212,459710
129,572,460710,6212,460710
129,572,461710,6212,461710
129,572,461710,6212,461710
129,572,462710,6212,462710
129,572,462710,6212,462710
129,572,463180,6212,463180
129,572,463180,6212,463180
129,572,463340,6212,463340
129,572,464340,6212,464340
129,572,464340,6212,464340
129,572,465340,6212,465340
129,572,465810,6212,465810
130,574,466810,6212,466810
130,574,467810,6212,467810
131,582,468810,6212,468810
131,582,469810,6212,469810
131,582,470460,6212,470460
131,582,470460,6212,470460
131,582,470460,6212,470460
131,582,471460,6212,471460
131,582,472460,6212,472460
131,582,472460,6212,472460
131,582,472460,6212,472460
131,582,473460,6212,473460
131,582,474460,6212,474460
131,582,475270,6212,475270
131,582,476270,6212,476270
131,582,477270,6212,477270
131,582,477270,6212,477270
131,582,478270,6212,478270
132,590,479270,6212,479270
132,590,479740,6212,479740
132,590,480740,6212,480740
132,590,481740,6212,481740
132,590,482740,6212,482740
132,590,483740,6212,483740
132,590,483740,6212,483740
132,590,484550,6212,484550
132,590,484550,6212,484550
132,590,485550,6212,485550
132,590,485710,6212,485710
132,590,486710,6212,486710
132,590,487710,6212,487710
133,598,488180,6212,488180
133,598,489180,6212,489180
133,598,490180,6212,490180
133,598,491180,6212,491180
133,598,491650,6212,491650
133,598,491970,6212,491970
133,598,492970,6212,492970
133,598,493290,6212,493290
133,598,494290,6212,494290
133,598,494290,6212,494290
134,606,495290,6212,495290
134,606,496290,6212,496290
134,606,496290,6212,496290
134,606,496290,6212,496290
134,606,497100,6212,497100
134,606,497570,6212,497570
134,606,497570,6212,497570
134,606,498570,6212,498570
134,606,499570,6212,499570
134,606,500570,6212,500570
135,608,501160,6212,501160
135,608,501630,6212,501630
135,608,502630,6212,502630
136,616,503090,6212,503090
136,616,503090,6212,503090
136,616,503410,6212,503410
136,616,504410,6212,504410
136,616,504880,6212,504880
136,616,505690,6212,505690
136,616,506690,6212,506690
136,616,507690,6212,507690
136,616,508690,6212,508690
136,616,509690,6212,509690
136,616,510690,6212,510690
136,616,511690,6212,511690
137,624,512690,6212,512690
137,624,513690,6212,513690
137,624,514690,6212,514690
137,624,514920,6212,514920
137,624,515730,6212,515730
137,624,515730,6212,515730
137,624,516540,6212,516540
137,624,516540,6212,516540
137,624,517190,6212,517190
137,624,517190,6212,517190
137,624,517190,6212,517190
137,624,517650,6212,517650
137,624,518650,6212,518650
137,624,519120,6212,519120
137,624,519670,6212,519670
137,624,520670,6212,520670
137,624,521670,6212,521670
138,626,522140,6212,522140
138,626,523140,6212,523140
138,626,523140,6212,523140
139,634,524140,6212,524140
139,634,524140,6212,524140
139,634,524140,6212,524140
139,634,524360,6212,524360
139,634,524910,6212,524910
140,636,525910,6212,525910
140,636,525910,6212,525910
140,636,526380,6212,526380
140,636,526380,6212,526380
140,636,526380,6212,526380
140,636,527190,6212,527190
140,636,528190,6212,528190
141,638,529000,6212,529000
141,638,530000,6212,530000
141,638,530000,6212,530000
141,638,530470,6212,530470
141,638,530940,6212,530940
141,638,531750,6212,531750
141,638,532400,6212,532400
141,638,532720,6212,532720
141,638,533720,6212,533720
141,638,533720,6212,533720
142,646,534720,6212,534720
142,646,535720,6212,535720
142,646,536270,6212,536270
142,646,536270,6212,536270
142,646,537270,6212,537270
142,646,538270,6212,538270
142,646,538590,6212,538590
142,646,538810,6212,538810
142,646,539810,6212,539810
142,646,540810,6212,540810
142,646,541810,6212,541810
142,646,541810,6212,541810
143,654,542810,6212,542810
143,654,543620,6212,543620
143,654,544090,6212,544090
143,654,544090,6212,544090
143,654,545090,6212,545090
143,654,546090,6212,546090
143,654,546560,6212,546560
143,654,546880,6212,546880
143,654,547880,6212,547880
143,654,547880,6212,547880
143,654,547880,6212,547880
143,654,548880,6212,548880
143,654,549340,6212,549340
143,654,550340,6212,550340
143,654,550340,6212,550340
144,656,551340,6212,551340
144,656,552150,6212,552150
144,656,552150,6212,552150
144,656,552150,6212,552150
145,664,553150,6212,553150
145,664,554150,6212,554150
145,664,554620,6212,554620
145,664,555620,6212,555620
145,664,556620,6212,556620
146,672,557620,6212,557620
146,672,558620,6212,558620
146,672,559620,6212,559620
146,672,560430,6212,560430
146,672,561430,6212,561430
146,672,562430,6212,562430
146,672,562430,6212,562430
146,672,563430,6212,563430
146,672,564430,6212,564430
146,672,565240,6212,565240
146,672,566050,6212,566050
146,672,566520,6212,566520
146,672,566520,6212,566520
147,680,567520,6212,567520
147,680,568520,6212,568520
147,680,569520,6212,569520
147,680,569520,6212,569520
147,680,570520,6212,570520
147,680,570990,6212,570990
147,680,571460,6212,571460
147,680,572460,6212,572460
147,680,573460,6212,573460
147,680,573460,6212,573460
148,688,573930,6212,573930
148,688,574930,6212,574930
148,688,575740,6212,575740
148,688,576740,6212,576740
148,688,576740,6212,576740
148,688,577740,6212,577740
148,688,577740,6212,577740
148,688,578740,6212,578740
148,688,578740,6212,578740
148,688,579210,6212,579210
148,688,580210,6212,580210
148,688,581020,6212,581020
148,688,582020,6212,582020
148,688,583020,6212,583020
148,688,583020,6212,583020
149,696,583830,6212,583830
149,696,584640,6212,584640
149,696,585110,6212,585110
149,696,585110,6212,585110
149,696,586110,6212,586110
149,696,586110,6212,586110
149,696,586460,6212,586460
149,696,587460,6212,587460
149,696,587460,6212,587460
149,696,588460,6212,588460
149,696,589460,6212,589460
149,696,590050,6212,590050
149,696,590370,6212,590370
150,698,591370,6212,591370
150,698,591830,6212,591830
151,706,592830,6212,592830
151,706,593300,6212,593300
151,706,593300,6212,593300
151,706,593620,6212,593620
151,706,594620,6212,594620
151,706,595620,6212,595620
151,706,596430,6212,596430
151,706,597430,6212,597430
151,706,598430,6212,598430
151,706,598430,6212,598430
151,706,599080,6212,599080
151,706,599310,6212,599310
151,706,599780,6212,599780
151,706,599780,6212,599780
152,714,600780,6212,600780
152,714,601250,6212,601250
152,714,602250,6212,602250
152,714,603250,6212,603250
152,714,603720,6212,603720
152,714,603720,6212,603720
152,714,604530,6212,604530
152,714,604530,6212,604530
152,714,604530,6212,604530
152,714,605530,6212,605530
152,714,606340,6212,606340
152,714,607340,6212,607340
153,722,608340,6212,608340
153,722,609340,6212,609340
153,722,610340,6212,610340
153,722,611150,6212,611150
153,722,611960,6212,611960
153,722,612960,6212,612960
153,722,612960,6212,612960
153,722,613960,6212,613960
153,722,614960,6212,614960
154,730,615770,6212,615770
154,730,616770,6212,616770
154,730,617580,6212,617580
154,730,618580,6212,618580
