ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
239,584,448300,6212,451700
239,584,449300,6212,452700
240,586,450300,6212,453700
240,586,451300,6212,454700
240,586,452300,6212,455700
241,588,453300,6212,456700
241,588,453300,6212,456700
241,588,453300,6212,456700
241,588,453530,6212,456930
242,590,454530,6212,457930
242,590,454530,6212,457930
242,590,454850,6212,458250
242,590,455320,6212,458720
243,592,456320,6212,459720
243,592,457320,6212,460720
244,594,458320,6212,461720
244,594,459130,6212,462530
245,596,459940,6212,463340
245,596,460420,6212,463820
245,596,461420,6212,464820
246,598,462420,6212,465820
246,598,463420,6212,466820
246,598,463420,6212,466820
247,600,464420,6212,467820
247,600,465420,6212,468820
248,602,466230,6212,469630
248,602,467230,6212,470630
248,602,467230,6212,471100
249,604,468230,6212,472100
249,604,469040,6212,472910
250,606,469850,6212,473720
250,606,470850,6212,474720
250,606,471850,6212,475720
250,606,472850,6212,476720
250,606,473660,6212,477530
250,606,473890,6212,477760
250,606,474890,6212,478760
250,606,474890,6212,478760
250,606,475890,6212,479760
250,606,476110,6212,479980
250,606,476580,6212,480450
250,606,476580,6212,481260
250,606,477580,6212,482260
251,608,478580,6212,483260
251,608,479580,6212,484260
251,608,480390,6212,485070
251,608,480980,6212,485660
251,608,481980,6212,486660
252,616,489980,6212,494660
252,616,490530,6212,495210
253,618,491340,6212,496020
253,618,491340,6212,496020
253,618,492340,6212,497020
254,620,493340,6212,498020
254,620,493340,6212,498020
254,620,494340,6212,499020
255,622,495340,6212,500020
255,622,495570,6212,500250
255,622,496570,6212,501250
255,622,496730,6212,501410
256,630,497730,6212,502410
257,632,498730,6212,503410
257,632,499730,6212,504410
258,634,500200,6212,504880
258,634,500670,6212,505350
258,634,500670,6212,505820
258,634,501670,6212,506820
259,636,502480,6212,507630
259,636,503480,6212,508630
260,638,504480,6212,509630
260,638,504800,6212,509950
260,638,505610,6212,510760
261,640,505930,6212,511080
261,640,506400,6212,511550
261,640,507210,6212,512360
262,642,507680,6212,512830
263,650,508680,6212,513830
263,650,509150,6212,514300
263,650,509150,6212,514300
263,650,509470,6212,514620
264,652,510470,6212,515620
264,652,511470,6212,516620
265,654,512280,6212,517430
265,654,513280,6212,518430
265,654,513750,6212,518900
266,656,514070,6212,519220
266,656,514540,6212,519690
266,656,515350,6212,520500
267,658,515820,6212,520970
267,658,516820,6212,521970
267,658,517820,6212,522970
268,660,518820,6212,523970
268,660,518820,6212,523970
268,660,519470,6212,524620
268,660,520470,6212,525620
269,662,521280,6212,526430
269,662,521280,6212,526430
269,662,522090,6212,527240
270,664,523090,6212,528240
270,664,524090,6212,529240
270,664,524560,6212,529710
270,664,524560,6212,529710
270,664,524560,6212,529710
270,664,525560,6212,530710
270,664,526560,6212,531710
270,664,527560,6212,532710
270,664,528560,6212,533710
270,664,529560,6212,534710
270,664,529880,6212,535030
270,664,530880,6212,536030
270,664,531880,6212,537030
270,664,531880,6212,537030
270,664,531880,6212,537030
270,664,532880,6212,538030
271,666,533880,6212,539030
271,666,534350,6212,539500
272,674,535350,6212,540500
272,674,535350,6212,540500
