ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
821466.89,14.4,2.13,737031.03,12.92
821604.57,14.4,2.14,736925.33,12.92
821380.3,14.4,2.13,736993.34,12.92
820399.11,14.4,2.14,736254.05,12.93
820208.06,14.4,2.14,736079.16,12.92
819983.78,14.4,2.14,735892.76,12.92
819602.18,14.39,2.13,735625.63,12.92
819186.85,14.39,2.13,735264.34,12.92
819184.6,14.39,2.13,735204.9,12.92
818960.32,14.39,2.13,735088.85,12.92
818769.27,14.39,2.13,734829.19,12.92
818994.93,14.4,2.13,735179.24,12.92
818614.99,14.39,2.13,734797.56,12.92
818614.99,14.39,2.13,734797.56,12.92
818614.99,14.39,2.13,734797.56,12.92
818423.94,14.39,2.13,734612.87,12.92
818199.66,14.39,2.13,734436.27,12.92
818008.61,14.39,2.12,734176.6,12.91
818225.94,14.39,2.13,734516.27,12.92
818034.88,14.39,2.13,734331.58,12.92
818139.34,14.4,2.13,734478.72,12.92
817948.29,14.4,2.13,734303.83,12.92
817724.01,14.39,2.13,734117.42,12.92
817861.7,14.4,2.13,734011.73,12.92
817568.74,14.39,2.13,733690.09,12.92
817344.47,14.39,2.13,733758.24,12.92
817153.41,14.39,2.13,733498.57,12.92
816929.14,14.39,2.13,733396.95,12.92
816905.06,14.39,2.13,732891.02,12.91
