ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
224,506,377570,6212,377570
225,508,378570,6212,378570
225,508,379570,6212,379570
226,510,380570,6212,380570
226,510,381570,6212,381570
226,510,381570,6212,381570
227,512,382570,6212,382570
227,512,383570,6212,383570
228,514,384570,6212,384570
228,514,385570,6212,385570
228,514,385680,6212,385680
229,516,386490,6212,386490
229,516,387490,6212,387490
230,518,388490,6212,388490
230,518,389490,6212,389490
230,518,389490,6212,389490
231,520,390490,6212,390490
231,520,391300,6212,391300
232,522,391770,6212,391770
232,522,392580,6212,392580
233,524,393230,6212,393230
233,524,394230,6212,394230
234,526,395230,6212,395230
234,526,395600,6212,395600
234,526,396410,6212,396410
235,528,397410,6212,397410
235,528,398220,6212,398220
235,528,398220,6212,398220
236,530,399220,6212,399220
236,530,399220,6212,399220
236,530,400220,6212,400220
237,532,401220,6212,401220
237,532,402220,6212,402220
238,534,403220,6212,403220
238,534,403440,6212,403440
238,534,403910,6212,403910
238,534,404720,6212,404720
239,536,405720,6212,405720
239,536,406720,6212,406720
240,538,407530,6212,407530
240,538,408340,6212,408340
241,540,409340,6212,409340
241,540,410340,6212,410340
241,540,410340,6212,410340
242,542,411340,6212,411340
242,542,412340,6212,412340
242,542,412630,6212,412630
243,544,413100,6212,413100
243,544,414100,6212,414100
244,546,414910,6212,414910
244,546,415720,6212,415720
245,548,416530,6212,416530
245,548,416580,6212,416580
245,548,417050,6212,417050
245,548,417520,6212,417520
246,550,418520,6212,418520
246,550,419330,6212,419330
246,550,419650,6212,419650
246,550,419880,6212,419880
247,552,420880,6212,420880
247,552,421430,6212,421430
248,554,422430,6212,422430
248,554,422430,6212,422430
248,554,423430,6212,423430
249,556,424430,6212,424430
249,556,424910,6212,424910
250,558,425720,6212,425720
250,558,426720,6212,426720
251,560,427530,6212,427530
251,560,428530,6212,428530
251,560,429010,6212,429010
252,562,430010,6212,430010
252,562,431010,6212,431010
253,564,432010,6212,432010
253,564,433010,6212,433010
253,564,433010,6212,433010
254,566,434010,6212,434010
254,566,435010,6212,435010
255,568,435480,6212,435480
255,568,435480,6212,435480
256,572,439480,6212,439480
256,572,440480,6212,440480
256,572,440480,6212,440480
257,574,441290,6212,441290
257,574,442290,6212,442290
257,574,442760,6212,442760
258,576,443760,6212,443760
258,576,444760,6212,444760
259,578,445760,6212,445760
259,578,445760,6212,445760
259,578,446760,6212,446760
260,580,447760,6212,447760
260,580,448080,6212,448080
260,580,449080,6212,449080
260,580,449310,6212,449310
261,582,450120,6212,450120
261,582,451120,6212,451120
262,584,451930,6212,451930
262,584,452930,6212,452930
263,586,453160,6212,453160
263,586,453810,6212,453810
263,586,453810,6212,453810
263,586,454130,6212,454130
264,588,455130,6212,455130
264,588,455130,6212,455130
264,588,456130,6212,456130
265,590,457130,6212,457130
265,590,458130,6212,458130
266,592,458940,6212,458940
266,592,459260,6212,459260
266,592,460260,6212,460260
267,594,461070,6212,461070
267,594,462070,6212,462070
268,596,463070,6212,463070
268,596,464070,6212,464070
269,598,464540,6212,464540
269,598,465540,6212,465540
270,600,466540,6212,466540
270,600,467190,6212,467190
271,602,468000,6212,468000
271,602,469000,6212,469000
272,604,470000,6212,470000
272,604,470810,6212,470810
272,604,470810,6212,470810
272,604,470810,6212,470810
273,606,471810,6212,471810
273,606,471860,6212,471860
273,606,472860,6212,472860
274,608,473860,6212,473860
274,608,474670,6212,474670
275,610,475480,6212,475480
275,610,476480,6212,476480
276,612,477480,6212,477480
276,612,478290,6212,478290
277,614,479100,6212,479100
277,614,479570,6212,479570
277,614,479570,6212,479570
277,614,480570,6212,480570
277,614,480800,6212,480800
278,616,481800,6212,481800
278,616,482800,6212,482800
279,618,483800,6212,483800
279,618,483800,6212,483800
279,618,484120,6212,484120
279,618,485120,6212,485120
280,620,486120,6212,486120
280,620,486710,6212,486710
281,622,487520,6212,487520
281,622,487840,6212,487840
281,622,488840,6212,488840
282,624,489840,6212,489840
282,624,490840,6212,490840
283,626,491160,6212,491160
283,626,492160,6212,492160
283,626,492970,6212,492970
284,628,493970,6212,493970
284,628,494970,6212,494970
285,630,495780,6212,495780
285,630,496780,6212,496780
285,630,497250,6212,497250
286,632,498060,6212,498060
286,632,498870,6212,498870
286,632,498870,6212,498870
287,634,499520,6212,499520
287,634,500520,6212,500520
287,634,500520,6212,500520
288,636,501110,6212,501110
288,636,502110,6212,502110
289,638,502580,6212,502580
289,638,503580,6212,503580
290,640,504580,6212,504580
290,640,505580,6212,505580
291,642,506390,6212,506390
291,642,507390,6212,507390
