ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
958244.76,16.06,2.49,241969.64,4.06
958464.93,16.07,2.5,242063.75,4.06
958421.9,16.07,2.5,241993.64,4.06
958473.43,16.07,2.5,241966.26,4.06
958473.43,16.07,2.5,242020.74,4.06
958633.75,16.07,2.51,241946.31,4.06
958397.77,16.07,2.5,241901.38,4.06
958587.79,16.07,2.51,242534.46,4.07
958590.6,16.07,2.51,242553.29,4.07
958642.13,16.08,2.51,242605.94,4.07
958642.13,16.08,2.51,242645.41,4.07
958474.08,16.08,2.51,242408.15,4.07
958525.61,16.08,2.51,242380.77,4.07
958685.93,16.08,2.52,242395.93,4.07
958678.48,16.08,2.52,242926.72,4.08
958730.01,16.09,2.52,242941.53,4.08
958890.33,16.09,2.52,242996.25,4.08
958941.86,16.09,2.53,242968.87,4.08
958947.33,16.09,2.53,242971.28,4.08
958947.33,16.09,2.53,242969.71,4.08
958998.86,16.1,2.53,243011.0,4.08
959050.39,16.1,2.53,243195.13,4.08
958814.41,16.1,2.53,243040.36,4.08
958865.94,16.1,2.53,243241.06,4.08
959035.33,16.1,2.54,243151.54,4.08
958760.27,16.1,2.53,243068.54,4.08
958811.8,16.1,2.54,243280.8,4.09
958863.33,16.11,2.54,243399.27,4.09
958654.8,16.1,2.54,243236.67,4.09
