ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
372,984,882230,6212,882230
372,984,883230,6212,883230
372,984,883230,6212,883230
372,984,884040,6212,884040
373,986,886040,6212,886040
374,988,887040,6212,887040
374,988,887040,6212,887040
375,990,887500,6212,887500
375,990,888090,6212,888090
375,990,888090,6212,888090
376,998,896090,6212,896090
376,998,896090,6212,896090
376,998,896320,6212,896320
376,998,896320,6212,896320
377,1000,896970,6212,896970
377,1000,897780,6212,897780
377,1000,898240,6212,898240
377,1000,899240,6212,899240
378,1002,899710,6212,899710
378,1002,900030,6212,900030
379,1004,901030,6212,901030
379,1004,901840,6212,901840
380,1006,902650,6212,902650
380,1006,903120,6212,903120
380,1006,904120,6212,904120
381,1008,906120,6212,906120
382,1010,907120,6212,907120
382,1010,907590,6212,907590
382,1010,908590,6212,908590
382,1010,908590,6212,908590
382,1010,908590,6212,908590
382,1010,908590,6212,908590
383,1012,909590,6212,909590
384,1014,910060,6212,910060
384,1014,911060,6212,911060
384,1014,911530,6212,911530
384,1014,912000,6212,912000
385,1016,913000,6212,913000
385,1016,914000,6212,914000
386,1018,915000,6212,915000
386,1018,916000,6212,916000
387,1020,917000,6212,917000
387,1020,918000,6212,918000
387,1020,918000,6212,918000
388,1022,919000,6212,919000
389,1024,919590,6212,919590
389,1024,920400,6212,920400
390,1032,928400,6212,928400
390,1032,929400,6212,929400
391,1036,933400,6212,933400
391,1036,933400,6212,933400
392,1038,934050,6212,934050
392,1038,934700,6212,934700
393,1040,935700,6212,935700
393,1040,936700,6212,936700
394,1042,937700,6212,937700
395,1050,945700,6212,945700
396,1054,949700,6212,949700
396,1054,949920,6212,949920
396,1054,950140,6212,950140
396,1054,951140,6212,951140
397,1062,959140,6212,959140
397,1062,959140,6212,959140
398,1064,959610,6212,959610
399,1066,960610,6212,960610
400,1074,968610,6212,968610
401,1078,972610,6212,972610
401,1078,973610,6212,973610
401,1078,974420,6212,974420
401,1078,974420,6212,974420
402,1080,975420,6212,975420
402,1080,975420,6212,975420
403,1082,975890,6212,975890
404,1084,976350,6212,976350
405,1092,984350,6212,984350
405,1092,985350,6212,985350
405,1092,985350,6212,985350
405,1092,985820,6212,985820
405,1092,986820,6212,986820
406,1094,987820,6212,987820
406,1094,988470,6212,988470
406,1094,988790,6212,988790
406,1094,989790,6212,989790
406,1094,990600,6212,990600
407,1096,991600,6212,991600
408,1098,992600,6212,992600
408,1098,993600,6212,993600
409,1100,994410,6212,994410
410,1102,995410,6212,995410
410,1102,996410,6212,996410
411,1106,1000410,6212,1000410
411,1106,1001220,6212,1001220
412,1108,1002030,6212,1002030
412,1108,1002840,6212,1002840
412,1108,1003840,6212,1003840
413,1110,1004840,6212,1004840
413,1110,1005840,6212,1005840
414,1112,1006310,6212,1006310
414,1112,1006310,6212,1006310
414,1112,1006780,6212,1006780
415,1114,1007780,6212,1007780
415,1114,1008250,6212,1008250
415,1114,1008250,6212,1008250
416,1122,1016250,6212,1016250
417,1124,1016900,6212,1016900
417,1124,1017900,6212,1017900
417,1124,1018710,6212,1018710
418,1126,1019710,6212,1019710
418,1126,1020710,6212,1020710
418,1126,1021030,6212,1021030
419,1128,1023030,6212,1023030
419,1128,1023030,6212,1023030
420,1130,1024030,6212,1024030
