ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
80,356,297120,6212,297120
80,356,297590,6212,297590
80,356,297590,6212,297590
80,356,297590,6212,297590
80,356,298240,6212,298240
81,358,299050,6212,299050
81,358,299640,6212,299640
81,358,299640,6212,299640
82,360,300450,6212,300450
82,360,301040,6212,301040
83,362,302040,6212,302040
83,362,302510,6212,302510
83,362,302730,6212,302730
83,362,303540,6212,303540
84,370,304010,6212,304010
84,370,304010,6212,304010
84,370,305010,6212,305010
84,370,305820,6212,305820
84,370,306290,6212,306290
84,370,306940,6212,306940
84,370,307490,6212,307490
84,370,308300,6212,308300
84,370,308950,6212,308950
84,370,309420,6212,309420
85,372,310230,6212,310230
85,372,310550,6212,310550
85,372,311360,6212,311360
86,380,311950,6212,311950
86,380,311950,6212,311950
86,380,312420,6212,312420
86,380,312890,6212,312890
86,380,312940,6212,312940
86,380,312940,6212,312940
86,380,313260,6212,313260
86,380,313730,6212,313730
86,380,314050,6212,314050
86,380,315050,6212,315050
86,380,316050,6212,316050
86,380,316860,6212,316860
86,380,316860,6212,316860
86,380,316860,6212,316860
86,380,317670,6212,317670
86,380,317670,6212,317670
86,380,317670,6212,317670
86,380,318480,6212,318480
86,380,319030,6212,319030
87,388,319840,6212,319840
87,388,320160,6212,320160
87,388,320480,6212,320480
87,388,320950,6212,320950
87,388,321410,6212,321410
87,388,322220,6212,322220
87,388,322870,6212,322870
87,388,323340,6212,323340
87,388,324150,6212,324150
87,388,324470,6212,324470
87,388,324470,6212,324470
87,388,324940,6212,324940
87,388,325750,6212,325750
87,388,326070,6212,326070
87,388,326620,6212,326620
87,388,326620,6212,326620
88,396,327430,6212,327430
88,396,328240,6212,328240
88,396,329050,6212,329050
88,396,329050,6212,329050
88,396,329700,6212,329700
88,396,329700,6212,329700
88,396,330700,6212,330700
88,396,330700,6212,330700
88,396,330920,6212,330920
88,396,331390,6212,331390
88,396,331390,6212,331390
88,396,331390,6212,331390
88,396,332200,6212,332200
88,396,333010,6212,333010
89,398,333820,6212,333820
89,398,334630,6212,334630
90,406,335440,6212,335440
90,406,335910,6212,335910
90,406,336380,6212,336380
90,406,336850,6212,336850
90,406,337660,6212,337660
90,406,338130,6212,338130
90,406,338130,6212,338130
90,406,338130,6212,338130
90,406,338940,6212,338940
90,406,339750,6212,339750
90,406,340220,6212,340220
90,406,341030,6212,341030
90,406,341840,6212,341840
90,406,341840,6212,341840
90,406,342110,6212,342110
91,414,342920,6212,342920
91,414,343730,6212,343730
91,414,344200,6212,344200
91,414,344670,6212,344670
91,414,345140,6212,345140
91,414,345790,6212,345790
91,414,346260,6212,346260
91,414,346630,6212,346630
91,414,347280,6212,347280
91,414,347750,6212,347750
91,414,348560,6212,348560
92,416,349210,6212,349210
92,416,350210,6212,350210
93,424,350680,6212,350680
93,424,351270,6212,351270
93,424,351920,6212,351920
93,424,352380,6212,352380
93,424,353190,6212,353190
93,424,353190,6212,353190
93,424,353650,6212,353650
93,424,354460,6212,354460
93,424,354930,6212,354930
93,424,355250,6212,355250
93,424,356250,6212,356250
93,424,356470,6212,356470
93,424,356940,6212,356940
94,432,357530,6212,357530
94,432,357530,6212,357530
94,432,358010,6212,358010
94,432,359010,6212,359010
94,432,359480,6212,359480
94,432,359480,6212,359480
94,432,360030,6212,360030
94,432,360030,6212,360030
94,432,361030,6212,361030
94,432,361030,6212,361030
94,432,361500,6212,361500
94,432,362310,6212,362310
94,432,362900,6212,362900
94,432,363550,6212,363550
94,432,363780,6212,363780
95,434,364780,6212,364780
95,434,364780,6212,364780
95,434,365250,6212,365250
95,434,365720,6212,365720
95,434,365940,6212,365940
96,442,366490,6212,366490
97,450,374490,6212,374490
97,450,375080,6212,375080
97,450,376080,6212,376080
97,450,376310,6212,376310
97,450,377120,6212,377120
97,450,377120,6212,377120
97,450,377120,6212,377120
97,450,377440,6212,377440
97,450,378250,6212,378250
97,450,378900,6212,378900
97,450,379220,6212,379220
97,450,380030,6212,380030
97,450,380350,6212,380350
97,450,381160,6212,381160
98,452,382160,6212,382160
98,452,382480,6212,382480
98,452,382940,6212,382940
99,460,383750,6212,383750
99,460,384070,6212,384070
99,460,384540,6212,384540
99,460,384700,6212,384700
99,460,385290,6212,385290
99,460,386100,6212,386100
99,460,387100,6212,387100
99,460,387100,6212,387100
99,460,388100,6212,388100
99,460,388910,6212,388910
99,460,389560,6212,389560
99,460,389780,6212,389780
99,460,390430,6212,390430
99,460,391080,6212,391080
100,462,391550,6212,391550
100,462,392360,6212,392360
101,464,393010,6212,393010
101,464,393330,6212,393330
101,464,393650,6212,393650
101,464,394460,6212,394460
101,464,394930,6212,394930
102,472,395740,6212,395740
102,472,396550,6212,396550
102,472,397200,6212,397200
102,472,398010,6212,398010
102,472,398820,6212,398820
102,472,399630,6212,399630
102,472,399630,6212,399630
102,472,399950,6212,399950
102,472,400760,6212,400760
102,472,401230,6212,401230
103,480,402040,6212,402040
103,480,402360,6212,402360
103,480,403010,6212,403010
103,480,403330,6212,403330
103,480,403800,6212,403800
103,480,404800,6212,404800
103,480,405260,6212,405260
103,480,406260,6212,406260
103,480,406260,6212,406260
103,480,407070,6212,407070
103,480,407720,6212,407720
103,480,408720,6212,408720
103,480,409190,6212,409190
104,482,410000,6212,410000
104,482,410810,6212,410810
105,484,411620,6212,411620
105,484,412090,6212,412090
106,492,412900,6212,412900
106,492,412900,6212,412900
106,492,412900,6212,412900
106,492,413220,6212,413220
106,492,413690,6212,413690
106,492,414500,6212,414500
106,492,415500,6212,415500
106,492,416310,6212,416310
106,492,416310,6212,416310
106,492,417120,6212,417120
106,492,417120,6212,417120
106,492,417590,6212,417590
106,492,417590,6212,417590
106,492,418400,6212,418400
106,492,419210,6212,419210
106,492,419580,6212,419580
107,494,420390,6212,420390
107,494,421040,6212,421040
108,502,421510,6212,421510
108,502,421980,6212,421980
108,502,422450,6212,422450
108,502,422930,6212,422930
108,502,423740,6212,423740
108,502,424390,6212,424390
108,502,424620,6212,424620
108,502,425090,6212,425090
108,502,425560,6212,425560
108,502,426030,6212,426030
108,502,426840,6212,426840
108,502,427310,6212,427310
108,502,427310,6212,427310
108,502,428310,6212,428310
109,504,428780,6212,428780
109,504,429430,6212,429430
110,506,430240,6212,430240
110,506,430700,6212,430700
110,506,431020,6212,431020
110,506,431830,6212,431830
110,506,431830,6212,431830
110,506,432150,6212,432150
110,506,432470,6212,432470
110,506,432950,6212,432950
110,506,433270,6212,433270
110,506,434080,6212,434080
110,506,434890,6212,434890
111,508,435540,6212,435540
111,508,435860,6212,435860
111,508,436860,6212,436860
111,508,436860,6212,436860
112,516,437670,6212,437670
112,516,438220,6212,438220
112,516,438690,6212,438690
112,516,439500,6212,439500
112,516,439820,6212,439820
112,516,440140,6212,440140
112,516,440300,6212,440300
112,516,440760,6212,440760
112,516,440920,6212,440920
112,516,441570,6212,441570
112,516,442040,6212,442040
112,516,442040,6212,442040
112,516,442510,6212,442510
112,516,442970,6212,442970
112,516,443780,6212,443780
113,518,444780,6212,444780
113,518,445590,6212,445590
113,518,445590,6212,445590
113,518,445590,6212,445590
114,526,446400,6212,446400
114,526,446630,6212,446630
114,526,446740,6212,446740
114,526,447390,6212,447390
114,526,447860,6212,447860
114,526,448670,6212,448670
114,526,449670,6212,449670
114,526,450140,6212,450140
114,526,451140,6212,451140
114,526,452140,6212,452140
114,526,452950,6212,452950
115,534,453760,6212,453760
115,534,454080,6212,454080
115,534,454890,6212,454890
115,534,455700,6212,455700
115,534,456700,6212,456700
115,534,457170,6212,457170
115,534,457170,6212,457170
115,534,457170,6212,457170
115,534,457170,6212,457170
115,534,457760,6212,457760
115,534,458570,6212,458570
115,534,459040,6212,459040
115,534,460040,6212,460040
116,538,460850,6212,460850
116,538,461660,6212,461660
116,538,462310,6212,462310
116,538,462310,6212,462310
116,538,462540,6212,462540
116,538,463190,6212,463190
117,546,464190,6212,464190
117,546,465000,6212,465000
117,546,465810,6212,465810
117,546,466810,6212,466810
117,546,467280,6212,467280
117,546,468090,6212,468090
117,546,469090,6212,469090
117,546,469090,6212,469090
117,546,469090,6212,469090
117,546,469740,6212,469740
117,546,470210,6212,470210
117,546,470680,6212,470680
118,548,471490,6212,471490
118,548,471810,6212,471810
118,548,471810,6212,471810
118,548,472130,6212,472130
118,548,473130,6212,473130
118,548,473450,6212,473450
119,550,474260,6212,474260
119,550,474730,6212,474730
120,552,475730,6212,475730
120,552,476540,6212,476540
120,552,477010,6212,477010
121,556,477820,6212,477820
121,556,478630,6212,478630
121,556,479100,6212,479100
121,556,479910,6212,479910
121,556,480140,6212,480140
122,558,480950,6212,480950
122,558,481760,6212,481760
122,558,482230,6212,482230
122,558,482460,6212,482460
123,566,482930,6212,482930
123,566,483400,6212,483400
123,566,483990,6212,483990
123,566,484220,6212,484220
123,566,484690,6212,484690
123,566,485500,6212,485500
123,566,485730,6212,485730
123,566,486730,6212,486730
123,566,487540,6212,487540
123,566,488010,6212,488010
123,566,488490,6212,488490
123,566,488490,6212,488490
123,566,489140,6212,489140
124,568,489950,6212,489950
124,568,490760,6212,490760
125,576,491230,6212,491230
125,576,492230,6212,492230
125,576,493040,6212,493040
125,576,493040,6212,493040
125,576,493590,6212,493590
125,576,494400,6212,494400
125,576,495210,6212,495210
125,576,496020,6212,496020
125,576,496830,6212,496830
126,584,497640,6212,497640
126,584,498290,6212,498290
