ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
844280.93,13.81,0.22,197662.45,3.23
844460.64,13.81,0.22,197662.42,3.23
844351.0,13.81,0.22,197662.03,3.23
844510.68,13.81,0.22,197662.03,3.23
844690.38,13.82,0.23,197736.75,3.23
844537.91,13.82,0.23,197615.88,3.23
844282.3,13.81,0.22,197592.34,3.23
844136.88,13.81,0.22,197435.41,3.23
844187.32,13.81,0.22,197393.81,3.23
844187.32,13.81,0.22,197393.81,3.23
844367.03,13.82,0.23,197384.23,3.23
844417.48,13.82,0.23,197384.23,3.23
844467.93,13.82,0.23,198528.28,3.25
844627.61,13.83,0.24,198979.78,3.26
844627.61,13.83,0.24,198953.12,3.26
844678.06,13.83,0.24,199079.74,3.26
844728.5,13.83,0.24,199153.99,3.26
844472.89,13.83,0.24,198796.22,3.26
844523.34,13.83,0.24,198796.17,3.26
844709.0,13.84,0.25,198795.8,3.26
844759.45,13.84,0.25,198795.8,3.26
844919.13,13.84,0.25,198826.0,3.26
844653.54,13.84,0.25,198821.21,3.26
844401.98,13.84,0.25,198809.66,3.26
844266.07,13.84,0.25,198791.0,3.26
844266.07,13.84,0.25,198763.9,3.26
844100.48,13.83,0.24,198963.62,3.26
844100.48,13.83,0.24,198963.62,3.26
844260.16,13.84,0.25,199063.31,3.26
844445.82,13.84,0.25,198984.82,3.26
844605.5,13.85,0.26,200298.27,3.28
844439.91,13.84,0.25,199603.23,3.27
844174.33,13.84,0.25,199311.83,3.27
844224.78,13.84,0.25,199311.78,3.27
844088.87,13.84,0.25,199311.4,3.27
844248.55,13.85,0.26,199311.4,3.27
844082.96,13.85,0.25,199359.76,3.27
843841.4,13.84,0.25,199615.51,3.27
844046.79,13.85,0.26,199573.83,3.27
844097.23,13.85,0.26,199567.15,3.27
844147.68,13.85,0.26,199567.15,3.27
843882.1,13.85,0.26,197817.4,3.25
843618.52,13.85,0.25,197530.92,3.24
843798.22,13.85,0.26,198525.59,3.26
843552.61,13.85,0.26,198215.21,3.25
843552.61,13.85,0.26,198262.94,3.25
843603.06,13.85,0.26,198584.02,3.26
843467.15,13.85,0.26,198583.6,3.26
843646.86,13.85,0.26,198583.6,3.26
843391.24,13.85,0.26,198617.62,3.26
843139.95,13.85,0.26,198653.16,3.26
843319.65,13.85,0.26,198654.27,3.26
843064.04,13.85,0.26,198659.77,3.26
843302.73,13.85,0.26,199116.53,3.27
843058.13,13.85,0.26,198907.96,3.27
843296.82,13.85,0.26,198619.14,3.26
843347.27,13.86,0.27,199540.53,3.28
843102.67,13.85,0.26,199059.76,3.27
843343.24,13.86,0.27,199059.34,3.27
843343.24,13.86,0.27,199059.34,3.27
843393.69,13.86,0.27,199186.36,3.27
843393.69,13.86,0.27,199138.63,3.27
843393.69,13.86,0.27,199189.88,3.27
843391.81,13.86,0.27,199189.88,3.27
843551.49,13.87,0.28,199533.24,3.28
843737.15,13.87,0.28,199543.8,3.28
843896.83,13.87,0.28,199541.65,3.28
843947.28,13.88,0.29,199540.94,3.28
843695.71,13.87,0.28,199533.24,3.28
843875.8,13.88,0.29,199891.82,3.29
844111.73,13.88,0.29,199454.92,3.28
843848.15,13.88,0.29,199331.7,3.28
843528.9,13.88,0.29,198962.44,3.27
843579.35,13.88,0.29,198962.44,3.27
843304.76,13.87,0.28,199320.98,3.28
843304.76,13.87,0.28,199294.43,3.28
843490.42,13.88,0.29,199118.38,3.28
843238.85,13.88,0.29,199068.33,3.28
843102.94,13.88,0.29,199067.91,3.28
843282.65,13.88,0.29,200255.09,3.3
843028.9,13.88,0.29,199906.08,3.29
843207.96,13.88,0.29,199598.02,3.29
843033.71,13.88,0.29,200062.97,3.29
843219.37,13.88,0.29,200062.97,3.29
843219.37,13.88,0.29,201012.49,3.31
843219.37,13.88,0.29,200976.44,3.31
843083.46,13.88,0.29,200765.25,3.31
842891.1,13.88,0.29,200416.47,3.3
843129.79,13.89,0.3,199913.76,3.29
843129.79,13.89,0.3,199764.47,3.29
843324.42,13.89,0.3,199736.25,3.29
843520.99,13.89,0.3,200081.11,3.3
843320.1,13.89,0.3,199863.62,3.29
843017.63,13.89,0.3,199721.55,3.29
843197.33,13.89,0.3,199793.68,3.29
843244.69,13.89,0.3,199745.86,3.29
843244.69,13.89,0.3,199745.43,3.29
843108.79,13.89,0.3,199773.14,3.29
842999.15,13.89,0.3,199731.3,3.29
843049.6,13.9,0.31,199718.27,3.29
843100.05,13.9,0.31,199709.67,3.29
843076.12,13.9,0.31,200887.69,3.31
843255.83,13.9,0.31,200888.45,3.31
843165.81,13.9,0.31,200490.17,3.31
842910.2,13.9,0.31,200483.33,3.31
842661.63,13.9,0.31,200197.55,3.3
842712.08,13.9,0.31,200548.72,3.31
842891.78,13.9,0.31,200461.7,3.31
842942.23,13.91,0.32,200197.55,3.3
842806.32,13.91,0.32,201317.41,3.32
842670.42,13.91,0.32,201322.91,3.32
842511.73,13.91,0.31,201067.65,3.32
842691.44,13.91,0.32,201068.52,3.32
842654.67,13.91,0.32,201061.72,3.32
842705.12,13.91,0.32,201061.72,3.32
842755.57,13.91,0.32,201061.72,3.32
842755.57,13.91,0.32,201172.94,3.32
842755.57,13.91,0.32,201204.1,3.32
842935.27,13.92,0.33,201395.72,3.33
842679.66,13.92,0.32,201340.78,3.32
842859.37,13.92,0.33,201448.41,3.33
842650.52,13.92,0.33,202029.97,3.34
842700.97,13.92,0.33,202076.33,3.34
842591.33,13.92,0.33,201844.95,3.33
842591.33,13.92,0.33,201715.19,3.33
842836.79,13.92,0.33,202486.1,3.34
842836.79,13.92,0.33,202471.49,3.34
842821.83,13.92,0.33,202312.39,3.34
842680.88,13.92,0.33,202197.24,3.34
842840.56,13.93,0.33,202179.69,3.34
843020.26,13.93,0.34,202773.54,3.35
842754.68,13.93,0.34,202458.79,3.35
842595.99,13.92,0.33,202362.3,3.34
842595.99,13.92,0.33,202340.22,3.34
842595.99,13.92,0.33,202362.79,3.34
842816.91,13.93,0.34,204057.13,3.37
842891.76,13.93,0.34,203478.84,3.36
843122.94,13.94,0.35,203467.3,3.36
842805.67,13.93,0.34,203150.02,3.36
842856.12,13.93,0.34,203150.02,3.36
842906.56,13.94,0.35,203150.02,3.36
842957.01,13.94,0.35,203150.02,3.36
842766.52,13.94,0.35,202942.52,3.36
842766.52,13.94,0.35,202919.96,3.36
842946.23,13.94,0.35,202919.96,3.36
842946.23,13.94,0.35,202944.91,3.36
843105.9,13.95,0.35,203046.18,3.36
842850.29,13.94,0.35,203002.48,3.36
842900.74,13.94,0.35,203114.48,3.36
842635.15,13.94,0.35,202944.91,3.36
842794.83,13.95,0.35,203951.74,3.37
842794.83,13.95,0.35,203948.08,3.37
842794.83,13.95,0.35,203538.43,3.37
842845.28,13.95,0.36,203926.24,3.37
842579.7,13.94,0.35,203993.37,3.38
842739.37,13.95,0.36,204083.33,3.38
842473.79,13.94,0.35,203840.73,3.37
842524.24,13.95,0.36,204052.64,3.38
842683.92,13.95,0.36,204052.22,3.38
842734.37,13.95,0.36,204052.22,3.38
842558.78,13.95,0.36,204052.22,3.38
842422.87,13.95,0.36,204101.13,3.38
842619.44,13.96,0.37,204064.97,3.38
842669.89,13.96,0.37,204058.04,3.38
842720.34,13.96,0.37,204052.22,3.38
842720.34,13.96,0.37,204007.58,3.38
842600.33,13.96,0.37,204707.92,3.39
842780.04,13.96,0.37,204682.77,3.39
842524.42,13.96,0.37,204509.24,3.39
842524.42,13.96,0.37,204497.51,3.39
842574.87,13.96,0.37,205001.79,3.4
842625.32,13.97,0.38,205001.74,3.4
842675.77,13.97,0.38,205001.37,3.4
842726.22,13.97,0.38,205001.37,3.4
842905.93,13.98,0.39,205001.37,3.4
842640.31,13.97,0.38,205047.36,3.4
842880.88,13.98,0.39,205017.33,3.4
842931.33,13.98,0.39,205055.99,3.4
842795.43,13.98,0.39,205800.41,3.41
842795.43,13.98,0.39,205317.75,3.41
842793.54,13.98,0.39,205085.72,3.4
842793.54,13.98,0.39,204961.44,3.4
842953.22,13.99,0.39,206398.68,3.42
842708.63,13.98,0.39,206113.53,3.42
842759.08,13.98,0.39,206176.49,3.42
842938.78,13.99,0.4,206582.84,3.43
842938.78,13.99,0.4,206465.55,3.43
843098.46,13.99,0.4,206558.95,3.43
843148.91,14.0,0.41,206700.89,3.43
842893.3,13.99,0.4,206571.88,3.43
843078.96,14.0,0.41,206542.7,3.43
842922.6,13.99,0.4,206421.63,3.43
842786.69,13.99,0.4,206637.38,3.43
843025.38,14.0,0.41,206636.96,3.43
842759.79,14.0,0.41,206328.81,3.43
842810.24,14.0,0.41,206328.81,3.43
842515.65,13.99,0.4,206330.19,3.43
842566.1,14.0,0.41,206329.15,3.43
842314.53,13.99,0.4,206065.28,3.42
842364.98,14.0,0.41,206064.94,3.42
842415.43,14.0,0.41,206064.94,3.42
842595.13,14.0,0.41,206064.94,3.42
842339.52,14.0,0.41,206703.57,3.44
842339.52,14.0,0.41,206790.99,3.44
842073.94,14.0,0.41,206506.79,3.43
842259.6,14.0,0.41,206286.74,3.43
842310.05,14.0,0.41,206813.0,3.44
842469.72,14.01,0.42,206812.58,3.44
842629.4,14.01,0.42,206812.58,3.44
842679.85,14.02,0.42,206812.58,3.44
842679.85,14.02,0.42,206839.37,3.44
842679.85,14.02,0.42,206898.65,3.44
842438.28,14.01,0.42,207108.58,3.44
842488.73,14.01,0.42,207108.58,3.45
842488.73,14.01,0.42,207090.0,3.44
842539.18,14.02,0.43,207309.62,3.45
842718.89,14.02,0.43,207319.44,3.45
842463.27,14.02,0.43,207113.81,3.45
842250.81,14.02,0.42,207043.95,3.45
842301.25,14.02,0.43,207020.14,3.45
842460.93,14.02,0.43,208790.32,3.48
842640.64,14.03,0.44,208789.9,3.48
842640.64,14.03,0.44,208783.12,3.48
842691.09,14.03,0.44,208783.12,3.48
842741.54,14.03,0.44,208783.12,3.48
842741.54,14.03,0.44,208783.12,3.48
842605.63,14.03,0.44,208811.77,3.48
842360.02,14.03,0.44,208792.03,3.48
842539.72,14.03,0.44,208783.12,3.48
842394.3,14.03,0.44,208626.31,3.47
842148.68,14.03,0.44,208882.69,3.48
842387.37,14.03,0.44,208702.28,3.48
842567.08,14.04,0.45,208626.31,3.48
842431.17,14.04,0.45,209832.7,3.5
842481.62,14.04,0.45,209595.88,3.49
842216.03,14.04,0.45,209102.38,3.48
841950.45,14.03,0.44,208758.25,3.48
842110.12,14.04,0.45,208757.83,3.48
841815.53,14.03,0.44,208112.95,3.47
841865.98,14.04,0.45,207986.06,3.47
842071.37,14.04,0.45,207671.1,3.46
842071.37,14.04,0.45,207692.32,3.46
841815.76,14.04,0.45,207787.02,3.46
841866.21,14.04,0.45,208636.63,3.48
841916.66,14.04,0.45,208636.63,3.48
841967.1,14.05,0.45,208636.63,3.48
841967.1,14.05,0.45,208636.63,3.48
842017.55,14.05,0.46,208677.56,3.48
842197.26,14.05,0.46,208671.63,3.48
842197.26,14.05,0.46,208666.86,3.48
842021.67,14.05,0.46,208731.24,3.48
842072.12,14.05,0.46,208786.45,3.48
841820.82,14.05,0.46,208501.67,3.48
841871.27,14.05,0.46,208729.34,3.48
841921.72,14.05,0.46,209339.83,3.49
841763.04,14.05,0.46,209965.89,3.51
841922.72,14.06,0.47,209965.47,3.51
842161.41,14.06,0.47,209965.47,3.51
842341.11,14.07,0.48,209990.58,3.51
842391.56,14.07,0.48,209983.64,3.51
842442.01,14.07,0.48,209990.81,3.51
842186.4,14.07,0.48,209971.37,3.51
842346.08,14.07,0.48,209965.47,3.51
842210.17,14.07,0.48,211385.84,3.53
842074.26,14.07,0.48,211132.29,3.53
841808.68,14.07,0.48,210849.25,3.52
841859.13,14.07,0.48,210849.2,3.52
841859.13,14.07,0.48,210858.84,3.52
841909.58,14.08,0.48,210848.83,3.53
842089.28,14.08,0.49,210848.83,3.53
