ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1614419.94,26.7,1.13,256850.52,4.25
1614419.94,26.7,1.13,256505.36,4.24
1614574.5,26.71,1.14,256191.19,4.24
1614742.09,26.72,1.14,255839.84,4.23
1614896.65,26.73,1.15,255525.68,4.23
1614640.91,26.73,1.15,255481.91,4.23
1613899.33,26.72,1.14,254690.1,4.22
1613789.33,26.72,1.14,254580.1,4.21
1613863.19,26.72,1.15,254817.64,4.22
1613563.59,26.72,1.14,254483.12,4.21
1613307.85,26.72,1.14,254483.12,4.21
1613610.05,26.72,1.15,256135.86,4.24
1613354.32,26.72,1.15,256092.09,4.24
1616831.92,26.78,1.21,258187.43,4.28
1616622.32,26.78,1.2,258112.15,4.28
1616555.43,26.78,1.21,258201.27,4.28
1616744.89,26.79,1.21,258489.03,4.28
1615990.26,26.78,1.2,257734.41,4.27
1615734.52,26.78,1.2,257734.41,4.27
1615808.39,26.78,1.21,257756.08,4.27
1615808.39,26.78,1.21,257756.08,4.27
1615423.19,26.78,1.2,257573.45,4.27
1614681.61,26.77,1.2,256781.65,4.26
1614755.47,26.77,1.2,257364.57,4.27
1615426.43,26.79,1.21,257556.22,4.27
1615615.88,26.79,1.22,257628.57,4.27
1615615.88,26.79,1.22,257628.57,4.27
1615230.69,26.79,1.21,257512.45,4.27
1615420.14,26.79,1.22,257991.28,4.28
1615164.4,26.79,1.22,257947.51,4.28
1614908.67,26.79,1.22,257947.51,4.28
1615321.64,26.8,1.23,257841.54,4.28
1615065.9,26.8,1.23,257839.94,4.28
1615065.9,26.8,1.23,257839.94,4.28
1615065.9,26.8,1.23,257839.94,4.28
1614810.16,26.8,1.23,257797.77,4.28
1614810.16,26.8,1.23,257797.77,4.28
1614810.16,26.8,1.23,257797.77,4.28
1614272.17,26.8,1.23,257220.15,4.27
1614016.43,26.8,1.23,257228.07,4.27
1613760.69,26.8,1.23,257176.38,4.27
1613504.95,26.8,1.23,257132.61,4.27
1613249.22,26.8,1.23,257132.61,4.27
1613182.33,26.8,1.23,257221.73,4.27
1612926.59,26.8,1.23,257177.96,4.27
1612670.86,26.8,1.23,257177.96,4.27
1612415.12,26.8,1.23,257176.37,4.28
1612159.38,26.8,1.23,257134.19,4.28
1612159.38,26.8,1.23,257134.19,4.28
1611922.92,26.8,1.23,256854.69,4.27
1611922.92,26.8,1.23,256854.69,4.27
1612090.52,26.81,1.23,256503.34,4.27
1611834.78,26.81,1.23,256511.26,4.27
