ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1244006.11,20.73,0.59,243731.49,4.06
1471823.16,24.53,0.4,428870.29,7.15
1471728.95,24.53,0.4,428421.42,7.14
1471728.95,24.53,0.4,428421.42,7.14
1471360.53,24.53,0.4,428054.35,7.14
1471076.32,24.53,0.4,427411.0,7.13
1470897.89,24.53,0.4,427238.41,7.12
1470603.16,24.53,0.4,427077.89,7.12
1470308.42,24.53,0.4,426939.88,7.12
1470013.68,24.53,0.4,427061.91,7.13
1469919.47,24.53,0.4,426613.04,7.12
1469618.42,24.52,0.4,426307.88,7.11
1469440.0,24.52,0.4,426130.81,7.11
1469145.26,24.52,0.4,426013.62,7.11
1468850.53,24.52,0.4,425945.62,7.11
1468850.53,24.52,0.4,425945.62,7.11
1468650.53,24.52,0.4,425792.81,7.11
1468683.68,24.53,0.41,426230.21,7.12
1468683.68,24.53,0.41,426196.85,7.12
1468388.95,24.53,0.41,426040.71,7.12
1467862.63,24.52,0.41,425937.24,7.12
1467642.11,24.52,0.4,425719.62,7.11
1467799.26,24.53,0.41,425765.42,7.11
1467515.05,24.53,0.41,425122.07,7.1
1467505.05,24.53,0.41,425209.54,7.11
1467136.63,24.53,0.41,424846.95,7.1
1466841.89,24.53,0.41,424674.84,7.1
1466547.16,24.53,0.41,424814.65,7.1
1466452.95,24.53,0.41,424365.78,7.1
1466452.95,24.53,0.41,423954.99,7.09
1466274.53,24.53,0.41,423777.92,7.09
1465684.53,24.52,0.41,423187.92,7.08
1465386.63,24.52,0.4,422923.92,7.08
1465102.42,24.52,0.4,422280.56,7.07
1465102.42,24.52,0.4,422280.56,7.07
1465102.42,24.52,0.4,422312.75,7.07
1464710.53,24.51,0.4,422212.23,7.07
1464532.11,24.51,0.4,422039.64,7.06
1464532.11,24.51,0.4,422039.64,7.06
1464247.89,24.51,0.4,421396.29,7.05
1464608.84,24.52,0.41,420674.63,7.04
1464240.42,24.52,0.4,420312.04,7.04
1463945.68,24.51,0.4,420195.73,7.04
1463650.95,24.51,0.4,420269.32,7.04
1463650.95,24.51,0.4,420269.32,7.04
1463637.89,24.52,0.4,420012.86,7.03
1463795.05,24.52,0.41,419957.97,7.03
1463595.05,24.52,0.41,419865.8,7.03
1463595.05,24.52,0.41,419865.8,7.03
1463628.21,24.52,0.41,419822.9,7.03
1463534.0,24.53,0.42,419374.03,7.03
1461597.16,24.53,0.42,419072.46,7.03
1461334.0,24.53,0.42,419055.67,7.03
1460965.58,24.52,0.41,418688.59,7.03
1460670.84,24.52,0.41,419486.72,7.04
1460798.74,24.53,0.42,419529.97,7.04
1460504.0,24.53,0.42,419524.92,7.05
1460112.11,24.52,0.41,419066.26,7.04
1459827.89,24.52,0.41,418422.91,7.03
1459564.74,24.52,0.41,418271.74,7.03
1459270.0,24.52,0.41,418114.31,7.03
1458901.58,24.52,0.41,417751.72,7.02
1458606.84,24.52,0.41,417892.5,7.02
1458398.95,24.51,0.41,417689.92,7.02
1458104.21,24.51,0.41,417578.47,7.02
