ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
933937.09,15.64,3.38,805503.71,13.49
933937.09,15.64,3.38,805503.71,13.49
934154.04,15.65,3.39,805166.15,13.49
934103.38,15.65,3.39,805074.06,13.49
933372.72,15.64,3.38,804301.97,13.48
933152.52,15.64,3.37,803882.47,13.47
933701.15,15.65,3.38,803959.98,13.48
933904.51,15.66,3.39,803661.16,13.47
934453.14,15.67,3.4,803738.67,13.48
934584.26,15.67,3.41,804290.07,13.49
933853.6,15.66,3.4,803507.07,13.48
933299.35,15.65,3.39,802952.81,13.47
934356.15,15.67,3.41,802908.88,13.47
934828.85,15.69,3.42,802827.06,13.47
934016.77,15.68,3.42,801334.52,13.45
934220.14,15.69,3.42,801024.79,13.45
934423.51,15.69,3.43,800715.06,13.45
934972.13,15.71,3.44,800792.57,13.45
934935.64,15.71,3.44,800714.78,13.45
935125.08,15.71,3.45,800349.68,13.45
935007.57,15.71,3.45,800128.02,13.44
934263.32,15.7,3.44,799383.76,13.43
934466.69,15.71,3.44,799084.95,13.43
934349.19,15.71,3.44,798863.28,13.43
933614.23,15.7,3.44,798215.28,13.43
934086.93,15.71,3.45,798133.46,13.43
934086.93,15.71,3.45,798133.46,13.43
933910.21,15.71,3.45,797956.74,13.43
933910.21,15.71,3.45,797956.74,13.43
933719.15,15.71,3.45,797814.98,13.43
933719.15,15.71,3.45,797814.98,13.43
933494.88,15.71,3.45,797591.29,13.42
933792.7,15.72,3.45,797655.19,13.43
933792.7,15.72,3.45,797655.19,13.43
934685.31,15.73,3.47,798014.36,13.43
934494.25,15.73,3.47,797836.77,13.43
934877.21,15.74,3.48,798161.7,13.44
934759.71,15.74,3.48,798065.68,13.44
934759.71,15.74,3.48,798065.68,13.44
934568.65,15.74,3.47,797811.06,13.44
934032.74,15.73,3.47,797191.74,13.43
933808.46,15.73,3.47,797080.91,13.43
933808.46,15.73,3.47,797080.91,13.43
933621.54,15.73,3.46,796989.1,13.43
933752.67,15.73,3.47,797540.5,13.44
933022.0,15.72,3.46,796757.5,13.43
934078.8,15.74,3.48,796713.57,13.43
933887.74,15.74,3.48,796535.98,13.43
933663.47,15.74,3.48,796348.11,13.43
933555.96,15.74,3.48,796136.45,13.43
933364.91,15.74,3.48,795872.62,13.42
932717.4,15.73,3.47,795120.95,13.41
932176.74,15.73,3.46,794527.95,13.4
931622.49,15.72,3.45,793973.7,13.4
931207.16,15.72,3.45,793608.25,13.4
931004.37,15.71,3.45,793377.79,13.39
930780.09,15.71,3.45,793276.17,13.39
930780.09,15.71,3.45,793276.17,13.39
930917.6,15.72,3.45,793859.88,13.4
930726.54,15.72,3.45,793605.26,13.4
930943.87,15.72,3.46,793938.73,13.41
930213.21,15.71,3.45,793155.73,13.4
929482.55,15.7,3.44,792372.73,13.39
929291.49,15.7,3.44,792108.9,13.38
929067.22,15.7,3.44,792007.27,13.38
928531.3,15.69,3.43,791387.95,13.38
928340.24,15.69,3.43,791124.12,13.37
928340.24,15.69,3.43,791021.06,13.37
927958.64,15.69,3.42,790636.76,13.37
927417.98,15.68,3.42,790043.76,13.36
929918.33,15.72,3.46,792572.58,13.4
929364.07,15.72,3.45,792018.33,13.39
929581.41,15.72,3.46,792361.81,13.4
929432.17,15.72,3.45,792172.28,13.4
930770.26,15.74,3.48,793104.27,13.42
930579.21,15.74,3.48,792840.44,13.41
930043.29,15.74,3.47,792221.12,13.4
929502.63,15.73,3.46,791628.12,13.4
929502.63,15.73,3.46,791655.1,13.4
929278.35,15.73,3.46,791553.47,13.4
929576.17,15.73,3.47,791617.38,13.4
928558.75,15.74,3.47,790805.98,13.4
928004.5,15.73,3.47,790251.72,13.4
928897.11,15.75,3.48,790610.89,13.4
928897.11,15.75,3.48,790507.83,13.4
928166.45,15.74,3.47,789724.83,13.39
927435.79,15.73,3.46,788952.74,13.38
927244.73,15.73,3.46,788688.91,13.38
927462.06,15.73,3.47,789031.59,13.38
927271.0,15.73,3.47,788854.0,13.38
927271.0,15.73,3.47,788854.0,13.38
926510.96,15.73,3.47,788122.43,13.38
926290.76,15.73,3.46,787702.93,13.37
925560.1,15.72,3.45,786930.84,13.36
925560.1,15.72,3.45,786930.84,13.36
925335.82,15.72,3.45,786742.98,13.36
924799.91,15.71,3.45,786123.65,13.35
924608.85,15.71,3.44,785859.83,13.35
924384.58,15.71,3.44,785758.2,13.35
923848.66,15.7,3.44,785138.88,13.34
923906.15,15.7,3.44,785283.27,13.35
923748.63,15.7,3.44,785125.75,13.35
923557.57,15.7,3.44,784948.16,13.35
923557.57,15.7,3.44,784948.16,13.35
923021.65,15.7,3.43,784328.83,13.34
922754.93,15.69,3.43,784062.11,13.33
922530.66,15.69,3.43,783874.24,13.33
922159.05,15.69,3.42,783499.94,13.33
921967.99,15.69,3.42,783322.35,13.33
921743.72,15.68,3.42,783134.48,13.33
921552.66,15.68,3.42,782879.86,13.32
921552.66,15.68,3.42,782879.86,13.32
921328.39,15.68,3.42,782769.03,13.32
921137.33,15.68,3.42,782591.44,13.32
920596.67,15.67,3.41,781998.44,13.31
919579.25,15.68,3.41,781187.04,13.32
919354.97,15.68,3.41,780999.17,13.32
919163.92,15.68,3.41,780821.58,13.32
918951.55,15.67,3.41,780646.01,13.32
918517.27,15.67,3.4,779994.23,13.31
918517.27,15.67,3.4,779994.23,13.31
917887.08,15.66,3.4,779164.74,13.29
917627.06,15.66,3.39,778545.42,13.29
917127.02,15.65,3.39,777721.04,13.27
916902.75,15.65,3.39,777533.17,13.27
916711.69,15.65,3.39,777278.55,13.27
916487.41,15.65,3.38,777167.72,13.27
915675.34,15.65,3.38,775675.18,13.25
915538.29,15.65,3.38,775400.3,13.25
915780.56,15.65,3.39,775142.04,13.25
914763.14,15.66,3.39,774330.64,13.25
914760.89,15.66,3.39,774819.5,13.26
914536.61,15.66,3.39,774599.03,13.26
914399.56,15.66,3.39,774333.92,13.26
914029.63,15.65,3.39,774032.1,13.25
914274.25,15.66,3.39,773776.41,13.25
914144.53,15.66,3.39,774595.08,13.27
913962.65,15.66,3.39,773935.79,13.26
913699.0,15.65,3.39,773754.95,13.26
913561.95,15.65,3.39,773480.07,13.25
915130.94,15.68,3.42,775112.31,13.28
914670.81,15.68,3.41,774702.16,13.28
914527.02,15.68,3.41,774531.97,13.28
915609.7,15.7,3.43,774781.39,13.28
915387.33,15.69,3.43,774559.02,13.28
915685.15,15.7,3.43,774622.93,13.28
915994.18,15.71,3.44,775111.16,13.29
915994.18,15.71,3.44,775111.16,13.29
915992.19,15.71,3.44,775109.17,13.29
915465.7,15.7,3.44,774541.38,13.28
915507.69,15.7,3.44,773925.19,13.27
915486.55,15.7,3.44,773751.19,13.27
917074.67,15.73,3.47,775550.93,13.31
917397.78,15.74,3.47,775355.29,13.3
917398.97,15.74,3.47,775357.21,13.3
916768.77,15.73,3.47,774527.72,13.29
916899.9,15.74,3.47,775079.12,13.3
916864.43,15.74,3.47,775618.24,13.31
917833.99,15.76,3.49,775883.53,13.32
919890.78,15.79,3.53,776839.59,13.34
919475.45,15.79,3.52,776478.3,13.33
918458.03,15.79,3.53,775666.89,13.34
918320.98,15.79,3.53,775392.01,13.34
918285.51,15.8,3.53,775338.36,13.34
918285.51,15.8,3.53,775338.36,13.34
918088.53,15.8,3.53,775026.7,13.33
918305.26,15.8,3.54,775524.56,13.34
918161.47,15.8,3.54,775311.94,13.34
918778.66,15.82,3.55,775274.53,13.34
918634.88,15.82,3.55,775104.35,13.34
919252.07,15.83,3.56,775128.22,13.35
919108.28,15.83,3.56,774881.63,13.35
918465.54,15.82,3.56,774135.68,13.33
918465.54,15.82,3.56,774135.68,13.33
919420.99,15.84,3.57,774360.87,13.34
919450.69,15.84,3.58,774778.83,13.35
919084.68,15.84,3.57,774529.11,13.35
918940.9,15.84,3.57,774316.49,13.34
918849.14,15.84,3.57,774158.7,13.34
919093.66,15.84,3.58,774342.48,13.35
918358.7,15.84,3.58,773694.48,13.35
919151.73,15.86,3.59,773875.89,13.35
919768.92,15.87,3.61,774872.09,13.37
919719.45,15.87,3.61,774749.3,13.37
919963.97,15.88,3.61,774606.25,13.37
919523.77,15.87,3.61,773966.76,13.36
919108.44,15.87,3.6,773605.47,13.36
919108.44,15.87,3.6,773605.47,13.36
918478.24,15.86,3.6,772763.69,13.35
917761.75,15.85,3.59,772005.9,13.33
917026.79,15.85,3.59,771357.9,13.33
916835.74,15.85,3.58,771098.24,13.33
916611.46,15.85,3.58,770996.61,13.33
916420.41,15.85,3.58,770736.95,13.33
916409.08,15.85,3.58,770725.62,13.33
916053.91,15.84,3.58,770325.73,13.32
915829.63,15.84,3.58,770224.11,13.32
916085.89,15.85,3.58,770632.97,13.33
916223.57,15.85,3.59,770527.27,13.33
915808.24,15.85,3.59,770165.98,13.33
915772.77,15.85,3.59,770351.35,13.34
916023.32,15.86,3.59,770337.82,13.34
915641.72,15.85,3.59,770097.79,13.33
915641.72,15.85,3.59,770097.79,13.33
915606.25,15.85,3.59,770234.54,13.34
915299.76,15.85,3.59,769886.75,13.33
915108.71,15.85,3.59,769627.08,13.33
915326.04,15.86,3.59,769966.75,13.34
915290.57,15.86,3.59,769913.1,13.34
915099.51,15.86,3.59,769653.44,13.34
914684.18,15.86,3.59,769292.15,13.33
914302.58,15.85,3.58,768910.85,13.33
914267.11,15.85,3.59,768995.03,13.33
914076.06,15.85,3.59,768739.13,13.33
914180.52,15.85,3.59,768957.35,13.34
913765.19,15.85,3.59,768596.05,13.33
913762.94,15.85,3.59,768536.62,13.34
