ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
278,678,476820,6212,478760
278,678,477820,6212,479760
278,678,477820,6212,479980
278,678,478290,6212,480450
279,680,479100,6212,481260
279,680,480100,6212,482260
280,688,481100,6212,483260
281,696,482100,6212,484260
281,696,482910,6212,485070
282,698,483500,6212,485660
282,698,484500,6212,486660
283,706,492500,6212,494660
284,708,493050,6212,495210
284,708,493860,6212,496020
284,708,493860,6212,496020
285,710,494860,6212,497020
285,710,495860,6212,498020
285,710,495860,6212,498020
286,712,496860,6212,499020
286,712,497860,6212,500020
286,712,498090,6212,500250
286,712,499090,6212,501250
286,712,499250,6212,501410
287,714,500250,6212,502410
287,714,501250,6212,503410
288,716,502250,6212,504410
288,716,502720,6212,504880
288,716,503190,6212,505350
289,718,503660,6212,505820
289,718,504660,6212,506820
289,718,504660,6212,507630
290,720,505660,6212,508630
290,720,506660,6212,509630
290,720,506660,6212,509950
290,720,507470,6212,510760
290,720,507470,6212,511080
290,720,507940,6212,511550
291,722,508750,6212,512360
291,722,509220,6212,512830
291,722,510220,6212,513830
291,722,510690,6212,514300
291,722,510690,6212,514300
291,722,511010,6212,514620
291,722,512010,6212,515620
292,724,513010,6212,516620
292,724,513820,6212,517430
292,724,514820,6212,518430
293,726,515290,6212,518900
293,726,515610,6212,519220
293,726,516080,6212,519690
293,726,516890,6212,520500
293,726,517360,6212,520970
294,728,518360,6212,521970
294,728,519360,6212,522970
295,730,520360,6212,523970
295,730,520360,6212,523970
295,730,521010,6212,524620
296,738,522010,6212,525620
296,738,522820,6212,526430
296,738,522820,6212,526430
296,738,523630,6212,527240
296,738,524630,6212,528240
297,740,525630,6212,529240
297,740,526100,6212,529710
297,740,526100,6212,529710
297,740,526100,6212,529710
297,740,527100,6212,530710
297,740,528100,6212,531710
297,740,529100,6212,532710
297,740,530100,6212,533710
297,740,531100,6212,534710
297,740,531100,6212,535030
297,740,532100,6212,536030
297,740,533100,6212,537030
297,740,533100,6212,537030
297,740,533100,6212,537030
298,748,534100,6212,538030
299,750,535100,6212,539030
299,750,535570,6212,539500
299,750,536570,6212,540500
299,750,536570,6212,540500
299,750,537220,6212,541150
300,752,538220,6212,542150
300,752,538690,6212,542620
300,752,538690,6212,542620
300,752,538800,6212,542730
300,752,539270,6212,543200
300,752,540270,6212,544200
300,752,540270,6212,544200
300,752,541270,6212,545200
301,754,542270,6212,546200
301,754,543270,6212,547200
302,756,544270,6212,548200
302,756,545270,6212,549200
303,758,546270,6212,550200
304,766,547270,6212,551200
304,766,547500,6212,551430
304,766,548500,6212,552430
304,766,549500,6212,553430
305,768,550310,6212,554240
305,768,551310,6212,555240
305,768,552310,6212,556240
305,768,552770,6212,556700
306,770,553770,6212,557700
306,770,554230,6212,558160
306,770,555230,6212,559160
306,770,556040,6212,559970
306,770,556040,6212,559970
306,770,557040,6212,560970
306,770,558040,6212,561970
306,770,559040,6212,562970
306,770,559850,6212,563780
307,772,560440,6212,564370
307,772,560910,6212,564840
308,774,561910,6212,565840
309,782,565910,6212,569840
309,782,565910,6212,569840
309,782,566380,6212,570310
309,782,566380,6212,570310
309,782,566380,6212,570630
309,782,567190,6212,571440
310,784,568190,6212,572440
310,784,569190,6212,573440
310,784,569190,6212,573440
311,786,570190,6212,574440
311,786,570420,6212,574670
311,786,571420,6212,575670
312,788,572420,6212,576670
312,788,573420,6212,577670
312,788,573420,6212,577670
313,790,574420,6212,578670
313,790,574890,6212,579140
313,790,575540,6212,579790
