ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
205,456,353340,6212,353340
205,456,354340,6212,354340
206,458,355340,6212,355340
206,458,356150,6212,356150
206,458,357150,6212,357150
207,466,357150,6212,357150
208,468,358150,6212,358150
209,470,359150,6212,359150
209,470,360150,6212,360150
209,470,360620,6212,360620
210,472,361620,6212,361620
211,474,362620,6212,362620
212,476,363430,6212,363430
212,476,364240,6212,364240
212,476,365240,6212,365240
212,476,365240,6212,365240
212,476,365240,6212,365240
213,478,366240,6212,366240
213,478,366470,6212,366470
214,480,367470,6212,367470
214,480,368470,6212,368470
215,482,369280,6212,369280
215,482,369930,6212,369930
215,482,369930,6212,369930
215,482,370930,6212,370930
216,484,371930,6212,371930
217,486,372390,6212,372390
217,486,373200,6212,373200
217,486,374200,6212,374200
218,488,375200,6212,375200
218,488,376200,6212,376200
219,490,377200,6212,377200
220,492,378010,6212,378010
220,492,378010,6212,378010
220,492,379010,6212,379010
220,492,380010,6212,380010
221,494,381010,6212,381010
221,494,381480,6212,381480
221,494,382480,6212,382480
221,494,383480,6212,383480
221,494,383480,6212,383480
222,496,384480,6212,384480
223,498,385290,6212,385290
223,498,385520,6212,385520
223,498,386520,6212,386520
224,500,387520,6212,387520
224,500,388520,6212,388520
225,502,389520,6212,389520
225,502,389990,6212,389990
225,502,390990,6212,390990
226,504,391990,6212,391990
226,504,392990,6212,392990
227,506,393990,6212,393990
227,506,394800,6212,394800
228,508,395800,6212,395800
228,508,396800,6212,396800
228,508,397800,6212,397800
229,510,398030,6212,398030
229,510,398030,6212,398030
230,512,399030,6212,399030
230,512,399840,6212,399840
230,512,400840,6212,400840
231,514,401840,6212,401840
231,514,402160,6212,402160
232,516,403160,6212,403160
233,524,403160,6212,403160
234,526,404160,6212,404160
235,528,404970,6212,404970
235,528,405520,6212,405520
235,528,405520,6212,405520
235,528,405680,6212,405680
235,528,406000,6212,406000
236,530,406810,6212,406810
236,530,407280,6212,407280
236,530,408280,6212,408280
237,532,409090,6212,409090
237,532,409560,6212,409560
237,532,410020,6212,410020
238,534,411020,6212,411020
238,534,412020,6212,412020
239,536,413020,6212,413020
239,536,413240,6212,413240
239,536,413240,6212,413240
239,536,414240,6212,414240
240,544,422240,6212,422240
240,544,423240,6212,423240
241,546,424050,6212,424050
241,546,424050,6212,424050
242,548,425050,6212,425050
