ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
871818.34,14.85,1.25,201075.77,3.42
871682.36,14.85,1.25,201019.15,3.42
871768.9,14.85,1.25,203747.97,3.47
875393.93,14.91,1.31,205195.96,3.5
875257.95,14.91,1.31,205186.06,3.5
875257.95,14.91,1.31,205186.06,3.5
875121.97,14.91,1.31,205116.65,3.49
875121.97,14.91,1.31,205116.65,3.49
875174.67,14.91,1.32,205227.73,3.5
875038.7,14.91,1.32,205233.95,3.5
874838.86,14.91,1.31,205032.89,3.49
874702.88,14.91,1.31,204947.36,3.49
874755.59,14.91,1.32,205082.65,3.5
874820.91,14.92,1.32,204659.39,3.49
874820.91,14.92,1.32,207761.41,3.54
874684.93,14.92,1.32,207738.72,3.54
874358.5,14.91,1.32,207419.99,3.54
874222.52,14.91,1.32,207363.37,3.54
874086.55,14.91,1.32,207284.06,3.54
874435.76,14.92,1.32,208595.38,3.56
874139.33,14.92,1.32,208379.37,3.56
874003.35,14.92,1.32,208379.37,3.56
873867.38,14.92,1.32,208300.06,3.56
880430.34,15.03,1.43,211886.71,3.62
880294.37,15.03,1.43,211886.71,3.62
880171.01,15.03,1.43,211270.85,3.61
880123.79,15.03,1.43,211126.85,3.61
879887.89,15.03,1.43,210807.15,3.6
879887.89,15.03,1.43,210807.15,3.6
880210.57,15.04,1.44,210553.53,3.6
880548.71,15.04,1.45,210373.39,3.59
879866.77,15.04,1.44,209691.45,3.58
879494.77,15.03,1.43,209445.89,3.58
879851.97,15.04,1.44,209252.39,3.58
879715.99,15.04,1.44,209253.39,3.58
879768.69,15.04,1.44,209364.47,3.58
879821.39,15.05,1.45,209499.76,3.58
879685.42,15.05,1.45,209412.42,3.58
879685.42,15.05,1.45,209412.42,3.58
879685.42,15.05,1.45,209412.42,3.58
880023.56,15.05,1.46,209232.28,3.58
879828.73,15.05,1.45,209048.27,3.58
879692.75,15.05,1.45,208968.96,3.58
879556.77,15.05,1.45,208968.96,3.58
879622.09,15.06,1.46,208545.7,3.57
879737.51,15.06,1.46,208573.39,3.57
879737.51,15.06,1.46,209277.31,3.58
879040.12,15.05,1.45,208521.88,3.57
878904.14,15.05,1.45,208528.11,3.57
879586.82,15.06,1.46,208531.69,3.57
879230.73,15.06,1.46,208264.64,3.57
879094.75,15.06,1.46,208179.11,3.57
878958.77,15.06,1.46,208185.33,3.57
878822.79,15.06,1.46,208099.8,3.57
878686.82,15.06,1.46,208020.48,3.57
878739.52,15.06,1.46,208131.56,3.57
881940.14,15.12,1.52,211485.8,3.63
881804.16,15.12,1.52,211485.8,3.63
881087.7,15.11,1.51,210743.73,3.61
880951.73,15.11,1.51,210664.42,3.61
881247.75,15.11,1.52,210962.99,3.62
881111.77,15.11,1.52,210962.99,3.62
880414.37,15.11,1.51,210207.57,3.61
880414.37,15.11,1.51,210004.89,3.6
880278.39,15.11,1.51,210011.12,3.6
880331.09,15.11,1.51,210122.2,3.61
880145.25,15.11,1.51,209950.1,3.6
880009.27,15.11,1.51,209864.56,3.6
879873.29,15.11,1.51,209854.67,3.6
879737.32,15.11,1.51,209785.25,3.6
879601.34,15.11,1.51,209791.48,3.6
879229.34,15.1,1.5,209545.92,3.6
879093.36,15.1,1.5,209460.38,3.6
878957.39,15.1,1.5,209381.07,3.6
878821.41,15.1,1.5,209381.07,3.6
879144.1,15.11,1.51,209127.46,3.59
879196.8,15.11,1.52,209262.75,3.6
879060.82,15.11,1.52,209268.98,3.6
878924.84,15.11,1.52,209183.44,3.6
878242.9,15.11,1.51,208501.49,3.59
878709.09,15.11,1.52,208199.34,3.58
878709.09,15.11,1.52,208435.52,3.59
878573.11,15.11,1.52,208356.21,3.58
878587.86,15.12,1.52,208512.21,3.59
878451.88,15.12,1.52,208512.21,3.59
878790.02,15.13,1.53,208332.07,3.59
878559.76,15.12,1.52,208165.01,3.58
878897.9,15.13,1.53,207984.87,3.58
878897.9,15.13,1.53,207991.85,3.58
