ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
496,2422,468820,6212,468820
496,2422,469630,6212,469630
497,2430,470630,6212,470630
497,2430,471100,6212,471100
498,2432,472100,6212,472100
499,2440,472910,6212,472910
500,2448,473720,6212,473720
500,2448,474720,6212,474720
501,2452,475720,6212,475720
501,2452,476720,6212,476720
501,2452,477530,6212,477530
502,2460,477760,6212,477760
503,2468,478760,6212,478760
504,2476,478760,6212,478760
505,2484,479760,6212,479760
506,2485,479980,6212,479980
506,2485,480450,6212,480450
506,2485,481260,6212,481260
507,2489,482260,6212,482260
508,2497,483260,6212,483260
509,2505,484260,6212,484260
509,2505,485070,6212,485070
510,2507,485660,6212,485660
510,2507,486660,6212,486660
511,2515,494660,6212,494660
512,2517,495210,6212,495210
513,2525,496020,6212,496020
513,2525,496020,6212,496020
513,2525,497020,6212,497020
514,2527,498020,6212,498020
514,2527,498020,6212,498020
514,2527,499020,6212,499020
515,2529,500020,6212,500020
515,2529,500250,6212,500250
515,2529,501250,6212,501250
516,2531,501410,6212,501410
516,2531,502410,6212,502410
517,2539,503410,6212,503410
517,2539,504410,6212,504410
517,2539,504880,6212,504880
517,2539,505350,6212,505350
517,2539,505820,6212,505820
518,2541,506820,6212,506820
518,2541,507630,6212,507630
519,2549,508630,6212,508630
520,2557,509630,6212,509630
521,2559,509950,6212,509950
522,2561,510760,6212,510760
522,2561,511080,6212,511080
523,2563,511550,6212,511550
524,2571,512360,6212,512360
524,2571,512830,6212,512830
525,2579,513830,6212,513830
526,2587,514300,6212,514300
527,2591,514300,6212,514300
528,2593,514620,6212,514620
529,2601,515620,6212,515620
530,2603,516620,6212,516620
531,2611,517430,6212,517430
532,2613,518430,6212,518430
533,2615,518900,6212,518900
534,2617,519220,6212,519220
534,2617,519690,6212,519690
534,2617,520500,6212,520500
534,2617,520970,6212,520970
