ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
280,674,524050,6212,524050
280,674,524050,6212,524050
281,676,525050,6212,525050
281,676,525860,6212,525860
282,678,526330,6212,526330
282,678,526800,6212,526800
282,678,527120,6212,527120
282,678,527440,6212,527440
282,678,527440,6212,527440
282,678,528440,6212,528440
282,678,528760,6212,528760
283,680,529570,6212,529570
283,680,530570,6212,530570
284,682,531040,6212,531040
284,682,531040,6212,531040
285,684,533040,6212,533040
285,684,533590,6212,533590
286,686,534240,6212,534240
286,686,535240,6212,535240
286,686,535710,6212,535710
287,688,536710,6212,536710
287,688,536710,6212,536710
287,688,536710,6212,536710
287,688,536710,6212,536710
287,688,536940,6212,536940
287,688,537260,6212,537260
287,688,538260,6212,538260
287,688,538260,6212,538260
288,696,546260,6212,546260
288,696,546580,6212,546580
288,696,546580,6212,546580
288,696,546900,6212,546900
289,698,547710,6212,547710
289,698,547710,6212,547710
289,698,547940,6212,547940
289,698,548940,6212,548940
290,700,549410,6212,549410
290,700,550410,6212,550410
291,702,551410,6212,551410
291,702,552060,6212,552060
292,704,553060,6212,553060
293,712,561060,6212,561060
293,712,561060,6212,561060
293,712,562060,6212,562060
293,712,562060,6212,562060
294,714,562870,6212,562870
294,714,563870,6212,563870
294,714,564090,6212,564090
295,716,565090,6212,565090
295,716,565090,6212,565090
295,716,566090,6212,566090
296,718,567090,6212,567090
